===== PARAMETERS =====
Total rows : 1813
Reference system: Sol
Area of search : 250 ly
Gas types Class I gas giant +Class II gas giant +Class III gas giant +Class IV gas giant +Class V gas giant +Gas giant with ammonia-based life +Gas giant with water-based life +Hellium-rich gas giant
Ref star types : M (Red giant) Star + M (Red dwarf) Star + M (Red super giant) Star + T Tauri Star
==========
System name,Distance from Sol (ly),System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,Cold Stars Count,Coldest star temp,Cold Stars Luminosities,Has T Tauri Star ?,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius
Sosong,76.25,3,2,Sosong ABC 1,292,Class III gas giant,2808.9954,true,false,1,0,2845.9752165,2845.9752165,Sosong C,M (Red dwarf) Star,6,1795.2205,0.383,Va,866,2677,0.4992,0,,-,false,Sosong ABC 1 h,2851.1333,Icy body,85,4534.8979
HIP 111910,174.15,4,1,HIP 111910 A 3,292,Class III gas giant,2635.6992,false,true,2,0.0009,2637.141624,2637.140555957426,HIP 111910 C,M (Red dwarf) Star,6,48041.0352,0.524,Va,3184,2752,0.524,0,,-,false,HIP 111910 A 3 g,2643.9441,Rocky body,183,1014.6191
Wuruacan,195.40,1,1,Wuruacan 9,288,Class III gas giant,1145.8875,false,true,1,0.0001,1145.8651815,1145.8651757706739,Wuruacan,M (Red dwarf) Star,5,0,0.5665,Va,990,3098,0.5665,0,,-,false,Wuruacan 9 g,1148.113,Icy body,73,2592.5745
60 Tauri,144.78,4,1,60 Tauri CD 11,288,Class III gas giant,74783.7969,true,false,2,0.0406,4736.954664000001,4733.048950535755,60 Tauri D,M (Red dwarf) Star,4,76826.2734,0.647,Va,2736,3228,0.647,0,,-,false,60 Tauri CD 11 h,74828.0391,Icy body,103,1723.9449
HIP 115181,205.26,2,1,HIP 115181 AB 1,288,Class III gas giant,3685.8784,true,false,1,0.0005,4606.0656524999995,4606.0650767417565,HIP 115181 B,M (Red dwarf) Star,2,2861.0674,0.6186,Va,8522,3417,0.6186,0,,-,false,HIP 115181 AB 1 g,3753.7615,Icy body,76,1719.0691
Kwiamong,141.97,6,2,Kwiamong ABC 4,286,Class III gas giant,2240.6191,true,false,2,0.0035,2231.6002605,2231.586591906544,Kwiamong B,M (Red dwarf) Star,4,4.4171,0.4877,Va,2202,3169,0.4877,1,2486,-Va-,false,Kwiamong ABC 4 h,2259.0234,Rocky body,271,1369.3538
HIP 103678,132.17,2,1,HIP 103678 AB 4,285,Class III gas giant,2979.1021,true,false,1,0.0049,2758.599441,2758.5663238149236,HIP 103678 B,M (Red dwarf) Star,3,745.6657,0.5368,Va,2464,3294,0.5368,0,,-,false,HIP 103678 AB 4 h,2992.2471,Icy body,125,1491.1195
Hyades Sector LD-Q b6-1,154.16,1,1,Hyades Sector LD-Q b6-1 12,284,Class III gas giant,1985.3136,false,true,1,0.0007,1984.04388,1984.04339390919,Hyades Sector LD-Q b6-1,M (Red dwarf) Star,2,0,0.6504,Va,314,3489,0.6504,0,,-,false,Hyades Sector LD-Q b6-1 12 h,1987.2804,Icy body,147,1670.5144
Col 285 Sector FN-A c14-3,243.15,2,1,Col 285 Sector FN-A c14-3 AB 4,283,Class III gas giant,3196.3135,true,false,0,0.0003,2971.07577,2971.075636301587,Col 285 Sector FN-A c14-3 B,M (Red dwarf) Star,2,670.3524,0.5615,Va,2258,3537,0.5615,0,,-,false,Col 285 Sector FN-A c14-3 AB 4 h,3198.9746,Icy body,90,1081.6064
Cigua,180.62,2,1,Cigua A 6,281,Class III gas giant,1872,false,false,0,0.0001,1872.1170585,1872.1170491394146,Cigua B,M (Red dwarf) Star,5,72896,0.5653,Va,784,3031,0.5653,0,,-,false,Cigua A 6 g,1859,Icy body,110,914.5944
Monto,88.21,4,2,Monto ABCD 1,281,Class III gas giant,1302.5034,true,false,2,0.0531,0.099801,0.09966020073137835,Monto B,M (Red dwarf) Star,9,421.0195,0.3812,VI,1062,2128,0.4329,1,2128,-VI-,false,Monto ABCD 1 f,1312.6492,Icy body,105,1213.306
LP 888-62,116.62,1,1,LP 888-62 6,281,Class III gas giant,2167.4639,false,false,0,0.0094,2176.1109045,2176.0147617964,LP 888-62,M (Red dwarf) Star,2,0,0.5866,V,1562,3484,0.5866,0,,-,false,LP 888-62 6 f,2146.7837,Icy body,62,6056.7534
LTT 18046,54.38,1,1,LTT 18046 9,281,Class III gas giant,3510.6797,false,true,1,0.0632,3673.7247104999997,3666.380500434027,LTT 18046,M (Red dwarf) Star,2,0,0.5937,V,1292,3471,0.5937,0,,-,false,LTT 18046 9 h,3482.2603,Icy body,43,960.3053
Hyades Sector KD-S c4-6,166.83,2,1,Hyades Sector KD-S c4-6 A 13,281,Class III gas giant,1289.4982,false,true,2,0.0003,1289.927925,1289.927866953242,Hyades Sector KD-S c4-6 B,M (Red dwarf) Star,9,142508.3438,0.3123,VI,326,2004,0.3123,1,2004,-VI-,false,Hyades Sector KD-S c4-6 A 13 h,1285.9105,Icy body,94,2021.9739
HIP 115581,238.95,4,2,HIP 115581 AB 2,280,Class III gas giant,2083.3345,true,false,2,0.008,2032.1978625,2032.1328311278814,HIP 115581 B,M (Red dwarf) Star,1,261.0511,0.669,Va,9450,3696,0.669,0,,-,false,HIP 115581 AB 2 h,2071.051,Rocky body,165,723.0731
Lotia,113.77,2,1,Lotia A 3,279,Class III gas giant,3265.3435,false,true,2,0.0037,3260.5984710000002,3260.5761521270792,Lotia B,M (Red dwarf) Star,3,91721.4844,0.545,Va,1960,3386,0.545,0,,-,false,Lotia A 3 g a,3283.7471,Rocky body,127,719.5536
LP 1-52,66.57,1,1,LP 1-52 4,279,Class III gas giant,2781.6965,false,true,1,0,2781.7033724999997,2781.7033724999997,LP 1-52,M (Red dwarf) Star,2,0,0.5935,V,3404,3452,0.5935,0,,-,false,LP 1-52 4 g,2811.9287,Icy body,53,1640.5486
Dumni,204.44,1,1,Dumni 2,278,Class III gas giant,453.2125,false,true,1,0.0034,451.699326,451.69671517035044,Dumni,M (Red dwarf) Star,6,0,0.4767,Va,10632,2637,0.4767,0,,-,false,Dumni 2 f,459.1743,Icy body,91,2506.0193
Praecipua,94.86,3,2,Praecipua AB 3,277,Class III gas giant,2188.5972,true,false,2,0.0013,2104.6533885,2104.651610067135,Praecipua B,M (Red dwarf) Star,9,867.1581,0.3994,VI,5458,2146,0.6392,1,2146,-VI-,false,Praecipua AB 3 h,2186.6726,Rocky body,526,918.119
HIP 61129,180.39,2,1,HIP 61129 A 2,276,Class III gas giant,2038.9586,false,true,2,0.0008,2039.2338329999998,2039.2331804450687,HIP 61129 B,M (Red dwarf) Star,4,151105.4844,0.5774,Va,9942,3133,0.5774,0,,-,false,HIP 61129 A 2 h,2028.9763,Rocky body,172,1442.6382
Mangpa,129.53,1,1,Mangpa 7,276,Class III gas giant,2996.1187,false,true,1,0.0107,2965.1376105,2964.967866338846,Mangpa,M (Red dwarf) Star,2,0,0.6364,Va,2094,3418,0.6364,0,,-,false,Mangpa 7 g,3000.9624,Icy body,51,2012.7319
Arietis Sector AF-Z b1,206.61,4,2,Arietis Sector AF-Z b1 AB 3,275,Class III gas giant,1190.8961,true,false,2,0.0011,1172.362347,1172.3616377205656,Arietis Sector AF-Z b1 B,M (Red dwarf) Star,9,54.7844,0.3248,VI,268,2121,0.552,1,2121,-VI-,false,Arietis Sector AF-Z b1 AB 3 h,1215.3979,Icy body,78,2799.1777
Col 285 Sector OK-T b18-2,111.97,1,1,Col 285 Sector OK-T b18-2 9,273,Class III gas giant,1500.1786,false,true,1,0.0128,1519.4203245,1519.2958484882708,Col 285 Sector OK-T b18-2,M (Red dwarf) Star,5,0,0.5443,Va,730,2803,0.5443,0,,-,false,Col 285 Sector OK-T b18-2 9 g,1506.2444,Icy body,61,1660.1031
Hual,73.30,1,1,Hual 4,273,Class III gas giant,2770.7549,false,true,1,0.0028,2777.960835,2777.949945372183,Hual,M (Red dwarf) Star,3,0,0.6,Va,1202,3278,0.6,0,,-,false,Hual 4 g,2780.5493,Icy body,51,2058.5205
HR 244,61.18,3,1,HR 244 ABC 3,273,Class III gas giant,4061.4412,true,false,1,0.0021,3399.022458,3399.0149631472173,HR 244 C,M (Red dwarf) Star,4,1622.6877,0.4787,Va,3528,3177,0.4787,0,,-,false,HR 244 ABC 3 h,4051.3796,Rocky body,166,870.1591
Col 285 Sector FX-H b24-5,215.86,1,1,Col 285 Sector FX-H b24-5 3,272,Class III gas giant,1810.801,false,true,1,0.0629,1713.58317,1710.1899916778186,Col 285 Sector FX-H b24-5,M (Red dwarf) Star,5,0,0.4639,Va,3192,2955,0.4639,0,,-,false,Col 285 Sector FX-H b24-5 3 h,1822.2194,Icy body,56,1790.2268
HIP 87414,236.00,4,1,HIP 87414 AB 7,271,Class III gas giant,1403.9255,true,false,2,0.0003,1403.102259,1403.1021958603967,HIP 87414 D,M (Red dwarf) Star,6,13324.3799,0.4746,Va,5336,2727,0.4746,0,,-,false,HIP 87414 AB 7 h,1409.7755,Rocky body,234,706.2157
Col 285 Sector QW-P b20-7,229.62,2,1,Col 285 Sector QW-P b20-7 A 12,268,Class III gas giant,2213.3057,false,false,0,0.0269,2264.085486,2263.2661803094684,Col 285 Sector QW-P b20-7 A,M (Red dwarf) Star,5,0,0.5086,,470,3037,0.5086,0,,-,false,Col 285 Sector QW-P b20-7 A 12 f,2244.6138,Icy body,51,2233.7244
LP 48-567,73.31,1,1,LP 48-567 4,267,Class III gas giant,795.6967,false,true,2,0.145,0.0499005,0.04937313430244473,LP 48-567,M (Red dwarf) Star,5,0,0.5117,V,8594,2950,0.5117,0,,-,false,LP 48-567 4 h,796.7383,Icy body,81,1559.021
Pegasi Sector UO-Z b2,231.15,1,1,Pegasi Sector UO-Z b2 3,266,Class III gas giant,781.1444,false,true,1,0.0001,781.0925265,781.0925225945373,Pegasi Sector UO-Z b2,M (Red dwarf) Star,5,0,0.4588,Va,1846,2934,0.4588,0,,-,false,Pegasi Sector UO-Z b2 3 h,780.0845,Icy body,78,1562.9958
Col 285 Sector GF-F b12-1,205.21,1,1,Col 285 Sector GF-F b12-1 8,265,Class III gas giant,1006.3188,false,true,2,0.1491,0.1497015,0.1480281549755664,Col 285 Sector GF-F b12-1,M (Red dwarf) Star,3,0,0.6283,Va,306,3276,0.6283,0,,-,false,Col 285 Sector GF-F b12-1 8 f,1005.8489,Icy body,86,1562.8424
HIP 18946,140.19,2,1,HIP 18946 A 2,264,Class III gas giant,556.8828,false,true,2,0,556.88958,556.88958,HIP 18946 B,M (Red dwarf) Star,3,212440.4375,0.5632,Va,10064,3306,0.5632,0,,-,false,HIP 18946 A 2 h,560.3762,Icy body,268,1534.6825
LTT 17817,116.99,4,2,LTT 17817 A 2,263,Class III gas giant,3526.6304,false,true,2,0.0135,3480.6097755,3480.2925904818067,LTT 17817 C,M (Red dwarf) Star,5,255148.0938,0.5594,Va,1720,2813,0.5594,1,2343,-Va-,false,LTT 17817 A 2 h,3560.479,Icy body,101,2346.5449
LP 931-40,72.50,1,1,LP 931-40 6,262,Class III gas giant,1683.9401,false,true,1,0.0044,1677.0061035,1676.9898700023477,LP 931-40,M (Red dwarf) Star,3,0,0.5694,V,5288,3277,0.5694,0,,-,false,LP 931-40 6 f,1683.2345,Icy body,119,2156.3022
Col 285 Sector LJ-G c11-26,209.10,2,2,Col 285 Sector LJ-G c11-26 A 14,261,Class III gas giant,1527.6808,false,true,2,0,1527.7038075,1527.7038075,Col 285 Sector LJ-G c11-26 A,T Tauri Star,0,0,0.9166,Va,210,4704,0.9166,0,,-,true,Col 285 Sector LJ-G c11-26 A 14 h,1508.5219,Icy body,116,4155.1489
Col 285 Sector DZ-J b24-5,214.64,1,1,Col 285 Sector DZ-J b24-5 2,260,Class III gas giant,860.1278,false,false,0,0.003,862.0311375,862.0272583511531,Col 285 Sector DZ-J b24-5,M (Red dwarf) Star,5,0,0.5314,,12971,3081,0.5314,0,,-,false,Col 285 Sector DZ-J b24-5 2 h,842.1848,Icy body,77,1938.0128
Arietis Sector ZK-X b1-2,225.89,1,1,Arietis Sector ZK-X b1-2 3,259,Class III gas giant,908.0093,false,true,1,0.0003,907.7399955,907.7399546516992,Arietis Sector ZK-X b1-2,M (Red dwarf) Star,6,0,0.5048,Va,362,2745,0.5048,0,,-,false,Arietis Sector ZK-X b1-2 3 f,897.3153,Icy body,231,1856.8016
Col 285 Sector OL-G b26-5,242.87,1,1,Col 285 Sector OL-G b26-5 2,259,Class III gas giant,2222.6943,false,false,0,0.1649,2249.9636444999996,2219.162296795081,Col 285 Sector OL-G b26-5,M (Red dwarf) Star,9,0,0.4153,Va,4166,2371,0.4153,1,2371,-Va-,false,Col 285 Sector OL-G b26-5 2 h,2229.6846,Icy body,37,2250.563
Col 285 Sector VF-L b9-1,223.52,3,2,Col 285 Sector VF-L b9-1 ABC 1,259,Class III gas giant,1075.7046,true,false,1,0.002,1249.109316,1249.1068177788698,Col 285 Sector VF-L b9-1 B,M (Red dwarf) Star,9,534.7802,0.3865,Va,4670,2275,0.5052,1,2275,-Va-,false,Col 285 Sector VF-L b9-1 ABC 1 h,1325.1757,Icy body,76,2162.1206
HDS 1065,112.84,2,1,HDS 1065 AB 1,258,Class III gas giant,5043.0439,true,false,0,0,4216.59225,4216.59225,NN 3448 B,M (Red dwarf) Star,2,2555.1594,0.5959,V,1438,3499,0.5959,0,,-,false,HDS 1065 AB 1 h,5020.54,Icy body,46,2318.2632
Col 285 Sector GV-W b15-4,227.31,1,1,Col 285 Sector GV-W b15-4 1,258,Class III gas giant,1061.0342,false,true,1,0.0011,1061.1341325,1061.1334905136557,Col 285 Sector GV-W b15-4,M (Red dwarf) Star,6,0,0.5133,Va,1192,2617,0.5133,0,,-,false,Col 285 Sector GV-W b15-4 1 g a,1066.9891,Icy body,149,504.4326
Lyncis Sector FM-V b2-0,207.28,1,1,Lyncis Sector FM-V b2-0 5,258,Class III gas giant,3028.9851,false,true,2,0.186,0.44910449999999996,0.4412675116334954,Lyncis Sector FM-V b2-0,M (Red dwarf) Star,5,0,0.5287,Va,10976,3010,0.5287,0,,-,false,Lyncis Sector FM-V b2-0 5 g a,3018.8081,Icy body,53,737.1822
HIP 60831,142.23,5,2,HIP 60831 AB 4,257,Class III gas giant,3770.2627,true,false,3,0.0281,5.189652,5.187602694824287,HIP 60831 B,M (Red dwarf) Star,2,271.0686,0.5779,Va,2984,3464,0.5779,0,,-,false,HIP 60831 AB 4 h,3771.5513,Rocky body,128,685.3517
Arnga,115.24,1,1,Arnga 4,257,Class III gas giant,946.7112,false,true,1,0.0066,952.5506445,952.529897721028,Arnga,M (Red dwarf) Star,6,0,0.5067,Va,4340,2617,0.5067,0,,-,false,Arnga 4 g,931.7992,Icy body,118,1768.5121
HIP 1625,173.87,2,1,HIP 1625 A 3,256,Class III gas giant,1406.999,false,true,2,0.0001,1406.994498,1406.9944909650274,HIP 1625 B,M (Red dwarf) Star,2,157333.4844,0.6253,Va,10020,3556,0.6253,0,,-,false,HIP 1625 A 3 g,1395.4244,Rocky body,159,1341.4823
HIP 12368,208.83,3,1,HIP 12368 A 2,256,Class III gas giant,2326.825,false,true,2,0.0001,2326.760514,2326.760502366197,HIP 12368 B,M (Red dwarf) Star,9,347147.5312,0.3893,VI,2634,2040,0.3893,1,2040,-VI-,false,HIP 12368 A 2 g,2306.5583,Icy body,83,1529.5105
Alrai Sector IH-V b2-3,102.06,2,1,Alrai Sector IH-V b2-3 A 1,255,Class III gas giant,705.9133,false,true,2,0.0002,705.792672,705.7926578841464,Alrai Sector IH-V b2-3 A,M (Red dwarf) Star,4,0,0.5701,Va,6174,3122,0.5701,0,,-,false,Alrai Sector IH-V b2-3 A 1 h,714.2466,Icy body,91,1110.6941
Kuwan Slavs,114.41,3,2,Kuwan Slavs AB 1,255,Class III gas giant,1072.022,true,false,2,0,1021.5131355,1021.5131355,Kuwan Slavs B,M (Red dwarf) Star,6,131.7665,0.5513,Va,8404,2789,0.5513,1,2401,-Va-,false,Kuwan Slavs AB 1 g a,1086.1116,Icy body,105,1183.147
Col 285 Sector UE-G c11-20,178.01,3,2,Col 285 Sector UE-G c11-20 ABC 3,255,Class III gas giant,4683.2339,true,false,1,0.0188,4489.3483830000005,4488.554955240284,Col 285 Sector UE-G c11-20 C,M (Red dwarf) Star,4,1392.4911,0.4869,Va,4710,3110,0.4869,1,2401,-Va-,false,Col 285 Sector UE-G c11-20 ABC 3 h,4660.4854,Icy body,58,3290.1736
Hyades Sector XY-R b4-4,220.31,2,2,Hyades Sector XY-R b4-4 A 6,253,Class III gas giant,1324.6298,false,true,2,0.0011,1325.0578770000002,1325.0570753397421,Hyades Sector XY-R b4-4 A,M (Red dwarf) Star,4,0,0.5955,Va,11786,3224,0.5955,1,2027,-VI-,false,Hyades Sector XY-R b4-4 A 6 f a,1337.463,Icy body,0,1083.2001
Col 285 Sector SP-K b10-2,205.69,1,1,Col 285 Sector SP-K b10-2 7,253,Class III gas giant,2019.8335,false,true,1,0.0026,2015.381394,2015.374581999376,Col 285 Sector SP-K b10-2,M (Red dwarf) Star,3,0,0.5981,Va,4192,3362,0.5981,0,,-,false,Col 285 Sector SP-K b10-2 7 e a,2008.7266,Icy body,162,742.3379
Wille,112.40,1,1,Wille 3,252,Class III gas giant,1393.9115,false,true,1,0.0092,1396.9644975,1396.9053767114433,Wille,M (Red dwarf) Star,5,0,0.5082,Va,1012,3006,0.5082,0,,-,false,Wille 3 e a,1391.9775,Icy body,174,835.6566
Col 285 Sector CQ-N c7-22,197.48,2,1,Col 285 Sector CQ-N c7-22 AB 1,252,Class III gas giant,1138.0758,true,false,1,0.0016,1269.269118,1269.2674933344892,Col 285 Sector CQ-N c7-22 B,M (Red dwarf) Star,9,569.8965,0.3344,VI,854,2066,0.3344,1,2066,-VI-,false,Col 285 Sector CQ-N c7-22 AB 1 f,1107.0729,Icy body,84,2193.2949
HIP 101760,163.75,3,1,HIP 101760 A 2,252,Class III gas giant,1238.252,false,false,0,0.0011,1238.3807085,1238.3799592794448,HIP 101760 C,M (Red dwarf) Star,4,92231.625,0.6002,Va,9442,3181,0.6002,0,,-,false,HIP 101760 A 2 h,1212.366,Rocky body,157,818.8523
Firenses,113.29,1,1,Firenses 7,251,Class III gas giant,2825.647,false,true,1,0,2825.7156135,2825.7156135,Firenses,M (Red dwarf) Star,5,0,0.4901,Va,312,2925,0.4901,0,,-,false,Firenses 7 g a,2841.2358,Icy body,47,1200.421
Tripuna,107.22,2,1,Tripuna A 13,251,Class III gas giant,1937.9645,false,true,2,0.0025,1934.0934795,1934.0874354484326,Tripuna A,M (Red dwarf) Star,5,0,0.6292,Vz,212,3066,0.6292,0,,-,false,Tripuna A 13 h,1957.3929,Icy body,108,1498.8761
Alrai Sector IH-V b2-3,102.06,2,1,Alrai Sector IH-V b2-3 A 2,250,Class III gas giant,1195.0112,false,true,2,0,1195.017174,1195.017174,Alrai Sector IH-V b2-3 A,M (Red dwarf) Star,4,0,0.5701,Va,6174,3122,0.5701,0,,-,false,Alrai Sector IH-V b2-3 A 2 f a,1209.2947,Icy body,72,636.5139
Malsungga,105.55,2,1,Malsungga AB 2,250,Class III gas giant,1667.4539,true,false,1,0.0001,1696.0680945,1696.0680860196592,Malsungga B,M (Red dwarf) Star,9,158.1535,0.3506,VI,792,2156,0.3506,1,2156,-VI-,false,Malsungga AB 2 h,1684.6252,Icy body,106,3869.4817
Wolf 161,180.63,2,1,Wolf 161 B 8,249,Gas giant with water-based life,149344.8594,false,true,2,0.0153,1912.3867619999999,1912.1629135905062,Wolf 161 B,M (Red dwarf) Star,5,151147.5469,0.4756,Va,954,2970,0.4756,0,,-,false,Wolf 161 B 8 h,149447.0625,Icy body,56,4560.3179
Lidals,114.95,1,1,Lidals 2,248,Gas giant with water-based life,983.1457,false,true,1,0.0013,982.6406460000001,982.6398156683033,Lidals,M (Red dwarf) Star,5,0,0.4871,Va,3110,2961,0.4871,0,,-,false,Lidals 2 f,973.3151,Icy body,123,1628.1182
Dugnatlehi,226.63,1,1,Dugnatlehi 3,248,Class II gas giant,303.051,false,false,0,0.0001,303.0457365,303.0457349847713,Dugnatlehi,M (Red dwarf) Star,2,0,0.5762,Va,9188,3439,0.5762,0,,-,false,Dugnatlehi 3 h,295.838,Icy body,510,1531.2229
Col 285 Sector TW-F b26-1,221.09,3,3,Col 285 Sector TW-F b26-1 AB 8,248,Gas giant with water-based life,2622.1697,true,false,0,0.0081,2556.402615,2556.3187508366104,Col 285 Sector TW-F b26-1 B,M (Red dwarf) Star,6,138.4961,0.5446,Va,1380,2615,0.5597,0,,-,false,Col 285 Sector TW-F b26-1 AB 8 g,2624.1292,Icy body,63,4275.7363
HIP 83195,138.00,2,1,HIP 83195 A 4,246,Class II gas giant,3248.6121,false,true,2,0.0133,3255.9577245,3255.6697385830357,HIP 83195 B,M (Red dwarf) Star,5,48614.1484,0.5474,Va,2864,2979,0.5474,0,,-,false,HIP 83195 A 4 g,3246.8618,Icy body,78,1728.5465
Col 285 Sector FC-C c13-8,216.43,2,1,Col 285 Sector FC-C c13-8 AB 1,246,Class II gas giant,1303.0986,true,false,0,0,1196.214786,1196.214786,Col 285 Sector FC-C c13-8 B,M (Red dwarf) Star,5,689.8484,0.4854,Va,242,3059,0.4854,0,,-,false,Col 285 Sector FC-C c13-8 AB 1 e a,1313.3564,Icy body,97,1262.3226
Cherang,156.90,1,1,Cherang 3,245,Gas giant with water-based life,1921.819,false,true,2,0.1254,2.6447265,2.6238497284589943,Cherang,M (Red dwarf) Star,1,0,0.6169,Va,4520,3628,0.6169,0,,-,false,Cherang 3 f,1930.9622,Icy body,121,1309.8464
Col 285 Sector RN-T d3-68,238.72,3,1,Col 285 Sector RN-T d3-68 ABC 1,245,Class II gas giant,2007.2649,true,false,1,0.0008,2187.5880195,2187.5873194717215,Col 285 Sector RN-T d3-68 C,M (Red dwarf) Star,6,661.6345,0.4345,Va,918,2787,0.4345,0,,-,false,Col 285 Sector RN-T d3-68 ABC 1 g,1996.8794,Rocky body,185,1738.3302
HIP 91479,146.66,1,1,HIP 91479 6,244,Gas giant with water-based life,1571.8977,false,true,1,0.0022,1568.572317,1568.5685210503998,HIP 91479,M (Red dwarf) Star,2,0,0.5783,V,2376,3411,0.5783,0,,-,false,HIP 91479 6 h,1562.2667,Icy body,141,2603.6436
Kuwemarai,156.38,3,2,Kuwemarai A 1,244,Gas giant with water-based life,1535.5157,false,true,2,0.0001,1535.338584,1535.3385763233068,Kuwemarai B,M (Red dwarf) Star,3,389209.25,0.548,Va,1998,3363,0.548,1,2055,-VI-,false,Kuwemarai A 1 h,1518.6754,Rocky body,178,804.6983
Kokobii,109.13,2,1,Kokobii A 4,244,Gas giant with water-based life,2038.6454,false,true,2,0.0217,2039.2837335000002,2038.8035378048723,Kokobii B,M (Red dwarf) Star,3,259234.0469,0.6063,Va,5118,3397,0.6063,0,,-,false,Kokobii A 4 h,2014.6641,Rocky body,125,783.0054
LTT 5131,57.19,1,1,LTT 5131 3,244,Class II gas giant,2210.4797,false,true,1,0.0003,2210.0432444999997,2210.0431450480514,LTT 5131,M (Red dwarf) Star,3,0,0.5829,V,3550,3336,0.5829,0,,-,false,LTT 5131 3 h,2201.4565,Icy body,55,2835.5134
Parcae,58.23,1,1,Parcae 7,244,Gas giant with water-based life,6359.25,false,true,1,0.0015,6349.5891225000005,6349.58197920822,Parcae,M (Red dwarf) Star,2,0,0.5879,V,858,3452,0.5879,0,,-,false,Parcae 7 f,6334.9663,Icy body,39,2762.6206
Beta Caeli,93.51,3,1,Beta Caeli A 2,243,Class II gas giant,1501.0039,false,true,2,0.0003,1500.6577364999998,1500.6576689704002,Beta Caeli B,M (Red dwarf) Star,5,17994.541,0.5899,Va,1664,2946,0.5899,0,,-,false,Beta Caeli A 2 h,1488.9061,Rocky body,239,563.5872
Col 285 Sector HK-I b25-2,228.26,2,1,Col 285 Sector HK-I b25-2 AB 1,242,Gas giant with water-based life,814.3566,true,false,1,0.0002,868.867506,868.8674886226497,Col 285 Sector HK-I b25-2 A,M (Red dwarf) Star,9,0,0.3798,Va,12887,2337,0.3798,1,2337,-Va-,false,Col 285 Sector HK-I b25-2 AB 1 h,804.2216,Icy body,59,1665.175
HIP 20052,184.17,3,2,HIP 20052 3,242,Gas giant with water-based life,1986,false,false,0,0.0004,1985.5907955,1985.59063665273,Gjalis A,M (Red dwarf) Star,4,0,0.5345,Va,10142,3165,0.5345,1,2159,-VI-,false,HIP 20052 3 g,1987,Rocky body,161,844.3659
Boverda,114.57,3,1,Boverda A 1,242,Class II gas giant,3626.1226,false,true,2,0.0005,3624.373116,3624.3726629533326,Boverda B,M (Red dwarf) Star,9,63124.6719,0.4238,Va,2290,2196,0.4238,1,2196,-Va-,false,Boverda A 1 h,3623.967,Rocky body,128,817.9689
Walgal,71.88,2,1,Walgal 4,242,Class II gas giant,1263.7489,false,true,1,0.0013,1265.3269785,1265.3259092982514,Walgal,M (Red dwarf) Star,4,0,0.508,Va,2908,3177,0.508,0,,-,false,Walgal 4 f,1257.5286,Icy body,139,2318.4541
LP 715-52,36.22,1,1,LP 715-52 3,242,Gas giant with water-based life,1156.2563,false,true,1,0.0018,1157.9411025,1157.9392266338946,LP 715-52,M (Red dwarf) Star,5,0,0.4991,V,8524,2892,0.4991,0,,-,false,LP 715-52 3 g,1152.0759,Icy body,55,1773.3373
Kongi,156.54,1,1,Kongi 4,241,Gas giant with water-based life,1804.4669,false,true,1,0.0006,1804.601682,1804.601357171668,Kongi,M (Red dwarf) Star,1,0,0.6273,Va,4612,3630,0.6273,0,,-,false,Kongi 4 f,1798.4028,Icy body,128,1695.0791
Nilfheim,102.67,3,2,Nilfheim A 1,241,Gas giant with water-based life,1431.9877,false,true,3,0.0296,0.7485075,0.7481795219783514,Nilfheim C,M (Red dwarf) Star,8,107123.6641,0.4747,Va,9352,2487,0.5874,1,2487,-Va-,false,Nilfheim A 1 h,1435.5061,Icy body,230,849.0372
Col 285 Sector BW-Z b15-3,170.87,1,1,Col 285 Sector BW-Z b15-3 4,241,Gas giant with water-based life,611.256,false,true,1,0.0003,611.2811250000001,611.2810974923487,Col 285 Sector BW-Z b15-3,M (Red dwarf) Star,4,0,0.5443,Va,1740,3156,0.5443,0,,-,false,Col 285 Sector BW-Z b15-3 4 g a,608.4663,Icy body,98,1061.3596
Hyades Sector PN-K b8-5,189.61,1,1,Hyades Sector PN-K b8-5 5,240,Class II gas giant,1633.1204,false,true,1,0.0018,1630.1994345,1630.196793574777,Hyades Sector PN-K b8-5,M (Red dwarf) Star,5,0,0.5183,Va,9220,3052,0.5183,0,,-,false,Hyades Sector PN-K b8-5 5 e a,1624.922,Icy body,57,1192.8214
HR 4547,146.97,2,1,HR 4547 AB 1,240,Gas giant with water-based life,4371.0396,true,false,1,0.001,4820.6378025,4820.635392180497,HR 4547 B,M (Red dwarf) Star,3,2502.0845,0.6335,Va,1864,3306,0.6335,0,,-,false,HR 4547 AB 1 g,4411.3716,Icy body,112,4839.9321
Hotai,167.55,3,1,Hotai A 1,239,Class II gas giant,1217.4229,false,true,2,0.0004,1217.272797,1217.2726996181723,Hotai C,M (Red dwarf) Star,5,102424.7812,0.5625,Va,1510,2849,0.5625,0,,-,false,Hotai A 1 h,1202.0862,Rocky body,166,768.3821
