System name,Distance from Sol (ly),Counting moons of moons,System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Moon Star Diistance,Biggest Suitable Star Radius,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius,Star Types,Is populated,Has M or TT Star ?,Coldest M or TT Star temp.,Coldest M or TT Star lum.,Has Toroid Station
Tascheter Sector ER-M a7-0,46.38,true,0,0,Tascheter Sector ER-M a7-0,1280,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Tascheter Sector ER-M a7-0 5,2913,Icy body,20,8599.2178,-,0,false,,,false
Core Sys Sector VD-T a3-2,44.74,true,0,0,Core Sys Sector VD-T a3-2,1280,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Core Sys Sector VD-T a3-2 6,1306,Icy body,20,3138.1499,-,0,false,,,false
Wala,51.80,true,1,1,Wala B,1278,T (Brown dwarf) Star,357237,false,false,1,0.2484,248035.724703,240261.67622898496,Wala A,M (Red dwarf) Star,3,0,0.5932,V,3578,3303,356905,0.5932,Wala B 6,356905,Icy body,23,9760.709,-M (Red dwarf) Star-,1,true,3303,V,false
Piscium Sector NE-G a11-1,73.48,true,0,0,Piscium Sector NE-G a11-1,1277,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Piscium Sector NE-G a11-1 6,1505,Icy body,20,3672.7285,-,0,false,,,false
Tascheter Sector GR-M a7-1,48.98,true,0,0,Tascheter Sector GR-M a7-1,1275,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Tascheter Sector GR-M a7-1 7,1963,Icy body,20,1680.3629,-,0,false,,,false
Alrai Sector FQ-P a5-1,74.77,true,0,0,Alrai Sector FQ-P a5-1,1273,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Alrai Sector FQ-P a5-1 7,320,Icy body,27,4733.7104,-,0,false,,,false
Piscium Sector SZ-O a6-1,72.19,true,1,1,Piscium Sector SZ-O a6-1 B,1270,T (Brown dwarf) Star,28776,false,false,1,0.3269,18857.798154,17821.73063364517,Piscium Sector SZ-O a6-1 A,L (Brown dwarf) Star,9,0,0.3236,V,12894,1954,28853,0.3236,Piscium Sector SZ-O a6-1 B 7,28853,Icy body,37,4811.9321,-L (Brown dwarf) Star-,0,false,,,false
Njirus,59.37,true,0,0,Njirus,1268,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Njirus 6,2335,Icy body,20,3136.0591,-,1,false,,,false
Tascheter Sector SY-R a4-1,70.48,true,0,0,Tascheter Sector SY-R a4-1,1268,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Tascheter Sector SY-R a4-1 5,2935,Icy body,20,6868.7793,-,0,false,,,false
Piscium Sector YF-N a7-0,58.29,true,0,0,Piscium Sector YF-N a7-0,1267,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Piscium Sector YF-N a7-0 13 a,1150,Icy body,20,521.6138,-,0,false,,,false
LTT 1678,35.03,true,1,1,LTT 1678 B,1266,T (Brown dwarf) Star,32490,false,false,1,0.1344,25554.644856,25322.791698053265,LTT 1678 A,M (Red dwarf) Star,7,0,0.4499,V,1108,2522,31469,0.4499,LTT 1678 B 4,31469,Class I gas giant,25,52049.0938,-M (Red dwarf) Star-,1,true,2522,V,false
Piscium Sector EX-J a9-1,51.78,true,0,0,Piscium Sector EX-J a9-1,1264,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Piscium Sector EX-J a9-1 7,512,Icy body,21,2392.0454,-,0,false,,,false
G 172-15,66.60,true,1,1,G 172-15 B,1263,T (Brown dwarf) Star,29862,false,false,1,0.0329,23598.7947585,23586.019514833868,G 172-15 A,M (Red dwarf) Star,6,0,0.4763,V,9812,2728,30046,0.4763,G 172-15 B 6,30046,Icy body,25,6078.168,-M (Red dwarf) Star-,0,true,2728,V,false
Core Sys Sector HW-N a6-1,48.86,true,0,0,Core Sys Sector HW-N a6-1,1263,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Core Sys Sector HW-N a6-1 5,2851,Icy body,20,8285.2354,-,0,false,,,false
Core Sys Sector SX-U a2-0,47.42,true,0,0,Core Sys Sector SX-U a2-0,1260,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Core Sys Sector SX-U a2-0 6,989,Icy body,20,8313.8525,-,0,false,,,false
Alrai Sector EQ-P a5-1,76.05,true,0,0,Alrai Sector EQ-P a5-1,1258,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Alrai Sector EQ-P a5-1 6,3118,Icy body,20,2134.8845,-,0,false,,,false
LHS 250,42.81,true,2,2,LHS 250 C,1257,T (Brown dwarf) Star,69448,false,false,1,0.1084,53748.626958,53431.90556216786,LHS 250 B,T (Brown dwarf) Star,9,652,0.2304,V,7644,1251,70476,0.511,LHS 250 C 6,71128,Icy body,20,9898.1855,-M (Red dwarf) Star-T (Brown dwarf) Star-,1,true,3012,V,false
Alrai Sector RI-T a3-0,78.89,true,0,0,Alrai Sector RI-T a3-0,1252,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Alrai Sector RI-T a3-0 6,3162,Icy body,20,3093.9673,-,0,false,,,false
L 26-27,32.59,true,1,1,L 26-27 B,1251,T (Brown dwarf) Star,292255,false,false,1,0.124,231758.3313045,229969.67100824005,L 26-27 A,M (Red dwarf) Star,5,0,0.5365,V,7208,3012,290685,0.5365,L 26-27 B 6,290685,Icy body,20,8069.9487,-M (Red dwarf) Star-,1,true,3012,V,false
RY Sextantis,44.66,true,1,1,RY Sextantis B,1249,T (Brown dwarf) Star,51680,false,false,1,0.2489,37260.553648500005,36087.9338079307,RY Sextantis A,M (Red dwarf) Star,9,0,0.4008,V,11698,2291,51154,0.4008,RY Sextantis B 6,51154,Icy body,20,5330.6069,-M (Red dwarf) Star-,0,true,2291,V,false
LHS 3205,73.14,true,1,1,LHS 3205 B,1248,T (Brown dwarf) Star,46982,false,false,1,0.3103,36768.235315499995,34953.30688134237,LHS 3205 A,M (Red dwarf) Star,8,0,0.434,V,10122,2475,44675,0.434,LHS 3205 B 7,44675,Icy body,20,7623.2539,-M (Red dwarf) Star-,0,true,2475,V,false
LP 45-128,77.67,true,2,2,LP 45-128 B,1248,T (Brown dwarf) Star,3738,false,false,2,0.1581,2746.922724,2712.374967708675,LP 45-128 A,M (Red dwarf) Star,7,0,0.4585,V,10098,2580,3643,0.4585,LP 45-128 B 4 a,3643,Icy body,114,1707.8818,-T (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2580,V,false
Hyades Sector LF-J a24-1,57.59,true,0,0,Hyades Sector LF-J a24-1,1247,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Hyades Sector LF-J a24-1 6,1728,Icy body,20,7616.709,-,0,false,,,false
Alrai Sector HB-O a6-0,75.07,true,0,0,Alrai Sector HB-O a6-0,1244,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Alrai Sector HB-O a6-0 6,1441,Icy body,20,1603.3102,-,0,false,,,false
Core Sys Sector HH-M a7-2,39.93,true,0,0,Core Sys Sector HH-M a7-2,1242,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Core Sys Sector HH-M a7-2 5 a,1673,Icy body,20,780.76,-,0,false,,,false
Tascheter Sector ZZ-P a5-3,65.81,true,0,0,Tascheter Sector ZZ-P a5-3,1236,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Tascheter Sector ZZ-P a5-3 6,1727,Icy body,20,2540.0449,-,0,false,,,false
LHS 3923,58.16,true,1,1,LHS 3923 B,1233,T (Brown dwarf) Star,3818,false,false,1,0.3189,2863.8395954999996,2714.3138556529957,LHS 3923 A,M (Red dwarf) Star,6,0,0.4643,V,9108,2754,3754,0.4643,LHS 3923 B 4 a,3754,Icy body,103,1133.0948,-M (Red dwarf) Star-,1,true,2754,V,false
Othime,58.77,true,0,0,Othime,1232,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Othime 7,6100,Icy body,20,8336.0449,-,1,false,,,false
Piscium Sector GS-J a9-1,57.87,true,0,0,Piscium Sector GS-J a9-1,1231,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Piscium Sector GS-J a9-1 6,3586,Icy body,20,4753.4102,-,0,false,,,false
Piscium Sector JS-S a4-0,70.33,true,0,0,Piscium Sector JS-S a4-0,1230,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Piscium Sector JS-S a4-0 6,2413,Icy body,20,7093.8423,-,0,false,,,false
Hanung Tzu,54.17,true,0,0,Hanung Tzu,1230,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Hanung Tzu 10 e,539,Icy body,21,1295.0063,-,1,false,,,false
Piscium Sector JD-I a10-1,50.99,true,0,0,Piscium Sector JD-I a10-1,1227,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Piscium Sector JD-I a10-1 6,4002,Icy body,20,1959.9333,-,0,false,,,false
LFT 1404,51.76,true,1,1,LFT 1404 B,1227,T (Brown dwarf) Star,86525,false,false,1,0.1512,57050.093938499995,56394.1999449607,LFT 1404 A,M (Red dwarf) Star,6,0,0.4716,V,9788,2632,86376,0.4716,LFT 1404 B 6,86376,Icy body,20,7751.9585,-M (Red dwarf) Star-,1,true,2632,V,false
LP 45-128,77.67,true,2,2,LP 45-128 C,1222,T (Brown dwarf) Star,174721,false,false,1,0.3602,164691.3606975,153636.47026832812,LP 45-128 B,T (Brown dwarf) Star,9,3738,0.2068,V,10098,1248,171517,0.4585,LP 45-128 C 7,175255,Icy body,20,9207.1602,-T (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2580,V,false
Tascheter Sector JS-K a8-1,44.21,true,0,0,Tascheter Sector JS-K a8-1,1218,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Tascheter Sector JS-K a8-1 5,1634,Icy body,20,2478.9436,-,0,false,,,false
Tascheter Sector NS-T a3-2,74.49,true,0,0,Tascheter Sector NS-T a3-2,1218,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Tascheter Sector NS-T a3-2 12 c,1046,Icy body,20,485.3119,-,0,false,,,false
Crucis Sector QI-T a3-2,66.69,true,0,0,Crucis Sector QI-T a3-2,1216,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Crucis Sector QI-T a3-2 6,2614,Icy body,20,7329.1387,-,0,false,,,false
Col 285 Sector QQ-N a36-2,57.95,true,0,0,Col 285 Sector QQ-N a36-2,1213,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Col 285 Sector QQ-N a36-2 6,3093,Icy body,20,1994.9259,-,0,false,,,false
Piscium Sector MY-Q a5-1,68.22,true,0,0,Piscium Sector MY-Q a5-1,1213,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Piscium Sector MY-Q a5-1 6,2341,Icy body,20,8747.3682,-,0,false,,,false
Piscium Sector GS-J a9-0,60.46,true,0,0,Piscium Sector GS-J a9-0,1210,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Piscium Sector GS-J a9-0 6,1587,Icy body,20,5231.686,-,0,false,,,false
Trianguli Sector BH-L a8-1,70.12,true,0,0,Trianguli Sector BH-L a8-1,1208,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Trianguli Sector BH-L a8-1 4,1285,Icy body,20,8683.9268,-,0,false,,,false
LHS 1743,75.88,true,1,1,LHS 1743 B,1203,T (Brown dwarf) Star,18066,false,false,1,0.1911,13672.4874975,13420.511388791767,LHS 1743 A,M (Red dwarf) Star,3,0,0.5799,V,3136,3388,18820,0.5799,LHS 1743 B 7,18820,Class I gas giant,37,38570.2031,-M (Red dwarf) Star-,1,true,3388,V,false
Hill Pa Hsi,38.92,true,1,1,Hill Pa Hsi B,1200,T (Brown dwarf) Star,88840,false,false,1,0.1663,78978.319758,77878.56284929765,Hill Pa Hsi A,M (Red dwarf) Star,9,0,0.3663,Va,7434,2235,86630,0.3663,Hill Pa Hsi B 7,86630,Icy body,20,6433.7412,-M (Red dwarf) Star-,1,true,2235,Va,false
Carichilo,71.99,true,2,2,Carichilo B,1197,T (Brown dwarf) Star,1569,false,false,2,0.341,1163.5299585,1093.791807481251,Carichilo A,M (Red dwarf) Star,9,0,0.3685,VI,850,2112,1598,0.3685,Carichilo B 6,1598,Icy body,94,2742.2104,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2112,VI,true
Piscium Sector MY-Q a5-2,77.30,true,0,0,Piscium Sector MY-Q a5-2,1195,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Piscium Sector MY-Q a5-2 6,2748,Icy body,20,6990.1152,-,0,false,,,false
Trianguli Sector ZL-L a8-1,67.21,true,0,0,Trianguli Sector ZL-L a8-1,1192,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Trianguli Sector ZL-L a8-1 6,2740,Icy body,20,3948.5308,-,0,false,,,false
Piscium Sector CM-L a8-2,54.22,true,0,0,Piscium Sector CM-L a8-2,1192,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Piscium Sector CM-L a8-2 6,2881,Icy body,20,7070.3027,-,0,false,,,false
Njuwai,49.22,true,0,0,Njuwai,1187,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Njuwai 6,665,Class I gas giant,24,49674.2617,-,1,false,,,false
Crucis Sector MC-V a2-0,71.26,true,0,0,Crucis Sector MC-V a2-0,1186,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Crucis Sector MC-V a2-0 6,1894,Icy body,20,7118.1489,-,0,false,,,false
Tascheter Sector HR-M a7-0,59.92,true,0,0,Tascheter Sector HR-M a7-0,1185,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Tascheter Sector HR-M a7-0 4 a,748,Icy body,20,1649.6185,-,0,false,,,false
Trianguli Sector QZ-O a6-2,70.90,true,0,0,Trianguli Sector QZ-O a6-2,1184,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Trianguli Sector QZ-O a6-2 6,3387,Icy body,20,8632.4492,-,0,false,,,false
Tascheter Sector XZ-P a5-0,68.09,true,0,0,Tascheter Sector XZ-P a5-0,1181,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Tascheter Sector XZ-P a5-0 4 a,1475,Icy body,20,2717.2063,-,0,false,,,false
Alrai Sector BK-R a4-2,65.16,true,0,0,Alrai Sector BK-R a4-2,1178,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Alrai Sector BK-R a4-2 6,1848,Icy body,20,6715.1372,-,0,false,,,false
Puppis Sector YP-P a5-2,50.46,true,0,0,Puppis Sector YP-P a5-2,1178,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Puppis Sector YP-P a5-2 5,2540,Icy body,20,9251.7383,-,0,false,,,false
Alrai Sector QC-V a2-4,51.74,true,0,0,Alrai Sector QC-V a2-4,1171,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Alrai Sector QC-V a2-4 7,1900,Icy body,20,6590.1079,-,0,false,,,false
Jastreb Sector SO-R a4-0,69.69,true,0,0,Jastreb Sector SO-R a4-0,1170,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Jastreb Sector SO-R a4-0 6,1203,Icy body,20,6062.0771,-,0,false,,,false
Alrai Sector DV-P a5-3,72.44,true,0,0,Alrai Sector DV-P a5-3,1169,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Alrai Sector DV-P a5-3 7,1109,Icy body,20,3287.8005,-,0,false,,,false
LHS 154a,45.92,true,1,1,LHS 154a B,1166,T (Brown dwarf) Star,25177,false,false,1,0.0806,18349.811063999998,18290.11045755624,LHS 154a A,M (Red dwarf) Star,7,0,0.4425,V,7732,2589,25357,0.4425,LHS 154a B 6,25357,Icy body,20,7305.0044,-M (Red dwarf) Star-,1,true,2589,V,false
Tascheter Sector ZF-O a6-0,66.06,true,0,0,Tascheter Sector ZF-O a6-0,1154,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Tascheter Sector ZF-O a6-0 5,1066,Icy body,20,4566.0757,-,0,false,,,false
Puppis Sector FW-N a6-3,69.71,true,0,0,Puppis Sector FW-N a6-3,1152,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Puppis Sector FW-N a6-3 6,3511,Icy body,20,10043.7178,-,0,false,,,false
Puppis Sector XJ-R a4-3,71.06,true,0,0,Puppis Sector XJ-R a4-3,1146,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Puppis Sector XJ-R a4-3 4 a,1781,Icy body,20,4309.5791,-,0,false,,,false
Apoyota,70.15,true,2,2,Apoyota C,1146,T (Brown dwarf) Star,247054,false,false,2,0.0167,2271.770163,2271.453353919359,Apoyota B,M (Red dwarf) Star,9,250116,0.3488,Va,12860,2188,3139,0.6329,Apoyota C 6,246977,Icy body,53,3146.8252,-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2188,Va,false
Wu Zong,49.05,true,1,1,Wu Zong,1146,T (Brown dwarf) Star,0,false,false,0,,0,0,Wu Zong Core Sys Sector MN-K a8-0,T (Brown dwarf) Star,9,0,0.211,V,9910,1146,2777,0.211,Wu Zong 6,2777,Icy body,20,3010.8877,-T (Brown dwarf) Star-,0,false,,,false
Col 285 Sector DD-K a38-0,79.54,true,0,0,Col 285 Sector DD-K a38-0,1144,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Col 285 Sector DD-K a38-0 6,1370,Icy body,20,1750.7137,-,0,false,,,false
Mammentum,57.72,true,0,0,Mammentum,1142,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Mammentum 6,2145,Icy body,20,6640.6025,-,0,false,,,false
Piscium Sector JS-S a4-2,74.95,true,0,0,Piscium Sector JS-S a4-2,1138,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Piscium Sector JS-S a4-2 6,4533,Icy body,20,8494.8643,-,0,false,,,false
Puppis Sector JC-M a7-0,66.00,true,0,0,Puppis Sector JC-M a7-0,1135,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Puppis Sector JC-M a7-0 5,1278,Icy body,20,2024.27,-,0,false,,,false
Mitlhou Wa,79.60,true,0,0,Mitlhou Wa,1131,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Mitlhou Wa 7,1003,Class I gas giant,17,44243.9609,-,1,false,,,false
LP 274-24,77.46,true,1,1,LP 274-24 B,1131,T (Brown dwarf) Star,40583,false,false,1,0.0496,29521.5849045,29485.2486313172,LP 274-24 A,M (Red dwarf) Star,9,0,0.3782,V,11652,2226,39375,0.3782,LP 274-24 B 5 a,39375,Icy body,20,3002.7446,-M (Red dwarf) Star-,0,true,2226,V,false
Puppis Sector JC-M a7-1,66.17,true,2,2,Puppis Sector JC-M a7-1 C,1129,T (Brown dwarf) Star,92117,false,false,1,0.0532,72393.64938,72291.13108965021,Puppis Sector JC-M a7-1 B,L (Brown dwarf) Star,9,9928,0.285,V,624,1797,82972,0.3699,Puppis Sector JC-M a7-1 C 7,92900,Icy body,20,1265.2448,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2159,VI,false
Rolli,61.19,true,1,1,Rolli,1129,T (Brown dwarf) Star,0,false,false,0,,0,0,Rolli Col 285 Sector TQ-N a36-3,T (Brown dwarf) Star,9,0,0.2078,V,6230,1129,3227,0.2078,Rolli 5,3227,Icy body,20,2934.1729,-T (Brown dwarf) Star-,0,false,,,false
Rolli,61.19,true,1,1,Rolli Col 285 Sector TQ-N a36-3,1129,T (Brown dwarf) Star,0,false,false,0,,0,0,Rolli,T (Brown dwarf) Star,9,0,0.2078,V,6230,1129,3230,0.2078,Rolli Col 285 Sector TQ-N a36-3 5,3230,Icy body,20,2934.1729,-T (Brown dwarf) Star-,0,false,,,false
Tascheter Sector ST-R a4-0,67.83,true,0,0,Tascheter Sector ST-R a4-0,1122,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Tascheter Sector ST-R a4-0 7,2751,Icy body,20,915.9467,-,0,false,,,false
Piscium Sector UZ-O a6-3,59.63,true,0,0,Piscium Sector UZ-O a6-3,1121,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Piscium Sector UZ-O a6-3 7,385,Icy body,21,7408.2109,-,0,false,,,false
Alrai Sector FV-P a5-2,64.74,true,0,0,Alrai Sector FV-P a5-2,1120,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Alrai Sector FV-P a5-2 5 a,3392,Icy body,20,3150.1499,-,0,false,,,false
Piscium Sector IY-H a10-1,79.66,true,0,0,Piscium Sector IY-H a10-1,1118,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Piscium Sector IY-H a10-1 6,2434,Icy body,20,7837.4844,-,0,false,,,false
Tascheter Sector NY-R a4-2,78.02,true,0,0,Tascheter Sector NY-R a4-2,1111,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Tascheter Sector NY-R a4-2 7,3034,Icy body,20,2892.6704,-,0,false,,,false
Alrai Sector GQ-P a5-1,70.59,true,0,0,Alrai Sector GQ-P a5-1,1108,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Alrai Sector GQ-P a5-1 7,3940,Icy body,20,10848.8828,-,0,false,,,false
Baraswar,71.75,true,0,0,Baraswar,1107,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Baraswar 4,75,Icy body,51,3341.3936,-,1,false,,,false
Core Sys Sector TO-R a4-0,32.35,true,0,0,Core Sys Sector TO-R a4-0,1106,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Core Sys Sector TO-R a4-0 5,5388,Icy body,20,8222.8906,-,0,false,,,false
Orna,61.53,true,1,1,Col 285 Sector XB-M a37-1,1102,T (Brown dwarf) Star,0,false,false,0,,0,0,Orna,T (Brown dwarf) Star,9,0,0.1703,V,314,1102,959,0.1703,Col 285 Sector XB-M a37-1 5,959,Icy body,20,2480.9629,-T (Brown dwarf) Star-,1,false,,,false
Orna,61.53,true,1,1,Orna,1102,T (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector XB-M a37-1,T (Brown dwarf) Star,9,0,0.1703,V,314,1102,959,0.1703,Orna 5,959,Icy body,20,2480.96,-T (Brown dwarf) Star-,1,false,,,false
Tascheter Sector IS-K a8-1,41.17,true,0,0,Tascheter Sector IS-K a8-1,1101,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Tascheter Sector IS-K a8-1 7,3378,Icy body,20,3555.2976,-,0,false,,,false
Puppis Sector EW-N a6-1,58.22,true,0,0,Puppis Sector EW-N a6-1,1100,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Puppis Sector EW-N a6-1 6,2799,Icy body,20,1682.745,-,0,false,,,false
Piscium Sector OE-G a11-0,67.76,true,1,1,Piscium Sector OE-G a11-0 B,1099,T (Brown dwarf) Star,17776,false,false,1,0.0489,13178.123244,13162.357983806156,Piscium Sector OE-G a11-0 A,M (Red dwarf) Star,9,0,0.3872,VI,3744,2131,17362,0.3872,Piscium Sector OE-G a11-0 B 5,17362,Icy body,25,3173.2612,-M (Red dwarf) Star-,0,true,2131,VI,false
Trianguli Sector PY-R b4-0,75.36,true,1,1,Trianguli Sector PY-R b4-0 B,1099,T (Brown dwarf) Star,219024,false,false,1,0.1548,163446.692526,161476.4780590022,Trianguli Sector PY-R b4-0 A,M (Red dwarf) Star,6,0,0.4619,Va,2258,2637,222952,0.4619,Trianguli Sector PY-R b4-0 B 5,222952,Icy body,20,6691.2056,-M (Red dwarf) Star-,0,true,2637,Va,false
Col 285 Sector QQ-N a36-1,55.70,true,0,0,Col 285 Sector QQ-N a36-1,1098,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Col 285 Sector QQ-N a36-1 6,1706,Icy body,20,1822.2297,-,0,false,,,false
LHS 2094,63.64,true,3,3,LHS 2094 D,1097,T (Brown dwarf) Star,34910,false,false,2,0.0295,747.4595895,747.1342803556433,LHS 2094 C,T (Brown dwarf) Star,9,35802,0.1548,V,6574,1002,825,0.5353,LHS 2094 D 7,34977,Icy body,77,1674.9639,-T (Brown dwarf) Star-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3093,V,false
Col 285 Sector LK-P a35-0,59.09,true,2,2,Col 285 Sector LK-P a35-0 C,1096,T (Brown dwarf) Star,106750,false,false,1,0.2059,74642.565114,73043.2016810019,Col 285 Sector LK-P a35-0 B,L (Brown dwarf) Star,9,5820,0.2801,V,8426,1612,103276,0.3188,Col 285 Sector LK-P a35-0 C 6 a,109096,Icy body,20,1403.5778,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Ackycha,55.27,true,2,2,Ackycha C,1094,T (Brown dwarf) Star,394064,false,false,1,0.1572,356662.6760385,352228.21323747287,Ackycha B,L (Brown dwarf) Star,9,24439,0.2732,V,8790,1505,370025,0.476,Ackycha C 5,394464,Icy body,20,6822.9502,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2852,V,false
Sesmetae,79.26,true,0,0,Sesmetae,1092,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Sesmetae 5,2553,Icy body,20,6294.6216,-,1,false,,,false
Col 285 Sector SW-L a37-0,77.82,true,0,0,Col 285 Sector SW-L a37-0,1092,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Col 285 Sector SW-L a37-0 7,1786,Icy body,20,6279.3799,-,0,false,,,false
Dewikum,71.61,true,2,2,Dewikum C,1091,T (Brown dwarf) Star,224733,false,false,2,0.484,1609.390926,1408.326494580828,Dewikum B,L (Brown dwarf) Star,9,222545,0.3044,V,2798,1828,2120,0.509,Dewikum C 7,224665,Icy body,106,1032.906,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2707,Va,false
Tascheter Sector OY-R a4-1,69.48,true,0,0,Tascheter Sector OY-R a4-1,1090,T (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Tascheter Sector OY-R a4-1 6,2232,Icy body,20,4711.8828,-,0,false,,,false
Hyades Sector RL-H a25-0,64.53,true,2,2,Hyades Sector RL-H a25-0 B,1089,T (Brown dwarf) Star,28527,false,false,2,0.3254,17273.856483,16333.752048159324,Hyades Sector RL-H a25-0 A,L (Brown dwarf) Star,9,0,0.3419,V,11636,1824,29239,0.3419,Hyades Sector RL-H a25-0 B 6,29239,Icy body,20,6293.6611,-L (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
