System name,Distance from Sol (ly),System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius,Star Types,Is populated,Has M or TT Star ?,Coldest M or TT Star temp.,Coldest M or TT Star lum.,Has Toroid Station
Shoshonean,159.88,3,3,Shoshonean ABC 3,463,Class III gas giant,2349,true,false,1,0.0006,2168.4761280000002,2168.475737674262,Shoshonean B,M (Red dwarf) Star,6,489,0.469,Va,632,2719,0.469,Shoshonean ABC 3 h,2347,Icy body,58,3321.2795,-M (Red dwarf) Star-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2700,Va,false
Bered,143.93,3,3,Bered ABC 1,463,Class III gas giant,1257,true,false,1,0,1181.7935415,1181.7935415,Bered B,M (Red dwarf) Star,7,371,0.4828,Va,4672,2517,12,Bered ABC 1 h,1273,Rocky body,416,552.2814,-M (Red dwarf) Star-L (Brown dwarf) Star-K (Yellow-Orange giant) Star-,1,true,2517,Va,false
HIP 47966,175.73,1,1,HIP 47966 8,463,Class III gas giant,2868,false,true,2,0.004,0.1497015,0.1497003023832095,HIP 47966,F (White) Star,0,0,1.1554,V,4304,6695,1.1554,HIP 47966 8 h,2871,Rocky body,180,1270.7321,-F (White) Star-,0,false,,,false
HIP 74049,147.22,7,7,HIP 74049 AB 4,462,Y (Brown dwarf) Star,3456,true,false,2,0.081,3297.724443,3286.8884549860077,HIP 74049 AB 4,Y (Brown dwarf) Star,9,3456,0.0894,V,12926,462,1.0923,HIP 74049 AB 4 h,3461,Rocky body,167,2789.873,-G (White-Yellow) Star-K (Yellow-Orange) Star-K (Yellow-Orange) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,0,false,,,false
HIP 17269,252.65,1,1,HIP 17269 6,462,Class III gas giant,3911,false,true,1,0.008,3904.4646224999997,3904.33967763293,HIP 17269,G (White-Yellow) Star,0,0,1.0259,IV,9668,5687,1.0259,HIP 17269 6 h,4027,Icy body,99,2491.7202,-G (White-Yellow) Star-,1,false,,,false
Col 285 Sector SF-M c8-11,254.80,5,5,Col 285 Sector SF-M c8-11 AB 3,461,Y (Brown dwarf) Star,1955,true,false,1,0.009,2163.086874,2162.99926720753,Col 285 Sector SF-M c8-11 AB 3,Y (Brown dwarf) Star,9,1955,0.0682,V,8524,461,0.8499,Col 285 Sector SF-M c8-11 AB 3 h,1935,Icy body,108,4434.2393,-K (Yellow-Orange) Star-K (Yellow-Orange) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,0,false,,,false
LTT 7786,88.79,3,3,LTT 7786 11,461,Class III gas giant,4624,false,true,1,0.0094,4654.119834,4653.9142104434095,LTT 7786 10,Y (Brown dwarf) Star,9,3300,0.0595,V,1856,395,0.8434,LTT 7786 11 h,4546,Icy body,45,2657.0093,-K (Yellow-Orange) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,1,false,,,false
HIP 27517,267.57,2,2,HIP 27517 A 4,461,Class III gas giant,1418,false,true,2,0.002,1420.567434,1420.564592862291,HIP 27517 A,G (White-Yellow) Star,0,0,9.8795,III,9154,4522,9.8795,HIP 27517 A 4 h,1431,Rocky body,387,768.3266,-G (White-Yellow) Star-K (Yellow-Orange) Star-,0,false,,,false
Col 285 Sector ZB-B c14-17,232.61,5,5,Col 285 Sector ZB-B c14-17 AB 4,460,Y (Brown dwarf) Star,3544,true,false,2,0.1579,102.395826,101.11128140523185,Col 285 Sector ZB-B c14-17 AB 4,Y (Brown dwarf) Star,9,3544,0.0912,V,2578,460,0.9627,Col 285 Sector ZB-B c14-17 AB 4 h,3542,Rocky body,117,1033.2445,-K (Yellow-Orange) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-M (Red dwarf) Star-Y (Brown dwarf) Star-,0,true,3236,Va,false
Misarret,148.42,1,1,Misarret 12,460,Class III gas giant,2478,false,false,0,0.0003,2478.05883,2478.0587184873502,Misarret,K (Yellow-Orange) Star,0,0,0.7285,Va,498,4593,0.7285,Misarret 12 h,2422,Icy body,79,3163.2712,-K (Yellow-Orange) Star-,1,false,,,false
Marana,99.34,2,2,Marana 7,460,Class III gas giant,3674,false,true,1,0.0002,3673.67481,3673.6747365265032,Marana 6,Y (Brown dwarf) Star,9,2680,0.0616,V,820,356,0.6975,Marana 7 h,3691,Icy body,121,2323.2256,-K (Yellow-Orange) Star-Y (Brown dwarf) Star-,1,false,,,false
Kakmbutan,158.86,1,1,Kakmbutan 6,460,Class III gas giant,1242,false,true,2,0.005,0.6487065,0.6486983911180692,Kakmbutan,G (White-Yellow) Star,0,0,0.9466,Vab,7644,5716,0.9466,Kakmbutan 6 h,1233,Rocky body,181,1361.891,-G (White-Yellow) Star-,1,false,,,false
Arietis Sector ZE-A d74,242.59,3,3,Arietis Sector ZE-A d74 2,459,Y (Brown dwarf) Star,3756,false,true,1,0.0017,3760.7511825,3760.745748210615,Arietis Sector ZE-A d74 2,Y (Brown dwarf) Star,9,3756,0.0812,V,3502,459,1.301,Arietis Sector ZE-A d74 2 h,3753,Rocky body,179,1346.1604,-F (White) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,0,false,,,false
LTT 12378,115.98,2,2,LTT 12378 A 8,459,Class III gas giant,4566,false,true,2,0.0025,4562.9516205,4562.937361253906,LTT 12378 A,K (Yellow-Orange) Star,0,0,0.88,V,1012,4884,0.88,LTT 12378 A 8 h,4545,Icy body,60,2289.2593,-K (Yellow-Orange) Star-M (Red dwarf) Star-,1,true,2364,Va,false
Hyades Sector DV-Y c16,274.73,3,3,Hyades Sector DV-Y c16 AB 3,459,Class III gas giant,2880,true,false,2,0.0031,2950.11756,2950.1033846510677,Hyades Sector DV-Y c16 B,K (Yellow-Orange) Star,0,212,0.6793,Vab,8506,4394,0.9643,Hyades Sector DV-Y c16 AB 3 h,2866,Icy body,110,4193.1567,-K (Yellow-Orange) Star-K (Yellow-Orange) Star-M (Red dwarf) Star-,0,true,2346,Va,false
Col 285 Sector ZV-M d7-98,250.79,2,2,Col 285 Sector ZV-M d7-98 8,458,Y (Brown dwarf) Star,2861,false,true,2,0.0651,0.6487065,0.6473304281834524,Col 285 Sector ZV-M d7-98 8,Y (Brown dwarf) Star,9,2861,0.0685,V,1912,458,1.0954,Col 285 Sector ZV-M d7-98 8 h,2858,Rocky body,127,973.7514,-G (White-Yellow) Star-Y (Brown dwarf) Star-,0,false,,,false
HIP 4310,159.66,2,2,HIP 4310 B 9,458,Class III gas giant,147645,false,true,2,0.0101,2535.344604,2535.2152854504425,HIP 4310 B,K (Yellow-Orange) Star,0,147475,0.8177,Va,4022,4869,0.9217,HIP 4310 B 9 h,147641,Icy body,110,2117.7966,-K (Yellow-Orange giant) Star-K (Yellow-Orange) Star-,1,false,,,false
HIP 47966,175.73,1,1,HIP 47966 10,458,Class III gas giant,4245,false,true,1,0.018,4315.944145500001,4315.244905905433,HIP 47966,F (White) Star,0,0,1.1554,V,4304,6695,1.1554,HIP 47966 10 h,4253,Icy body,93,1769.4905,-F (White) Star-,0,false,,,false
Col 285 Sector NI-S c4-6,227.37,2,2,Col 285 Sector NI-S c4-6 A 11,457,Class III gas giant,2266,false,true,2,0.0115,2264.584491,2264.4347403992397,Col 285 Sector NI-S c4-6 A,G (White-Yellow) Star,0,0,0.9356,Vz,214,5666,0.9356,Col 285 Sector NI-S c4-6 A 11 h,2275,Rocky body,178,1551.647,-G (White-Yellow) Star-M (Red dwarf) Star-,0,true,2705,Vz,false
HIP 50973,286.86,1,1,HIP 50973 2,457,Class III gas giant,1102,false,true,1,0.0027,1104.4477665,1104.443740780554,HIP 50973,F (White) Star,0,0,1.2762,V,2552,7201,1.2762,HIP 50973 2 h,1100,Rocky body,237,1245.0863,-F (White) Star-,0,false,,,false
Col 285 Sector ZG-B c14-1,251.46,5,5,Col 285 Sector ZG-B c14-1 ABC 1,456,Y (Brown dwarf) Star,2914,true,false,1,0.0007,3136.046823,3136.0460546684344,Col 285 Sector ZG-B c14-1 ABC 1,Y (Brown dwarf) Star,9,2914,0.0829,V,698,456,0.8397,Col 285 Sector ZG-B c14-1 ABC 1 h,2863,Icy body,101,6274.501,-K (Yellow-Orange) Star-M (Red dwarf) Star-L (Brown dwarf) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,0,true,3463,Va,false
LTT 7370,69.83,1,1,LTT 7370 4,456,Class III gas giant,2443,false,true,1,0.0003,2442.529674,2442.529564086162,LTT 7370,K (Yellow-Orange) Star,0,0,0.6876,V,8482,3991,0.6876,LTT 7370 4 h,2423,Icy body,124,1840.0483,-K (Yellow-Orange) Star-,1,false,,,false
HIP 45996,156.66,5,5,HIP 45996 ABCD 1,456,Class III gas giant,2007,true,false,2,0.0001,1899.911637,1899.9116275004415,HIP 45996 C,K (Yellow-Orange) Star,0,876,0.7315,Va,5136,4198,0.9468,HIP 45996 ABCD 1 h,1997,Rocky body,183,1568.0461,-M (Red dwarf) Star-G (White-Yellow) Star-K (Yellow-Orange) Star-M (Red dwarf) Star-M (Red dwarf) Star-,0,true,2424,Va,false
Synuefe AW-L c24-17,283.16,1,1,Synuefe AW-L c24-17 11,455,Class III gas giant,2169,false,true,1,0.0007,2167.4282175,2167.4276864800213,Synuefe AW-L c24-17,K (Yellow-Orange) Star,0,0,0.9132,Va,466,4410,0.9132,Synuefe AW-L c24-17 11 h,2155,Icy body,100,2435.1279,-K (Yellow-Orange) Star-,0,false,,,false
Lyncis Sector CL-Y c18,202.41,3,3,Lyncis Sector CL-Y c18 AB 1,454,Y (Brown dwarf) Star,2928,true,false,1,0.0047,3155.6078190000003,3155.5729651191573,Lyncis Sector CL-Y c18 AB 1,Y (Brown dwarf) Star,9,2928,0.0787,V,3830,454,0.8114,Lyncis Sector CL-Y c18 AB 1 h,2896,Icy body,73,3151.5071,-K (Yellow-Orange) Star-Y (Brown dwarf) Star-M (Red dwarf) Star-,0,true,2384,Va,false
HIP 28720,229.20,5,5,HIP 28720 AB 4,454,Y (Brown dwarf) Star,3682,true,false,1,0.0378,4100.423886,4097.493413999267,HIP 28720 AB 4,Y (Brown dwarf) Star,9,3682,0.0839,V,12854,454,0.9491,HIP 28720 AB 4 h,3747,Rocky body,97,3362.5554,-G (White-Yellow) Star-K (Yellow-Orange) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,0,false,,,false
HIP 105439,151.14,3,3,HIP 105439 AB 4,454,Class III gas giant,1369,true,false,2,0.0008,1375.2078795,1375.2074394334081,HIP 105439 B,M (Red dwarf) Star,2,43,0.5976,Va,6112,3481,3.0886,HIP 105439 AB 4 h,1371,Rocky body,245,508.1034,-G (White-Yellow) Star-M (Red dwarf) Star-K (Yellow-Orange) Star-,1,true,3481,Va,false
Saelishi,262.94,1,1,Saelishi 9,454,Class III gas giant,3538,false,true,1,0.0172,3478.5139545,3477.9993746547098,Saelishi,K (Yellow-Orange) Star,0,0,0.9104,Va,362,4850,0.9104,Saelishi 9 h,3553,Icy body,91,1982.6978,-K (Yellow-Orange) Star-,1,false,,,false
Popon,175.80,1,1,Popon 1,453,Class III gas giant,1302,false,true,1,0.0004,1302.3531495,1302.353045311744,Popon,K (Yellow-Orange) Star,0,0,0.8747,Vab,1244,5112,0.8747,Popon 1 h,1312,Rocky body,156,726.2909,-K (Yellow-Orange) Star-,1,false,,,false
Wolf 751,32.54,1,1,Wolf 751 5,453,Class III gas giant,1184,false,true,1,0.0033,1183.2905565,1183.2841134653786,Wolf 751,M (Red dwarf) Star,3,0,0.5626,V,9148,3302,0.5626,Wolf 751 5 h,1183,Icy body,137,2287.5461,-M (Red dwarf) Star-,1,true,3302,V,false
Kepler-138,200.01,1,1,Kepler-138 5,453,Class III gas giant,1939,false,false,0,0.0008,1940.6304449999998,1940.629823998158,Kepler-138,M (Red dwarf) Star,3,0,0.5873,V,1820,3385,0.5873,Kepler-138 5 h,1997,Icy body,79,6639.9741,-M (Red dwarf) Star-,0,true,3385,V,false
HIP 9197,203.62,1,1,HIP 9197 7,453,Class III gas giant,1930,false,true,1,0.0022,1928.354922,1928.3502553754422,HIP 9197,G (White-Yellow) Star,0,0,1.0565,V,3424,6017,1.0565,HIP 9197 7 h,1952,Rocky body,223,442.9405,-G (White-Yellow) Star-,0,false,,,false
HIP 5136,191.78,3,3,HIP 5136 AB 1,452,Y (Brown dwarf) Star,2042,true,false,1,0.0037,2280.852054,2280.8364415142564,HIP 5136 AB 1,Y (Brown dwarf) Star,9,2042,0.0739,V,7266,452,0.8907,HIP 5136 AB 1 h,2035,Rocky body,103,1722.9625,-G (White-Yellow) Star-Y (Brown dwarf) Star-M (Red dwarf) Star-,0,true,2704,Va,false
HIP 113842,213.18,1,1,HIP 113842 3,452,Class III gas giant,2542,false,true,1,0.0075,2543.2787835,2543.2072527782993,HIP 113842,F (White) Star,0,0,1.2383,V,2640,7240,1.2383,HIP 113842 3 h,2529,Rocky body,170,1039.6639,-F (White) Star-,1,false,,,false
Col 285 Sector ZF-E c12-15,189.04,1,1,Col 285 Sector ZF-E c12-15 6,452,Class III gas giant,2232,false,true,1,0.0001,2232.6980715,2232.6980603365096,Col 285 Sector ZF-E c12-15,K (Yellow-Orange) Star,0,0,0.9074,Va,10126,4826,0.9074,Col 285 Sector ZF-E c12-15 6 h,2244,Rocky body,121,1222.2244,-K (Yellow-Orange) Star-,1,false,,,false
HIP 1732,194.05,2,2,HIP 1732 4,452,Class III gas giant,932,false,true,1,0.0022,930.344922,930.3426705625645,HIP 1732,G (White-Yellow) Star,0,0,1.2623,V,3616,7257,1.2623,HIP 1732 4 h,942,Rocky body,459,640.0664,-G (White-Yellow) Star-Y (Brown dwarf) Star-,1,false,,,false
SAO 221526,105.57,2,2,SAO 221526 9,451,Y (Brown dwarf) Star,3358,false,true,1,0.0035,3358.6529535,3358.6323816876584,SAO 221526 9,Y (Brown dwarf) Star,9,3358,0.0691,V,400,451,0.8434,SAO 221526 9 h,3358,Rocky body,90,839.5051,-K (Yellow-Orange) Star-Y (Brown dwarf) Star-,1,false,,,false
LP 933-24,105.40,1,1,LP 933-24 3,451,Class III gas giant,2062,false,true,1,0.005,2072.367765,2072.341860241031,LP 933-24,M (Red dwarf) Star,3,0,0.5722,V,4904,3255,0.5722,LP 933-24 3 h,2062,Icy body,197,2397.7627,-M (Red dwarf) Star-,1,true,3255,V,false
HIP 93319,275.71,2,2,HIP 93319 5,451,Class III gas giant,5851,false,true,1,0.0014,5856.0731775,5856.067438545474,HIP 93319 1,Y (Brown dwarf) Star,9,2514,0.0472,V,1664,306,1.2503,HIP 93319 5 h,5843,Rocky body,118,961.9997,-F (White) Star-Y (Brown dwarf) Star-,0,false,,,false
BD+21 1952,116.32,3,3,BD+21 1952 9,450,Y (Brown dwarf) Star,2913,false,true,1,0.0048,2908.8498465,2908.8163363567487,BD+21 1952 9,Y (Brown dwarf) Star,9,2913,0.0796,V,12570,450,0.8768,BD+21 1952 9 h,2900,Rocky body,176,1775.0985,-G (White-Yellow) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,1,false,,,false
Col 285 Sector GG-X d1-84,233.87,3,3,Col 285 Sector GG-X d1-84 5,450,Y (Brown dwarf) Star,2288,false,true,1,0.0033,2283.945885,2283.9334488807986,Col 285 Sector GG-X d1-84 5,Y (Brown dwarf) Star,9,2288,0.0798,V,1654,450,1.1694,Col 285 Sector GG-X d1-84 5 h,2254,Rocky body,269,3916.0332,-Y (Brown dwarf) Star-F (White) Star-Y (Brown dwarf) Star-,0,false,,,false
HIP 20723,138.11,1,1,HIP 20723 5,450,Class III gas giant,3324,false,true,1,0.0034,3335.2496189999997,3335.2303412014894,HIP 20723,G (White-Yellow) Star,0,0,1.0573,IV,10216,6129,1.0573,HIP 20723 5 h,3303,Icy body,106,2641.0256,-G (White-Yellow) Star-,1,false,,,false
HIP 17747,164.52,4,4,HIP 17747 2,449,Y (Brown dwarf) Star,3010,false,true,2,0.0071,130.88901149999998,130.8857124008877,HIP 17747 2,Y (Brown dwarf) Star,9,3010,0.0757,V,3472,449,1.1757,HIP 17747 2 h,3000,Rocky body,169,1626.0945,-F (White) Star-T (Brown dwarf) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,0,false,,,false
HIP 20347,191.64,2,2,HIP 20347 2,449,Y (Brown dwarf) Star,6737,false,true,1,0.0081,6711.018444,6710.798285428734,HIP 20347 2,Y (Brown dwarf) Star,9,6737,0.0909,V,1720,449,1.5222,HIP 20347 2 h,6684,Icy body,125,4647.5156,-F (White) Star-Y (Brown dwarf) Star-,1,false,,,false
HIP 77779,197.78,6,6,HIP 77779 ABCDE 6,449,Y (Brown dwarf) Star,3381,true,false,1,0.0931,3101.3160749999997,3087.846324729696,HIP 77779 ABCDE 6,Y (Brown dwarf) Star,9,3381,0.0887,V,2208,449,1.3126,HIP 77779 ABCDE 6 h,3423,Icy body,149,5605.6426,-F (White) Star-Y (Brown dwarf) Star-M (Red dwarf) Star-K (Yellow-Orange) Star-M (Red dwarf) Star-M (Red dwarf) Star-,0,true,2128,VI,false
HIP 101469,242.16,3,3,HIP 101469 A 2,449,Class III gas giant,1892,false,true,2,0.004,1892.22696,1892.2118221237681,HIP 101469 A,A (Blue-White) Star,0,0,1.4116,V,2156,8309,1.4116,HIP 101469 A 2 h,1875,Rocky body,228,1335.1133,-A (Blue-White) Star-K (Yellow-Orange) Star-F (White) Star-,0,false,,,false
HIP 1989,193.84,2,2,HIP 1989 9,448,Y (Brown dwarf) Star,2828,false,true,1,0.0172,2874.0691979999997,2873.6440342367937,HIP 1989 9,Y (Brown dwarf) Star,9,2828,0.093,V,2352,448,1.1278,HIP 1989 9 h,2835,Rocky body,184,1830.5259,-F (White) Star-Y (Brown dwarf) Star-,0,false,,,false
Col 285 Sector AX-A c14-28,251.00,2,2,Col 285 Sector AX-A c14-28 A 7,448,Class III gas giant,1083,false,true,2,0,1083.4396559999998,1083.4396559999998,Col 285 Sector AX-A c14-28 A,M (Red dwarf) Star,2,0,0.6633,Va,332,3559,0.6633,Col 285 Sector AX-A c14-28 A 7 h,1083,Icy body,98,1804.1954,-M (Red dwarf) Star-M (Red dwarf) Star-,0,true,2747,Va,false
Synuefe CE-N b53-0,297.10,1,1,Synuefe CE-N b53-0 3,448,Class III gas giant,731,false,true,2,0.0018,0.1497015,0.14970125748337354,Synuefe CE-N b53-0,M (Red dwarf) Star,1,0,0.5952,Va,520,3629,0.5952,Synuefe CE-N b53-0 3 h,735,Rocky body,133,665.9272,-M (Red dwarf) Star-,0,true,3629,Va,false
Ross 8,198.17,3,3,Ross 8 4,447,Y (Brown dwarf) Star,4622,false,true,1,0.0219,4716.794862000001,4715.663615352551,Ross 8 4,Y (Brown dwarf) Star,9,4622,0.0798,V,3568,447,1.0179,Ross 8 4 h,4626,Icy body,127,2681.9648,-G (White-Yellow) Star-T (Brown dwarf) Star-Y (Brown dwarf) Star-,0,false,,,false
Col 285 Sector ZV-M d7-91,269.80,3,3,Col 285 Sector ZV-M d7-91 AB 1,446,Y (Brown dwarf) Star,3290,true,false,1,0.0002,2658.199635,2658.199581836007,Col 285 Sector ZV-M d7-91 AB 1,Y (Brown dwarf) Star,9,3290,0.0711,V,1804,446,0.9419,Col 285 Sector ZV-M d7-91 AB 1 h,3340,Rocky body,131,2309.4963,-F (White) Star-Y (Brown dwarf) Star-K (Yellow-Orange) Star-,0,false,,,false
HIP 60614,138.32,2,2,HIP 60614 4,445,Y (Brown dwarf) Star,1541,false,true,1,0,1540.528236,1540.528236,HIP 60614 4,Y (Brown dwarf) Star,9,1541,0.0784,V,5320,445,0.8157,HIP 60614 4 h,1636,Class I gas giant,70,36028.7656,-K (Yellow-Orange) Star-Y (Brown dwarf) Star-,1,false,,,false
HIP 66175,252.04,2,2,HIP 66175 4,445,Y (Brown dwarf) Star,3757,false,true,1,0.0001,3757.008645,3757.008626214956,HIP 66175 4,Y (Brown dwarf) Star,9,3757,0.0809,V,1238,445,1.3131,HIP 66175 4 h,3761,Rocky body,132,2930.4568,-G (White-Yellow) Star-Y (Brown dwarf) Star-,0,false,,,false
HR 8708,185.66,3,3,HR 8708 A 4,445,Class III gas giant,3580,false,true,2,0.0243,3669.283566,3668.2000684013133,HR 8708 A 1,Y (Brown dwarf) Star,9,1928,0.109,V,1516,654,1.5793,HR 8708 A 4 h,3576,Rocky body,197,1677.1447,-A (Blue-White) Star-K (Yellow-Orange) Star-Y (Brown dwarf) Star-,0,false,,,false
27 f Draconis,210.97,1,1,27 f Draconis 5,445,Class III gas giant,1327,false,true,1,0.0035,1322.163648,1322.1555497228549,27 f Draconis,G (White-Yellow) Star,0,0,9.641,III,5536,4478,9.641,27 f Draconis 5 h,1338,Rocky body,377,1191.4237,-G (White-Yellow) Star-,0,false,,,false
HIP 737,193.47,1,1,HIP 737 10,444,Class III gas giant,3958,false,true,1,0.0001,3958.706466,3958.7064462064677,HIP 737,K (Yellow-Orange giant) Star,0,0,0.8943,IV,3824,5163,0.8943,HIP 737 10 h,3940,Rocky body,187,1996.811,-K (Yellow-Orange giant) Star-,0,false,,,false
Salikians,164.74,1,1,Salikians 3,443,Class III gas giant,1301,false,true,1,0.0014,1300.0577265000002,1300.0564524428037,Salikians,K (Yellow-Orange) Star,0,0,0.8051,Vab,4152,4810,0.8051,Salikians 3 h,1287,Rocky body,173,1124.1093,-K (Yellow-Orange) Star-,1,false,,,false
Col 285 Sector GW-V c2-9,278.53,1,1,Col 285 Sector GW-V c2-9 4,443,Class III gas giant,1053,false,true,1,0.0055,1049.0083109999998,1048.9924446293057,Col 285 Sector GW-V c2-9,K (Yellow-Orange) Star,0,0,0.8181,Vab,3194,5115,0.8181,Col 285 Sector GW-V c2-9 4 h,1046,Rocky body,166,542.4009,-K (Yellow-Orange) Star-,0,false,,,false
HIP 70906,185.62,2,2,HIP 70906 B 1,443,Class III gas giant,108243,false,true,2,0.0012,1377.9025064999998,1377.901514409838,HIP 70906 B,K (Yellow-Orange) Star,0,109281,0.6617,Vab,1720,4304,1.3056,HIP 70906 B 1 h,108256,Rocky body,169,1041.1067,-F (White) Star-K (Yellow-Orange) Star-,0,false,,,false
HIP 21411,257.85,3,3,HIP 21411 6,442,Y (Brown dwarf) Star,2480,false,true,1,0.1952,2529.057141,2480.4068263800486,HIP 21411 6,Y (Brown dwarf) Star,9,2480,0.0738,V,8952,442,1.1898,HIP 21411 6 h,2473,Rocky body,190,1920.8383,-G (White-Yellow) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,0,false,,,false
HIP 5853,226.53,2,2,HIP 5853 10,442,Class III gas giant,1877,false,true,1,0.0081,1871.967357,1871.9059461035447,HIP 5853 11,Y (Brown dwarf) Star,9,3170,0.0796,V,4208,535,0.9804,HIP 5853 10 h,1900,Icy body,168,7952.4766,-G (White-Yellow) Star-Y (Brown dwarf) Star-,1,false,,,false
Apurusia,173.40,3,3,Apurusia AB 2,441,Y (Brown dwarf) Star,2158,true,false,1,0.0949,2189.0850345,2179.2052790402186,Apurusia AB 2,Y (Brown dwarf) Star,9,2158,0.078,V,8010,441,0.7487,Apurusia AB 2 h,2229,Icy body,76,4729.1572,-Y (Brown dwarf) Star-M (Red dwarf) Star-K (Yellow-Orange) Star-,1,true,3017,Va,false
Tucanae Sector JX-T c3-23,279.62,1,1,Tucanae Sector JX-T c3-23 2,441,Class III gas giant,716,false,true,1,0.0016,716.5212795,716.5203623521752,Tucanae Sector JX-T c3-23,K (Yellow-Orange) Star,0,0,0.6271,Va,11726,4005,0.6271,Tucanae Sector JX-T c3-23 2 h,707,Icy body,117,1782.8353,-K (Yellow-Orange) Star-,0,false,,,false
Col 285 Sector YK-O d6-146,188.62,1,1,Col 285 Sector YK-O d6-146 3,441,Class III gas giant,3234,false,true,2,0.0969,0.099801,0.09933134870543163,Col 285 Sector YK-O d6-146,F (White) Star,0,0,1.2255,Vab,1056,6263,1.2255,Col 285 Sector YK-O d6-146 3 h,3219,Rocky body,179,1309.9165,-F (White) Star-,1,false,,,false
HIP 4062,276.88,4,4,HIP 4062 ABC 1,440,Y (Brown dwarf) Star,3801,true,false,1,0.0737,3751.120386,3740.919052973592,HIP 4062 ABC 1,Y (Brown dwarf) Star,9,3801,0.0817,V,1756,440,1.1602,HIP 4062 ABC 1 h,3811,Rocky body,129,1577.3324,-G (White-Yellow) Star-Y (Brown dwarf) Star-K (Yellow-Orange) Star-G (White-Yellow) Star-,1,false,,,false
Col 285 Sector TK-E c12-8,188.25,1,1,Col 285 Sector TK-E c12-8 7,440,Class III gas giant,2857,false,true,2,0.0114,1.397214,1.3971232060842897,Col 285 Sector TK-E c12-8,K (Yellow-Orange) Star,0,0,0.7224,Va,1546,4166,0.7224,Col 285 Sector TK-E c12-8 7 h,2877,Icy body,79,1764.5085,-K (Yellow-Orange) Star-,0,false,,,false
Col 285 Sector LC-K c9-22,269.91,1,1,Col 285 Sector LC-K c9-22 1,439,Class III gas giant,859,false,true,1,0.0032,857.2406895,857.2363004164337,Col 285 Sector LC-K c9-22,K (Yellow-Orange) Star,0,0,0.9196,Va,6734,4822,0.9196,Col 285 Sector LC-K c9-22 1 h,846,Rocky body,177,1106.1604,-K (Yellow-Orange) Star-,0,false,,,false
Col 285 Sector JS-T d3-75,242.86,2,2,Col 285 Sector JS-T d3-75 12,438,Y (Brown dwarf) Star,2374,false,true,1,0.0022,2373.866586,2373.860841235911,Col 285 Sector JS-T d3-75 12,Y (Brown dwarf) Star,9,2374,0.0745,V,256,438,1.0506,Col 285 Sector JS-T d3-75 12 h,2373,Rocky body,270,1174.7026,-G (White-Yellow) Star-Y (Brown dwarf) Star-,0,false,,,false
Upsilon Gruis,284.85,2,2,Upsilon Gruis 6,438,Y (Brown dwarf) Star,2415,false,true,1,0.0034,2407.599324,2407.5854080356903,Upsilon Gruis 6,Y (Brown dwarf) Star,9,2415,0.067,V,402,438,1.9374,Upsilon Gruis 6 h,2399,Rocky body,291,907.6276,-A (Blue-White) Star-Y (Brown dwarf) Star-,0,false,,,false
HIP 97312,214.87,2,2,HIP 97312 10,438,Y (Brown dwarf) Star,2840,false,true,1,0.0004,2840.8354649999997,2840.8352377331535,HIP 97312 10,Y (Brown dwarf) Star,9,2840,0.0746,V,9040,438,1.1568,HIP 97312 10 h,2830,Rocky body,201,2717.7412,-F (White) Star-Y (Brown dwarf) Star-,0,false,,,false
HR 7327,180.61,4,4,HR 7327 B 11,438,Class III gas giant,108230,false,true,2,0.0082,2921.9237775,2921.825540771213,HR 7327 B,K (Yellow-Orange) Star,0,111122,0.609,Va,806,4091,2.8828,HR 7327 B 11 h,108223,Icy body,95,3460.8269,-K (Yellow-Orange) Star-Y (Brown dwarf) Star-A (Blue-White) Star-Y (Brown dwarf) Star-,1,false,,,false
