System name,Distance from Sol (ly),Counting moons of moons,System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Moon Star Diistance,Biggest Suitable Star Radius,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius,Star Types,Is populated,Has M or TT Star ?,Coldest M or TT Star temp.,Coldest M or TT Star lum.,Has Toroid Station
Puppis Sector XJ-R a4-1,71.85,true,1,1,Puppis Sector XJ-R a4-1,1450,L (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector XJ-R a4-1,L (Brown dwarf) Star,9,0,0.2383,V,10692,1450,2685,0.2383,Puppis Sector XJ-R a4-1 6,2685,Icy body,20,3461.9922,-L (Brown dwarf) Star-,0,false,,,false
Alrai Sector JB-O a6-1,71.75,true,1,1,Alrai Sector JB-O a6-1,1445,L (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector JB-O a6-1,L (Brown dwarf) Star,9,0,0.2524,V,1960,1445,5790,0.2524,Alrai Sector JB-O a6-1 5,5790,Icy body,20,10299.9199,-L (Brown dwarf) Star-,0,false,,,false
Core Sys Sector CQ-P a5-0,44.42,true,1,1,Core Sys Sector CQ-P a5-0,1440,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector CQ-P a5-0,L (Brown dwarf) Star,9,0,0.2276,V,5778,1440,2283,0.2276,Core Sys Sector CQ-P a5-0 7,2283,Icy body,20,9956.7607,-L (Brown dwarf) Star-,0,false,,,false
LTT 17156,75.87,true,2,2,LTT 17156 B,1438,L (Brown dwarf) Star,3566,false,false,1,0.3471,2246.121306,2106.4757304843897,LTT 17156 B,L (Brown dwarf) Star,9,3566,0.268,V,7954,1438,16,0.5001,LTT 17156 B 5 a,3582,Icy body,107,1360.6177,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2982,V,false
WISE 1800+0134,28.69,true,1,1,WISE 1800+0134,1436,L (Brown dwarf) Star,0,false,false,0,,0,0,WISE 1800+0134,L (Brown dwarf) Star,9,0,0.2595,V,744,1436,467,0.2595,WISE 1800+0134 6 a,467,Icy body,28,3683.8235,-L (Brown dwarf) Star-,1,false,,,false
Piscium Sector HS-J a9-1,52.25,true,1,1,Piscium Sector HS-J a9-1,1434,L (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector HS-J a9-1,L (Brown dwarf) Star,9,0,0.2392,V,1864,1434,2209,0.2392,Piscium Sector HS-J a9-1 5,2209,Icy body,20,5930.4224,-L (Brown dwarf) Star-,0,false,,,false
Awindjibata,34.15,true,3,3,Awindjibata C,1429,L (Brown dwarf) Star,96638,false,false,1,0.11,57522.3522705,57173.282890714305,Awindjibata C,L (Brown dwarf) Star,9,96638,0.2488,V,10356,1429,891,0.288,Awindjibata C 6,97529,Icy body,20,4323.2671,-L (Brown dwarf) Star-Y (Brown dwarf) Star-L (Brown dwarf) Star-,1,false,,,false
Luhman 16,6.57,true,2,2,Luhman 16,1429,L (Brown dwarf) Star,0,false,false,1,0.2381,748.5074999999999,726.9809068946635,Luhman 16,L (Brown dwarf) Star,9,0,0.2563,V,6262,1429,136,0.2702,Luhman 16 A 6,136,Icy body,133,2050.1509,-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,false,,,false
Aoesta,60.43,true,2,2,Aoesta,1429,L (Brown dwarf) Star,0,false,false,0,,0,0,Aoesta,L (Brown dwarf) Star,9,0,0.2361,V,12132,1429,3028,0.2361,Aoesta 5 a,3028,Icy body,20,2059.8169,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Aoesta,60.43,true,2,2,Aoesta Crucis Sector WU-P a5-0,1429,L (Brown dwarf) Star,0,false,false,0,,0,0,Aoesta,L (Brown dwarf) Star,9,0,0.2361,V,12132,1429,3030,0.2361,Aoesta Crucis Sector WU-P a5-0 5 a,3030,Icy body,20,2059.8169,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
LHS 2651,66.01,true,2,2,LHS 2651 B,1428,L (Brown dwarf) Star,29582,false,false,1,0.0188,22975.8369165,22971.776267769485,LHS 2651 B,L (Brown dwarf) Star,9,29582,0.262,V,5026,1428,78,0.574,LHS 2651 B 5 a,29504,Icy body,54,1874.3167,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3286,V,false
Piscium Sector VK-N a7-0,57.46,true,1,1,Piscium Sector VK-N a7-0,1427,L (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector VK-N a7-0,L (Brown dwarf) Star,9,0,0.2601,V,4442,1427,1355,0.2601,Piscium Sector VK-N a7-0 5 a,1355,Icy body,20,3837.573,-L (Brown dwarf) Star-,0,false,,,false
LHS 160,38.00,true,4,4,LHS 160 D,1425,L (Brown dwarf) Star,30172,false,false,2,0.2545,2202.4084679999996,2129.8892663883835,LHS 160 D,L (Brown dwarf) Star,9,30172,0.2693,V,6736,1425,99,0.5513,LHS 160 D 6,30073,Icy body,84,4457.5962,-L (Brown dwarf) Star-L (Brown dwarf) Star-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2170,Va,true
Col 285 Sector OE-R a34-0,57.43,true,1,1,Col 285 Sector OE-R a34-0,1424,L (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector OE-R a34-0,L (Brown dwarf) Star,9,0,0.2501,V,10734,1424,1666,0.2501,Col 285 Sector OE-R a34-0 4 a,1666,Icy body,20,3520.5359,-L (Brown dwarf) Star-,0,false,,,false
Rumazo 9223,62.59,true,2,2,Rumazo 9223,1424,L (Brown dwarf) Star,0,false,false,0,,0,0,Rumazo 9223,L (Brown dwarf) Star,9,0,0.2776,V,578,1424,1359,0.2776,Rumazo 9223 6 a,1359,Icy body,20,933.9859,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Col 285 Sector DO-I a39-2,76.02,true,1,1,Col 285 Sector DO-I a39-2,1421,L (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector DO-I a39-2,L (Brown dwarf) Star,9,0,0.2336,V,12136,1421,1405,0.2336,Col 285 Sector DO-I a39-2 5 a,1405,Icy body,20,1837.0787,-L (Brown dwarf) Star-,0,false,,,false
WISE 0607+2429,35.42,true,1,1,WISE 0607+2429,1419,L (Brown dwarf) Star,0,false,false,0,,0,0,WISE 0607+2429,L (Brown dwarf) Star,9,0,0.2452,V,7934,1419,1670,0.2452,WISE 0607+2429 5,1670,Icy body,20,6706.7368,-L (Brown dwarf) Star-,0,false,,,false
Puppis Sector FR-N a6-0,56.40,true,1,1,Puppis Sector FR-N a6-0,1416,L (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector FR-N a6-0,L (Brown dwarf) Star,9,0,0.253,V,12164,1416,2312,0.253,Puppis Sector FR-N a6-0 6,2312,Icy body,20,4115.394,-L (Brown dwarf) Star-,0,false,,,false
Puppis Sector TO-R b4-4,62.56,true,3,3,Puppis Sector TO-R b4-4 C,1412,L (Brown dwarf) Star,101709,false,false,1,0.1678,66600.35103149999,65656.02857121835,Puppis Sector TO-R b4-4 C,L (Brown dwarf) Star,9,101709,0.2701,V,2094,1412,1760,0.4571,Puppis Sector TO-R b4-4 C 5,103469,Icy body,20,6726.7944,-M (Red dwarf) Star-T (Brown dwarf) Star-L (Brown dwarf) Star-,0,true,2377,Va,false
Belu,67.95,true,2,2,Belu B,1411,L (Brown dwarf) Star,263794,false,false,1,0.0997,179588.90547,178694.1113916063,Belu B,L (Brown dwarf) Star,9,263794,0.2459,V,11998,1411,187,0.4571,Belu B 4,263607,Icy body,29,5839.7676,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2243,Va,false
Crucis Sector SO-R a4-0,58.08,true,3,3,Crucis Sector SO-R a4-0 C,1409,L (Brown dwarf) Star,129972,false,false,1,0.0682,100382.740029,100149.01582753313,Crucis Sector SO-R a4-0 C,L (Brown dwarf) Star,9,129972,0.2144,V,3648,1409,828,0.3094,Crucis Sector SO-R a4-0 C 6 a,129144,Icy body,20,786.5891,-L (Brown dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Sandafarr,46.26,true,2,2,Sandafarr,1409,L (Brown dwarf) Star,0,false,false,0,,0,0,Sandafarr,L (Brown dwarf) Star,9,0,0.2653,V,2734,1409,6779,0.2653,Sandafarr 7,6779,Icy body,20,7413.5884,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Sandafarr,46.26,true,2,2,Sandafarr Core Sys Sector IH-M a7-2,1409,L (Brown dwarf) Star,0,false,false,0,,0,0,Sandafarr,L (Brown dwarf) Star,9,0,0.2653,V,2734,1409,6779,0.2653,Sandafarr Core Sys Sector IH-M a7-2 7,6779,Icy body,20,7413.5884,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Jastreb Sector XU-P a5-0,53.78,true,1,1,Jastreb Sector XU-P a5-0,1405,L (Brown dwarf) Star,0,false,false,0,,0,0,Jastreb Sector XU-P a5-0,L (Brown dwarf) Star,9,0,0.2597,V,12102,1405,3104,0.2597,Jastreb Sector XU-P a5-0 6,3104,Icy body,20,3082.0796,-L (Brown dwarf) Star-,0,false,,,false
LHS 3197,38.81,true,2,2,LHS 3197 B,1404,L (Brown dwarf) Star,6834,false,false,1,0.3349,3938.5965645,3711.157091315873,LHS 3197 B,L (Brown dwarf) Star,9,6834,0.2567,V,10120,1404,403,0.4262,LHS 3197 B 7,7237,Icy body,48,2503.0286,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2533,V,false
LP 838-16,37.01,true,3,3,LP 838-16 C,1402,L (Brown dwarf) Star,64696,false,false,1,0.2132,43203.952701,42210.63235953657,LP 838-16 C,L (Brown dwarf) Star,9,64696,0.2622,V,11632,1402,948,0.4086,LP 838-16 C 4,63748,Icy body,24,5454.6401,-M (Red dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,true,2369,V,false
LP 128-9,45.33,true,2,2,LP 128-9 B,1396,L (Brown dwarf) Star,402451,false,false,1,0.1479,281815.269372,278715.9553677396,LP 128-9 B,L (Brown dwarf) Star,9,402451,0.2461,V,5182,1396,190,0.5766,LP 128-9 B 6,402261,Icy body,42,8568.8643,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3192,V,false
Puppis Sector NI-K a8-1,70.17,true,1,1,Puppis Sector NI-K a8-1,1395,L (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector NI-K a8-1,L (Brown dwarf) Star,9,0,0.2571,V,448,1395,1776,0.2571,Puppis Sector NI-K a8-1 7,1776,Icy body,20,5117.5767,-L (Brown dwarf) Star-,0,false,,,false
Col 285 Sector EO-I a39-2,74.71,true,1,1,Col 285 Sector EO-I a39-2,1395,L (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector EO-I a39-2,L (Brown dwarf) Star,9,0,0.2328,V,8756,1395,728,0.2328,Col 285 Sector EO-I a39-2 7,728,Icy body,21,3586.5454,-L (Brown dwarf) Star-,0,false,,,false
Djiwar,66.78,true,3,3,Djiwar C,1395,L (Brown dwarf) Star,92121,false,false,1,0.0408,69049.8667755,68992.37125308292,Djiwar C,L (Brown dwarf) Star,9,92121,0.226,V,492,1395,4075,0.3856,Djiwar C 6,96196,Icy body,20,3545.718,-M (Red dwarf) Star-T (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2114,VI,false
Core Sys Sector TO-R a4-1,42.40,true,1,1,Core Sys Sector TO-R a4-1,1392,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector TO-R a4-1,L (Brown dwarf) Star,9,0,0.2624,V,7460,1392,3560,0.2624,Core Sys Sector TO-R a4-1 5,3560,Icy body,20,10729.5098,-L (Brown dwarf) Star-,0,false,,,false
Piscium Sector EX-J a9-0,52.26,true,1,1,Piscium Sector EX-J a9-0,1389,L (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector EX-J a9-0,L (Brown dwarf) Star,9,0,0.2166,V,414,1389,2074,0.2166,Piscium Sector EX-J a9-0 5 a,2074,Icy body,20,1964.913,-L (Brown dwarf) Star-,0,false,,,false
Dao Jungu,75.84,true,2,2,Dao Jungu B,1387,L (Brown dwarf) Star,187276,false,false,1,0.2367,115580.63591099999,112296.15624299647,Dao Jungu B,L (Brown dwarf) Star,9,187276,0.2349,V,676,1387,2781,0.493,Dao Jungu B 6,190057,Icy body,20,7075.4565,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2867,Va,false
LHS 337,23.44,true,2,2,LHS 337 B,1386,L (Brown dwarf) Star,363030,false,false,1,0.1994,226359.1970055,221813.4924142743,LHS 337 B,L (Brown dwarf) Star,9,363030,0.2823,V,9320,1386,106,0.4798,LHS 337 B 6,362924,Icy body,48,7506.7261,-L (Brown dwarf) Star-M (Red dwarf) Star-,0,true,2711,V,false
Alrai Sector QC-V a2-5,51.70,true,1,1,Alrai Sector QC-V a2-5,1381,L (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector QC-V a2-5,L (Brown dwarf) Star,9,0,0.2586,V,4748,1381,2426,0.2586,Alrai Sector QC-V a2-5 7,2426,Icy body,20,4903.9722,-L (Brown dwarf) Star-,0,false,,,false
LP 575-38,72.48,true,3,3,LP 575-38 C,1381,L (Brown dwarf) Star,13052,false,false,1,0.1039,12461.801566499998,12394.355165622539,LP 575-38 C,L (Brown dwarf) Star,9,13052,0.2068,V,6260,1381,877,0.5375,LP 575-38 C 5 a,12175,Icy body,34,793.4959,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,3130,V,false
LHS 1064,64.19,true,2,2,LHS 1064 B,1379,L (Brown dwarf) Star,98395,false,false,1,0.0685,68907.2511465,68745.3960324903,LHS 1064 B,L (Brown dwarf) Star,9,98395,0.2343,V,12136,1379,1038,0.3603,LHS 1064 B 5,97357,Icy body,20,3687.1123,-L (Brown dwarf) Star-M (Red dwarf) Star-,0,true,2140,V,false
Core Sys Sector FH-M a7-1,47.55,true,2,2,Core Sys Sector FH-M a7-1 B,1375,L (Brown dwarf) Star,139190,false,false,1,0.0858,85431.25281600001,85116.2148820321,Core Sys Sector FH-M a7-1 B,L (Brown dwarf) Star,9,139190,0.2351,V,3884,1375,875,0.3192,Core Sys Sector FH-M a7-1 B 5,140065,Icy body,20,4177.0015,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Piscium Sector LY-H a10-1,54.61,true,1,1,Piscium Sector LY-H a10-1,1374,L (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector LY-H a10-1,L (Brown dwarf) Star,9,0,0.2792,V,11640,1374,1878,0.2792,Piscium Sector LY-H a10-1 6,1878,Icy body,20,3581.9653,-L (Brown dwarf) Star-,0,false,,,false
Piscium Sector WF-N a7-3,75.93,true,1,1,Piscium Sector WF-N a7-3,1370,L (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector WF-N a7-3,L (Brown dwarf) Star,9,0,0.2186,V,2024,1370,2739,0.2186,Piscium Sector WF-N a7-3 7,2739,Icy body,20,9599.374,-L (Brown dwarf) Star-,0,false,,,false
Puppis Sector LS-T b3-4,78.60,true,2,2,Puppis Sector LS-T b3-4 B,1369,L (Brown dwarf) Star,163029,false,false,1,0.3699,125135.982855,116260.28458107049,Puppis Sector LS-T b3-4 B,L (Brown dwarf) Star,9,163029,0.2733,V,2386,1369,2562,0.5382,Puppis Sector LS-T b3-4 B 5,165591,Icy body,20,3973.241,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2931,Va,false
Col 285 Sector GS-U a32-1,55.25,true,1,1,Col 285 Sector GS-U a32-1,1362,L (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector GS-U a32-1,L (Brown dwarf) Star,9,0,0.265,V,2114,1362,3385,0.265,Col 285 Sector GS-U a32-1 7,3385,Class I gas giant,136,71912.1484,-L (Brown dwarf) Star-,0,false,,,false
LTT 7434,79.54,true,3,3,LTT 7434 C,1358,L (Brown dwarf) Star,10106,false,false,1,0.0462,8029.3397534999995,8020.766104099345,LTT 7434 C,L (Brown dwarf) Star,9,10106,0.2368,V,9302,1358,188,0.4971,LTT 7434 C 6,10294,Icy body,82,6591.8457,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,true,2802,V,false
Col 285 Sector OE-R a34-1,59.44,true,1,1,Col 285 Sector OE-R a34-1,1358,L (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector OE-R a34-1,L (Brown dwarf) Star,9,0,0.2497,V,10750,1358,2987,0.2497,Col 285 Sector OE-R a34-1 5,2987,Icy body,20,8734.7148,-L (Brown dwarf) Star-,0,false,,,false
Lauksa,71.79,true,1,1,Lauksa,1358,L (Brown dwarf) Star,0,false,false,0,,0,0,Lauksa,L (Brown dwarf) Star,9,0,0.2264,V,766,1358,378,0.2264,Lauksa 5 a,378,Icy body,28,4896.4531,-L (Brown dwarf) Star-,1,false,,,false
LFT 1073,55.19,true,2,2,LFT 1073 B,1352,L (Brown dwarf) Star,51327,false,false,1,0.0564,44377.712262,44307.07417922941,LFT 1073 B,L (Brown dwarf) Star,9,51327,0.2007,V,5528,1352,888,0.5541,LFT 1073 B 6 a,50439,Icy body,23,632.0198,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3252,V,false
Tascheter Sector GX-K a8-2,39.98,true,1,1,Tascheter Sector GX-K a8-2,1351,L (Brown dwarf) Star,0,false,false,0,,0,0,Tascheter Sector GX-K a8-2,L (Brown dwarf) Star,9,0,0.2023,V,10962,1351,383,0.2023,Tascheter Sector GX-K a8-2 5,383,Icy body,26,6105.0298,-L (Brown dwarf) Star-,0,false,,,false
L 484-31,54.69,true,3,3,L 484-31 C,1343,L (Brown dwarf) Star,16827,false,false,1,0.185,14761.2166065,14506.416171096207,L 484-31 C,L (Brown dwarf) Star,9,16827,0.2726,V,10102,1343,883,0.4338,L 484-31 C 6,15944,Icy body,29,3116.1133,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,true,2507,V,false
Tellus,69.38,true,3,3,Tellus C,1341,L (Brown dwarf) Star,38390,false,false,1,0.5385,21215.7464805,17876.92919686836,Tellus C,L (Brown dwarf) Star,9,38390,0.233,V,3992,1341,252,0.5724,Tellus C 7,38642,Icy body,48,5936.4429,-L (Brown dwarf) Star-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3252,V,false
Core Sys Sector VD-T a3-0,49.78,true,1,1,Core Sys Sector VD-T a3-0,1338,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector VD-T a3-0,L (Brown dwarf) Star,9,0,0.2205,V,248,1338,512,0.2205,Core Sys Sector VD-T a3-0 5,512,Icy body,23,2955.7246,-L (Brown dwarf) Star-,0,false,,,false
Itza,75.24,true,3,3,Itza C,1336,L (Brown dwarf) Star,399593,false,false,1,0.2425,398099.4524325,386216.74338954774,Itza C,L (Brown dwarf) Star,9,399593,0.2334,V,504,1336,138,0.4421,Itza C 10 e,399455,Icy body,20,556.7873,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2899,Va,false
Alrai Sector DL-Y d85,75.10,true,1,1,Alrai Sector DL-Y d85,1336,L (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector DL-Y d85,L (Brown dwarf) Star,9,0,0.2563,V,1016,1336,1750,0.2563,Alrai Sector DL-Y d85 5,1750,Icy body,20,5572.5898,-L (Brown dwarf) Star-,0,false,,,false
Alrai Sector BP-R a4-2,60.79,true,1,1,Alrai Sector BP-R a4-2,1334,L (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector BP-R a4-2,L (Brown dwarf) Star,9,0,0.2441,V,5222,1334,868,0.2441,Alrai Sector BP-R a4-2 6 a,868,Icy body,20,1717.7896,-L (Brown dwarf) Star-,0,false,,,false
Ngaruayanka,49.48,true,1,1,Ngaruayanka,1334,L (Brown dwarf) Star,0,false,false,0,,0,0,Ngaruayanka,L (Brown dwarf) Star,9,0,0.2488,V,2816,1334,1200,0.2488,Ngaruayanka 3 d,1200,Icy body,20,645.2266,-L (Brown dwarf) Star-,1,false,,,false
Piscium Sector HD-I a10-0,66.58,true,1,1,Piscium Sector HD-I a10-0,1332,L (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector HD-I a10-0,L (Brown dwarf) Star,9,0,0.2439,V,8340,1332,1329,0.2439,Piscium Sector HD-I a10-0 5 a,1329,Icy body,20,2388.3694,-L (Brown dwarf) Star-,0,false,,,false
Ross 248,10.37,true,2,2,Ross 248 B,1332,L (Brown dwarf) Star,93962,false,false,1,0.1542,54043.838316,53397.455368649884,Ross 248 B,L (Brown dwarf) Star,9,93962,0.2434,V,11548,1332,266,0.2434,Ross 248 B 6,93696,Icy body,20,5510.3726,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,1626,V,false
NN 3709,44.05,true,2,2,NN 3709 B,1331,L (Brown dwarf) Star,179273,false,false,1,0.2681,150672.56373000002,145156.60522575479,NN 3709 B,L (Brown dwarf) Star,9,179273,0.2364,V,11182,1331,68,0.3962,NN 3709 B 5,179205,Icy body,42,5948.1118,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2312,V,false
Piscium Sector LY-H a10-0,56.51,true,1,1,Piscium Sector LY-H a10-0,1325,L (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector LY-H a10-0,L (Brown dwarf) Star,9,0,0.2094,V,10980,1325,2594,0.2094,Piscium Sector LY-H a10-0 7,2594,Icy body,20,6616.542,-L (Brown dwarf) Star-,0,false,,,false
Trianguli Sector WF-N a7-0,77.96,true,1,1,Trianguli Sector WF-N a7-0,1323,L (Brown dwarf) Star,0,false,false,0,,0,0,Trianguli Sector WF-N a7-0,L (Brown dwarf) Star,9,0,0.1956,V,10980,1323,642,0.1956,Trianguli Sector WF-N a7-0 7,642,Icy body,20,11031.5449,-L (Brown dwarf) Star-,0,false,,,false
Alrai Sector BV-P a5-1,74.21,true,1,1,Alrai Sector BV-P a5-1,1322,L (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector BV-P a5-1,L (Brown dwarf) Star,9,0,0.2011,V,11766,1322,2231,0.2011,Alrai Sector BV-P a5-1 6 a,2231,Icy body,20,1356.1906,-L (Brown dwarf) Star-,0,false,,,false
Trianguli Sector VF-N a7-2,67.02,true,1,1,Trianguli Sector VF-N a7-2,1318,L (Brown dwarf) Star,0,false,false,0,,0,0,Trianguli Sector VF-N a7-2,L (Brown dwarf) Star,9,0,0.2114,V,9730,1318,1108,0.2114,Trianguli Sector VF-N a7-2 6 a,1108,Icy body,20,1237.3126,-L (Brown dwarf) Star-,0,false,,,false
Alrai Sector JB-O a6-3,73.25,true,2,2,Alrai Sector JB-O a6-3 B,1316,L (Brown dwarf) Star,60226,false,false,1,0.1267,44136.5431455,43780.85035994223,Alrai Sector JB-O a6-3 B,L (Brown dwarf) Star,9,60226,0.2274,V,1230,1316,2349,0.3263,Alrai Sector JB-O a6-3 B 7,62575,Icy body,20,7844.1519,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Tascheter Sector RE-Q a5-1,69.92,true,1,1,Tascheter Sector RE-Q a5-1,1315,L (Brown dwarf) Star,0,false,false,0,,0,0,Tascheter Sector RE-Q a5-1,L (Brown dwarf) Star,9,0,0.2562,V,2322,1315,3952,0.2562,Tascheter Sector RE-Q a5-1 7,3952,Icy body,20,5334.874,-L (Brown dwarf) Star-,0,false,,,false
Col 285 Sector IS-U a32-1,77.91,true,2,2,Col 285 Sector IS-U a32-1 B,1315,L (Brown dwarf) Star,83828,false,false,1,0.202,43480.0521675,42583.73357304458,Col 285 Sector IS-U a32-1 B,L (Brown dwarf) Star,9,83828,0.2235,V,10116,1315,2128,0.3029,Col 285 Sector IS-U a32-1 B 6 a,81700,Icy body,20,1882.712,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Alrai Sector AP-R a4-2,59.20,true,2,2,Alrai Sector AP-R a4-2 B,1314,L (Brown dwarf) Star,29835,false,false,1,0.0163,18396.0688275,18393.624839390024,Alrai Sector AP-R a4-2 B,L (Brown dwarf) Star,9,29835,0.2599,V,12820,1314,1094,0.3001,Alrai Sector AP-R a4-2 B 5 a,30929,Icy body,20,1878.371,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Sikians,46.24,true,2,2,Sikians B,1313,L (Brown dwarf) Star,3441,false,false,1,0.307,2989.0898505,2844.74525043221,Sikians B,L (Brown dwarf) Star,9,3441,0.2207,V,482,1313,232,0.3527,Sikians B 5,3673,Icy body,46,2539.4995,-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,false,,,false
Jastreb Sector IH-M a7-0,35.77,true,1,1,Jastreb Sector IH-M a7-0,1309,L (Brown dwarf) Star,0,false,false,0,,0,0,Jastreb Sector IH-M a7-0,L (Brown dwarf) Star,9,0,0.2416,V,364,1309,3393,0.2416,Jastreb Sector IH-M a7-0 6 a,3393,Icy body,20,3651.592,-L (Brown dwarf) Star-,0,false,,,false
LP 378-541,20.88,true,2,2,LP 378-541 B,1307,L (Brown dwarf) Star,90791,false,false,1,0.0142,67037.7788145,67031.01972489704,LP 378-541 B,L (Brown dwarf) Star,9,90791,0.1936,V,11684,1307,263,0.4066,LP 378-541 B 6,90528,Icy body,29,3214.2534,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2295,V,false
Core Sys Sector WU-P a5-2,41.31,true,1,1,Core Sys Sector WU-P a5-2,1306,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector WU-P a5-2,L (Brown dwarf) Star,9,0,0.2001,V,10108,1306,1245,0.2001,Core Sys Sector WU-P a5-2 7,1245,Icy body,20,3195.2976,-L (Brown dwarf) Star-,0,false,,,false
Tjurinas,50.53,true,1,1,Tjurinas,1306,L (Brown dwarf) Star,0,false,false,0,,0,0,Tjurinas,L (Brown dwarf) Star,9,0,0.2567,V,2658,1306,1658,0.2567,Tjurinas 11,1658,Icy body,20,12492.416,-L (Brown dwarf) Star-,1,false,,,false
Piscium Sector QT-Q a5-0,69.44,true,2,2,Piscium Sector QT-Q a5-0 B,1304,L (Brown dwarf) Star,2912,false,false,1,0.1153,1993.8742785,1980.5765633224175,Piscium Sector QT-Q a5-0 B,L (Brown dwarf) Star,9,2912,0.2072,V,406,1304,77,0.3352,Piscium Sector QT-Q a5-0 B 5 a,2835,Icy body,59,764.1604,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Alrai Sector PN-T b3-4,78.39,true,2,2,Alrai Sector PN-T b3-4 B,1304,L (Brown dwarf) Star,272046,false,false,1,0.2533,177024.7682775,171251.59695827123,Alrai Sector PN-T b3-4 B,L (Brown dwarf) Star,9,272046,0.2108,V,10106,1304,1555,0.5312,Alrai Sector PN-T b3-4 B 6,273601,Icy body,20,1687.6282,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2936,Va,false
Col 285 Sector FJ-I a39-3,77.32,true,1,1,Col 285 Sector FJ-I a39-3,1299,T (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector FJ-I a39-3,T (Brown dwarf) Star,9,0,0.2228,V,9788,1299,2931,0.2228,Col 285 Sector FJ-I a39-3 6,2931,Icy body,20,4659.1802,-T (Brown dwarf) Star-,0,false,,,false
