===== PARAMETERS =====
Total rows : 5415
Reference system: Sol
Area of search : 1000 ly
Gas types Class I gas giant +Class II gas giant +Class III gas giant +Class IV gas giant +Class V gas giant +Gas giant with ammonia-based life +Gas giant with water-based life +Hellium-rich gas giant
Ref star types : M (Red giant) Star + M (Red dwarf) Star + M (Red super giant) Star + T Tauri Star
==========
System name,Distance from Sol (ly),System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,Has T Tauri Star ?,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius
Col 359 Sector HV-Z b29-0,781.83,1,1,Col 359 Sector HV-Z b29-0 4,168,Gas giant with water-based life,1313.4467,false,true,1,0.0004,1313.6805630000001,1313.6804579055508,Col 359 Sector HV-Z b29-0,M (Red dwarf) Star,5,0,0.5699,Va,432,0.5699,false,3087,Col 359 Sector HV-Z b29-0 4 h,1308.6384,Icy body,114,1755.6965
Wregoe XW-B b42-0,379.25,4,2,Wregoe XW-B b42-0 AB 5,168,Gas giant with water-based life,3130.2229,true,false,2,0.0015,3134.549808,3134.5462816294826,Wregoe XW-B b42-0 B,M (Red dwarf) Star,5,40.1551,0.5633,Va,11662,0.6628,false,3037,Wregoe XW-B b42-0 AB 5 f a,3132.2405,Icy body,166,753.0109
Wredguia CR-V b29-3,457.24,1,1,Wredguia CR-V b29-3 4,168,Gas giant with water-based life,949.4682,false,true,1,0,949.506714,949.506714,Wredguia CR-V b29-3,M (Red dwarf) Star,6,0,0.4384,Va,4050,0.4384,false,2716,Wredguia CR-V b29-3 4 g,959.6392,Icy body,58,1569.0503
Col 359 Sector XJ-I b26-1,706.46,1,1,Col 359 Sector XJ-I b26-1 6,168,Gas giant with water-based life,1472.0436,false,true,1,0.0092,1459.3401225,1459.2783619191343,Col 359 Sector XJ-I b26-1,M (Red dwarf) Star,4,0,0.5154,Va,1926,0.5154,false,3124,Col 359 Sector XJ-I b26-1 6 f a,1464.1979,Icy body,59,559.2329
Synuefe KN-T c19-5,404.63,2,1,Synuefe KN-T c19-5 A 2,167,Class II gas giant,1071.3572,false,false,0,0.0001,1071.2140335,1071.2140281439297,Synuefe KN-T c19-5 B,M (Red dwarf) Star,2,32105.1094,0.6179,,6518,0.6179,false,3571,Synuefe KN-T c19-5 A 2 h,1059.8635,Icy body,264,1438.118
Synuefe IZ-K c10-1,783.90,2,1,Synuefe IZ-K c10-1 A 8,167,Class II gas giant,1693.7433,false,true,2,0.0019,1695.2696865,1695.266626535454,Synuefe IZ-K c10-1 B,M (Red dwarf) Star,5,47318.0938,0.628,Va,9350,0.628,false,2998,Synuefe IZ-K c10-1 A 8 h,1676.1449,Rocky body,127,1172.24
Col 285 Sector NF-R b20-3,156.69,1,1,Col 285 Sector NF-R b20-3 2,167,Gas giant with water-based life,638.9481,false,true,1,0,638.926002,638.926002,Col 285 Sector NF-R b20-3,M (Red dwarf) Star,6,0,0.5596,Va,5016,0.5596,false,2799,Col 285 Sector NF-R b20-3 2 f,624,Icy body,76,1697.8657
HIP 1389,153.29,3,1,HIP 1389 BC 1,167,Gas giant with water-based life,381413.1562,true,false,0,0.0003,1132.6914494999999,1132.6913985288836,HIP 1389 C,M (Red dwarf) Star,9,380094.1875,0.4437,Va,11404,0.4437,false,2361,HIP 1389 BC 1 h,381422.9375,Icy body,93,1406.2006
HIP 56145,142.75,4,2,HIP 56145 CD 3,167,Gas giant with water-based life,194196.75,true,false,2,0,4234.2071265,4234.2071265,HIP 56145 C,M (Red dwarf) Star,5,197558.1094,0.5297,Va,980,0.6751,false,2977,HIP 56145 CD 3 f a,194192.0938,Icy body,52,1182.4137
HIP 71050,137.39,2,1,HIP 71050 A 1,167,Gas giant with water-based life,2123.6831,false,true,3,0.0491,9.9301995,9.918222364866464,HIP 71050 B,M (Red dwarf) Star,6,20035.9414,0.464,Va,6312,0.464,false,2763,HIP 71050 A 1 h,2117.1707,Rocky body,128,566.9343
HIP 105388,140.17,3,1,HIP 105388 ABC 1,167,Class II gas giant,4727.8076,true,false,1,0.0001,3765.7412325,3765.7412136712933,HIP 105388 B,M (Red dwarf) Star,2,2592.3848,0.5502,Va,10516,0.5502,false,3508,HIP 105388 ABC 1 g a,4740.8647,Icy body,113,992.9277
95 Tauri,157.42,4,2,95 Tauri ABC 3,167,Class II gas giant,3017.9163,true,false,2,0.1059,0.8982089999999999,0.8931581774310443,95 Tauri C,M (Red dwarf) Star,6,1099.7993,0.4698,Va,2552,0.4698,false,2711,95 Tauri ABC 3 h,3022.8735,Rocky body,160,644.0959
Setesuyara,108.21,3,2,Setesuyara C 7,167,Class II gas giant,11993.3359,false,true,2,0.0012,793.517751,793.5171796670136,Setesuyara C,M (Red dwarf) Star,5,11503.3223,0.5501,Va,486,0.5501,false,3069,Setesuyara C 7 g,11987.0479,Icy body,91,1228.592
Synuefe JS-T e3-6,682.78,3,1,Synuefe JS-T e3-6 BC 9,167,Class II gas giant,12729.0967,true,false,2,0.0071,1602.704259,1602.6638623300466,Synuefe JS-T e3-6 C,M (Red dwarf) Star,2,14316.5889,0.5933,Vz,220,0.5933,false,3521,Synuefe JS-T e3-6 BC 9 h,12739.7109,Rocky body,155,934.7413
Hyades Sector YT-Q b5-0,224.23,2,2,Hyades Sector YT-Q b5-0 B 10,167,Class II gas giant,152534.3906,false,false,0,0.0032,951.0536294999999,951.0487600929512,Hyades Sector YT-Q b5-0 B,T Tauri Star,9,152839.9219,0.4863,,208,0.581,true,2163,Hyades Sector YT-Q b5-0 B 10 h,152520.2031,Icy body,54,1099.0225
Col 173 Sector ME-P d6-93,892.12,7,2,Col 173 Sector ME-P d6-93 E 6,167,Class II gas giant,60001.2695,false,true,2,0.0021,2355.5531025,2355.5479084996828,Col 173 Sector ME-P d6-93 E,M (Red dwarf) Star,1,60731.6172,0.6857,Va,1566,0.6857,false,3655,Col 173 Sector ME-P d6-93 E 6 g,60031.8828,Icy body,79,1137.4669
Col 285 Sector CT-L b23-5,196.82,1,1,Col 285 Sector CT-L b23-5 7,167,Class II gas giant,793.6169,false,false,0,0.0001,793.5676515,793.5676475321617,Col 285 Sector CT-L b23-5,M (Red dwarf) Star,4,0,0.5204,Va,11558,0.5204,false,3225,Col 285 Sector CT-L b23-5 7 g a,788.7237,Icy body,79,667.6788
Col 359 Sector UC-T c4-29,359.06,4,2,Col 359 Sector UC-T c4-29 A 2,167,Class II gas giant,1623.9105,false,true,2,0.0017,1623.1135635,1623.111218099206,Col 359 Sector UC-T c4-29 D,M (Red dwarf) Star,8,325187.7812,0.4027,Va,2918,0.5358,false,2450,Col 359 Sector UC-T c4-29 A 2 g,1614.3086,Icy body,111,3844.5095
Col 285 Sector DL-V c3-1,343.27,2,1,Col 285 Sector DL-V c3-1 AB 1,167,Class II gas giant,5414,true,false,0,,4814.3503395,4814.3503395,Col 285 Sector DL-V c3-1 B,M (Red dwarf) Star,7,3132,0.4616,,4970,0.4616,false,2508,Col 285 Sector DL-V c3-1 AB 1 h,5357,Icy body,60,1872.0046
Synuefai VO-K b53-0,670.87,1,1,Synuefai VO-K b53-0 A 1,167,Class II gas giant,355,false,false,0,0.063,19.311493499999997,19.273131738847148,Synuefai VO-K b53-0 A,M (Red dwarf) Star,5,0,0.4636,,9440,0.4636,false,3045,Synuefai VO-K b53-0 A 1 g a,348,Icy body,106,576.0595
Col 359 Sector FL-E c12-15,680.44,1,1,Col 359 Sector FL-E c12-15 A 1,167,Class II gas giant,1615.5302,false,true,2,0.0009,1616.1274935000001,1616.1268389682327,Col 359 Sector FL-E c12-15 B,M (Red dwarf) Star,3,311804.5312,0.5946,Va,3358,0.5946,false,3376,Col 359 Sector FL-E c12-15 A 1 g,1607.5096,Icy body,75,1504.455
Wregoe HX-L d7-40,400.64,1,1,Wregoe HX-L d7-40 3,167,Gas giant with water-based life,3981.342,false,false,0,0.0002,3981.560895,3981.5608153687813,Wregoe HX-L d7-40,M (Red dwarf) Star,4,0,0.5459,Va,880,0.5459,false,3111,Wregoe HX-L d7-40 3 h,3992.7305,Icy body,42,1773.769
LP 802-69,81.17,1,1,LP 802-69 4,166,Class II gas giant,1555.3505,false,true,2,0.0012,0.099801,0.09980092814325413,LP 802-69,M (Red dwarf) Star,1,0,0.6493,V,3722,0.6493,false,3684,LP 802-69 4 h,1559.3607,Icy body,128,902.8596
LBN 623 Sector HW-W c1-2,595.94,1,1,LBN 623 Sector HW-W c1-2 6,166,Gas giant with water-based life,1224.635,false,true,1,0.004,1219.767822,1219.758063818391,LBN 623 Sector HW-W c1-2,M (Red dwarf) Star,1,0,0.6007,Va,700,0.6007,false,3613,LBN 623 Sector HW-W c1-2 6 g,1210.3226,Icy body,75,2407.5823
Krataxo,157.25,2,2,Krataxo A 7,166,Gas giant with water-based life,447.6209,false,true,2,0.0004,447.6573855,447.6573496874077,Krataxo A,M (Red dwarf) Star,4,0,0.5546,Vz,222,0.5546,false,3201,Krataxo A 7 g,444.9333,Icy body,108,1471.449
Tujia,114.54,3,3,Tujia C 9,166,Gas giant with water-based life,14460.8984,false,true,2,0.0111,777.5994915,777.5515860076717,Tujia C,M (Red dwarf) Star,4,13872.29,0.5345,Va,378,0.5345,false,3240,Tujia C 9 h,14452.1934,Icy body,94,1746.374
RBS 742,52.62,1,1,RBS 742 4,166,Gas giant with water-based life,1226.7439,false,true,2,0.1875,1.8463185,1.813573308125766,RBS 742,M (Red dwarf) Star,5,0,0.5003,V,8174,0.5003,false,2933,RBS 742 4 g a,1234.2712,Icy body,48,1007.7213
HR 3316,114.68,4,1,HR 3316 CD 3,166,Class II gas giant,234116.5938,true,false,3,0.0126,1225.256877,1225.1596122485123,HR 3316 D,M (Red dwarf) Star,5,234588.875,0.5083,Va,1376,0.5083,false,2856,HR 3316 CD 3 h,234112.1719,Rocky body,132,648.3642
Wregoe MO-Z d13-162,351.39,2,1,Wregoe MO-Z d13-162 B 2,166,Class II gas giant,20868.6621,false,true,2,0.0005,1305.8461845,1305.8460212692166,Wregoe MO-Z d13-162 B,M (Red dwarf) Star,1,21998.3047,0.6128,Va,1940,0.6128,false,3657,Wregoe MO-Z d13-162 B 2 h,20856.1738,Rocky body,127,509.2174
Txamsemi,168.53,1,1,Txamsemi 4,166,Class II gas giant,872.0684,false,true,1,0.0005,871.661934,871.6618250422514,Txamsemi,M (Red dwarf) Star,1,0,0.6332,Va,800,0.6332,false,3679,Txamsemi 4 g,883.857,Icy body,90,1134.6758
Wredguia QJ-L b49-6,420.17,1,1,Wredguia QJ-L b49-6 6,166,Gas giant with water-based life,2646.4849,false,false,0,0.0004,2645.8742115,2645.8739998300543,Wredguia QJ-L b49-6,M (Red dwarf) Star,5,0,0.5158,Va,648,0.5158,false,2839,Wredguia QJ-L b49-6 6 h,2658.9128,Icy body,44,1700.7094
Wregoe CM-D c12-0,552.47,1,1,Wregoe CM-D c12-0 3,166,Class II gas giant,1260.9437,false,true,1,0.0035,1258.690212,1258.6825024988411,Wregoe CM-D c12-0,M (Red dwarf) Star,3,0,0.572,Va,2906,0.572,false,3305,Wregoe CM-D c12-0 3 g,1276,Icy body,123,1974.5679
Swoilz TG-E b15-1,915.85,1,1,Swoilz TG-E b15-1 9,166,Gas giant with water-based life,1489.368,false,false,0,0.1979,5.6387564999999995,5.527234384033581,Swoilz TG-E b15-1,M (Red dwarf) Star,5,0,0.5362,Va,12076,0.5362,false,2939,Swoilz TG-E b15-1 9 h,1492.332,Icy body,60,1416.1614
Wredguia ZV-C c26-15,580.18,3,3,Wredguia ZV-C c26-15 AB 2,166,Gas giant with water-based life,1607.9672,true,false,0,0.0001,1716.2278964999998,1716.2278879188602,Wredguia ZV-C c26-15 B,T Tauri Star,9,444,0.3151,,208,0.7305,true,1858,Wredguia ZV-C c26-15 AB 2 g,1601.1368,Icy body,89,2030.3798
Col 359 Sector TL-K b23-1,633.57,3,2,Col 359 Sector TL-K b23-1 ABC 1,166,Gas giant with water-based life,1792.5591,true,false,0,0,1547.7638085,1547.7638085,Col 359 Sector TL-K b23-1 C,M (Red dwarf) Star,6,670.7034,0.4901,Va,1692,0.6328,false,2752,Col 359 Sector TL-K b23-1 ABC 1 h,1798.9475,Icy body,216,1814.6798
Praea Euq IW-T b4-2,488.25,5,2,Praea Euq IW-T b4-2 AB 4,166,Gas giant with water-based life,1857.89,true,false,0,0.002,1860.0910379999998,1860.0873178142035,Praea Euq IW-T b4-2 B,M (Red dwarf) Star,6,227.0286,0.4689,Va,3924,0.5363,false,2671,Praea Euq IW-T b4-2 AB 4 h,1873.5261,Icy body,118,1502.7939
HIP 49906,504.11,2,1,HIP 49906 B 4,166,Gas giant with water-based life,31165.0332,false,true,2,0.0001,1256.6442915,1256.6442852167784,HIP 49906 B,M (Red dwarf) Star,3,32420.9336,0.5109,Va,2344,0.5109,false,3304,HIP 49906 B 4 g,31157.1602,Icy body,111,1319.568
Synuefe ME-D b30-0,703.24,1,1,Synuefe ME-D b30-0 4,166,Gas giant with water-based life,1235.1055,false,true,1,0.0006,1235.6860815,1235.6858590764853,Synuefe ME-D b30-0,M (Red dwarf) Star,4,0,0.5859,Va,8836,0.5859,false,3144,Synuefe ME-D b30-0 4 f,1219.4202,Icy body,117,1883.3322
Siksikas,176.24,1,1,Siksikas 13,165,Gas giant with water-based life,1896.9431,false,true,1,0.004,1904.602284,1904.5870471207802,Siksikas,M (Red dwarf) Star,3,0,0.5989,Va,2224,0.5989,false,3360,Siksikas 13 g a,1874.8103,Icy body,57,591.4473
Col 285 Sector OA-B b15-3,184.52,1,1,Col 285 Sector OA-B b15-3 8,165,Gas giant with water-based life,633.2342,false,true,1,0.0015,632.73834,632.7376281689671,Col 285 Sector OA-B b15-3,M (Red dwarf) Star,4,0,0.5798,Va,252,0.5798,false,3242,Col 285 Sector OA-B b15-3 8 g,629.0536,Icy body,92,1555.2842
Col 285 Sector UE-Y c1-11,352.49,2,1,Col 285 Sector UE-Y c1-11 A 1,165,Gas giant with water-based life,1108.8574,false,true,2,0.0006,1108.389906,1108.389706489799,Col 285 Sector UE-Y c1-11 B,M (Red dwarf) Star,5,7862.8447,0.5005,Va,12904,0.5005,false,2845,Col 285 Sector UE-Y c1-11 A 1 g,1114,Icy body,106,1127.6909
Swoilz VP-V d3-26,776.53,2,1,Swoilz VP-V d3-26 B 6,165,Class II gas giant,300028,false,false,0,0.0447,2.395224,2.392829866917589,Swoilz VP-V d3-26 B,M (Red dwarf) Star,3,298479,0.6166,,1756,0.6166,false,3332,Swoilz VP-V d3-26 B 6 g,300033,Icy body,115,1315.7483
Swoiwns ZO-V c4-5,641.67,1,1,Swoiwns ZO-V c4-5 7,165,Gas giant with water-based life,1032,false,false,0,0.004,1035.6349770000002,1035.6266918870435,Swoiwns ZO-V c4-5,M (Red dwarf) Star,2,0,0.6664,,4848,0.6664,false,3473,Swoiwns ZO-V c4-5 7 g a,1024,Icy body,83,583.9432
Wredguia RO-U c18-0,855.21,1,1,Wredguia RO-U c18-0 9,165,Class II gas giant,1059,false,false,0,0.0005,1059.9365205,1059.9363880079268,Wredguia RO-U c18-0,M (Red dwarf) Star,2,0,0.6993,,352,0.6993,false,3411,Wredguia RO-U c18-0 9 e a,1070,Icy body,81,1126.7675
Col 135 Sector LE-O b7-5,933.23,1,1,Col 135 Sector LE-O b7-5 11,165,Gas giant with water-based life,1411.0006,false,false,0,0.0001,1410.9865379999999,1410.9865309450672,Col 135 Sector LE-O b7-5,M (Red dwarf) Star,4,0,0.5446,Vz,224,0.5446,false,3223,Col 135 Sector LE-O b7-5 11 g,1394.3585,Icy body,61,2030.9246
Synuefai UP-O b36-0,852.54,1,1,Synuefai UP-O b36-0 2,165,Class II gas giant,2349,false,false,0,0.1126,1.097811,1.0908293586717985,Synuefai UP-O b36-0,M (Red dwarf) Star,5,0,0.5647,,6312,0.5647,false,3021,Synuefai UP-O b36-0 2 h,2341,Icy body,51,1663.0085
Wregoe ZA-I b51-0,935.97,1,1,Wregoe ZA-I b51-0 1,165,Class II gas giant,738.3433,false,true,1,0.0028,738.128196,738.1253025318006,Wregoe ZA-I b51-0,M (Red dwarf) Star,5,0,0.5323,Va,10222,0.5323,false,3088,Wregoe ZA-I b51-0 1 g,746.3795,Icy body,78,1498.4305
Praea Euq YU-O c6-5,625.42,3,1,Praea Euq YU-O c6-5 AB 1,165,Class II gas giant,1216.6407,true,false,0,0.0007,1138.629609,1138.6293300357115,Praea Euq YU-O c6-5 B,M (Red dwarf) Star,9,348.8234,0.3917,,4228,0.3917,false,2147,Praea Euq YU-O c6-5 AB 1 g,1229.4565,Icy body,92,1040.0027
Wregoe QO-Z c13-21,502.57,2,1,Wregoe QO-Z c13-21 A 6,165,Class II gas giant,2439.4707,false,true,2,0.0018,2438.338032,2438.3340818891884,Wregoe QO-Z c13-21 B,M (Red dwarf) Star,5,66639.75,0.5814,Va,12548,0.5814,false,2923,Wregoe QO-Z c13-21 A 6 h,2428.2939,Icy body,123,1754.3304
Bahinga,164.28,1,1,Bahinga 9,164,Class II gas giant,740.9058,false,true,1,0.0033,741.421629,741.4175919482392,Bahinga,M (Red dwarf) Star,3,0,0.5461,Va,492,0.5461,false,3349,Bahinga 9 g,746.1183,Icy body,86,1603.7325
Musca Dark Region NY-Q b5-9,502.01,2,1,Musca Dark Region NY-Q b5-9 A 2,164,Gas giant with water-based life,1705.4745,false,true,2,0.0026,1702.006254,1702.0005012091392,Musca Dark Region NY-Q b5-9 A,M (Red dwarf) Star,5,0,0.4499,Va,2300,0.4499,false,2935,Musca Dark Region NY-Q b5-9 A 2 g,1721.7292,Icy body,50,2150.9185
LP 460-60,71.82,1,1,LP 460-60 9,164,Class II gas giant,1838.5448,false,true,1,0.0012,1838.8833255,1838.882001503529,LP 460-60,M (Red dwarf) Star,3,0,0.5979,V,3018,0.5979,false,3393,LP 460-60 9 g,1811.3655,Icy body,48,4621.2739
Furuhjelm I-645,103.50,1,1,Furuhjelm I-645 2,164,Class II gas giant,979.257,false,true,1,0.0047,983.7883575,983.7774914975836,Furuhjelm I-645,M (Red dwarf) Star,1,0,0.6276,V,11088,0.6276,false,3722,Furuhjelm I-645 2 g,978.8596,Icy body,120,1300.3494
Synuefe VV-D b45-2,830.42,1,1,Synuefe VV-D b45-2 2,164,Class II gas giant,804.3051,false,true,1,0.001,804.5956620000001,804.5952597020685,Synuefe VV-D b45-2,M (Red dwarf) Star,5,0,0.4543,Va,4436,0.4543,false,2921,Synuefe VV-D b45-2 2 g a,796.4856,Icy body,183,971.8356
Synuefe FP-H b42-1,559.37,2,2,Synuefe FP-H b42-1 A 1,164,Class II gas giant,345.0463,false,false,0,0.0004,345.0619575,345.0619298950423,Synuefe FP-H b42-1 A,M (Red dwarf) Star,5,0,0.5797,,10826,0.5797,false,3024,Synuefe FP-H b42-1 A 1 f,339.5797,Icy body,121,1272.4294
Col 359 Sector QM-R b19-1,610.52,1,1,Col 359 Sector QM-R b19-1 1,164,Class II gas giant,706.1777,false,false,0,0.0001,706.191876,706.1918724690406,Col 359 Sector QM-R b19-1,M (Red dwarf) Star,3,0,0.5374,Va,2570,0.5374,false,3320,Col 359 Sector QM-R b19-1 1 g,710.5916,Icy body,85,1874.1174
Synuefe VP-M b24-0,836.99,2,2,Synuefe VP-M b24-0 A 9,164,Gas giant with water-based life,1066.899,false,false,0,0.0005,1067.0722919999998,1067.072158615955,Synuefe VP-M b24-0 A,M (Red dwarf) Star,5,0,0.5029,Va,338,0.5029,false,3023,Synuefe VP-M b24-0 A 9 g,1070.0304,Icy body,74,1386.1991
Col 285 Sector KZ-J b11-1,295.23,1,1,Col 285 Sector KZ-J b11-1 4,164,Gas giant with water-based life,1151,false,false,0,0.0001,1151.104734,1151.1047282444763,Col 285 Sector KZ-J b11-1,M (Red dwarf) Star,4,0,0.6156,Va,1394,0.6156,false,3164,Col 285 Sector KZ-J b11-1 4 g a,1138,Icy body,161,549.8115
Wregoe TF-R b49-0,916.53,1,1,Wregoe TF-R b49-0 2,164,Class II gas giant,938.0044,false,true,1,0.0012,938.7781064999999,938.77743057952,Wregoe TF-R b49-0,M (Red dwarf) Star,3,0,0.5896,Va,11008,0.5896,false,3300,Wregoe TF-R b49-0 2 g,927.9824,Icy body,77,1498.9404
Synuefai RI-G b16-0,766.84,1,1,Synuefai RI-G b16-0 9,163,Gas giant with water-based life,1112.0941,false,true,1,0.0068,1113.579558,1113.5538117429887,Synuefai RI-G b16-0,M (Red dwarf) Star,2,0,0.5815,Va,358,0.5815,false,3455,Synuefai RI-G b16-0 9 g,1117.3756,Icy body,74,1144.9575
HIP 87168,205.79,2,1,HIP 87168 B 1,163,Class II gas giant,35075.043,false,true,2,,0,0,HIP 87168 B,M (Red dwarf) Star,4,35169.9688,0.5407,Va,9916,0.5407,false,3112,HIP 87168 B 1 h,35081.25,Icy body,84,2496.158
Gamil,182.57,1,1,Gamil 5,163,Gas giant with water-based life,1258.5338,false,true,1,0.0002,1258.790013,1258.7899878241997,Gamil,M (Red dwarf) Star,5,0,0.4592,Va,3428,0.4592,false,2904,Gamil 5 g,1253.022,Icy body,57,1569.0883
Col 285 Sector VK-M c8-4,191.37,1,1,Col 285 Sector VK-M c8-4 3,163,Gas giant with water-based life,611.7322,false,true,1,0,611.7302295,611.7302295,Col 285 Sector VK-M c8-4,M (Red dwarf) Star,2,0,0.6649,Va,5424,0.6649,false,3582,Col 285 Sector VK-M c8-4 3 g a,598.4774,Icy body,104,513.7091
Col 285 Sector CD-P b20-7,181.55,1,1,Col 285 Sector CD-P b20-7 8,163,Class II gas giant,670.288,false,true,1,0.0007,670.3134165,670.3132522731928,Col 285 Sector CD-P b20-7,M (Red dwarf) Star,3,0,0.5355,Va,12458,0.5355,false,3367,Col 285 Sector CD-P b20-7 8 g,677.7809,Icy body,87,1866.838
Enetet,131.04,1,1,Enetet 10,163,Gas giant with water-based life,934.3688,false,true,1,0.0018,933.1892505000001,933.1877387321897,Enetet,M (Red dwarf) Star,5,0,0.507,Va,256,0.507,false,3002,Enetet 10 g,926.2576,Icy body,120,1681.5415
CN Bootis,69.90,5,1,CN Bootis BC 1,163,Class II gas giant,280001.9062,true,false,2,0.0022,2409.395742,2409.3899112552494,CN Bootis C,M (Red dwarf) Star,3,278209.9688,0.5338,Va,328,0.5338,false,3384,CN Bootis BC 1 f,280013.4062,Icy body,104,1549.0669
Col 285 Sector GX-K d8-142,296.32,4,1,Col 285 Sector GX-K d8-142 CD 2,163,Class II gas giant,87802.6562,true,false,2,0.0026,1699.7607315,1699.7549862990181,Col 285 Sector GX-K d8-142 D,M (Red dwarf) Star,9,86706.9844,0.4041,Va,2064,0.4041,false,2339,Col 285 Sector GX-K d8-142 CD 2 h,87811.8047,Icy body,92,1355.2621
Synuefe NI-R c21-10,331.28,2,1,Synuefe NI-R c21-10 AB 1,163,Gas giant with water-based life,2828.2866,true,false,0,0,2618.678439,2618.678439,Synuefe NI-R c21-10 B,M (Red dwarf) Star,4,1361.0508,0.4991,Va,4842,0.4991,false,3247,Synuefe NI-R c21-10 AB 1 f,2804.2185,Icy body,82,1837.0328
HIP 14614,143.66,3,1,HIP 14614 A 2,163,Class II gas giant,4694.7031,false,true,2,0.0022,4684.4094374999995,4684.398101215444,HIP 14614 C,M (Red dwarf) Star,9,51840.0234,0.4026,Va,8752,0.4026,false,2189,HIP 14614 A 2 h,4683.5737,Icy body,91,1289.5284
Hyades Sector FW-V c2-6,182.60,4,1,Hyades Sector FW-V c2-6 D 1,163,Gas giant with water-based life,71372.8594,false,true,2,0.0014,733.7868525,733.7861333885321,Hyades Sector FW-V c2-6 B,M (Red dwarf) Star,4,35.479,0.5311,Va,5118,0.5311,false,3244,Hyades Sector FW-V c2-6 D 1 h,71386.9453,Icy body,117,927.1964
Synuefai TN-T b23-2,758.48,1,1,Synuefai TN-T b23-2 4,163,Class II gas giant,1493,false,false,0,0.0015,1493.921169,1493.9194883377395,Synuefai TN-T b23-2,M (Red dwarf) Star,2,0,0.6008,Va,4006,0.6008,false,3442,Synuefai TN-T b23-2 4 g,1494,Icy body,121,1981.5891
Synuefe FU-Q c21-4,827.64,2,1,Synuefe FU-Q c21-4 A 2,163,Class II gas giant,2551.8608,false,true,2,0.006,2537.93943,2537.8937466791067,Synuefe FU-Q c21-4 B,M (Red dwarf) Star,7,231052.3906,0.4182,Va,13023,0.4182,false,2525,Synuefe FU-Q c21-4 A 2 f a,2562.6387,Rocky body,101,399.2395
Wredguia IJ-N b51-0,649.10,1,1,Wredguia IJ-N b51-0 12,163,Class II gas giant,472.4056,false,false,0,0.0002,472.45793399999997,472.4579245508412,Wredguia IJ-N b51-0,T Tauri Star,7,0,0.5106,,202,0.5106,true,2575,Wredguia IJ-N b51-0 12 h,480.4244,Icy body,80,1464.1549
Wredguia EA-G b53-0,657.14,1,1,Wredguia EA-G b53-0 1,163,Class II gas giant,343,false,false,0,0.001,342.616833,342.6166616915407,Wredguia EA-G b53-0,M (Red dwarf) Star,6,0,0.4869,,3812,0.4869,false,2750,Wredguia EA-G b53-0 1 h,335,Icy body,94,1350.0883
Synuefe LA-D b46-1,736.51,1,1,Synuefe LA-D b46-1 8,163,Class II gas giant,921.9828,false,true,1,0.0071,928.548504,928.5250996399996,Synuefe LA-D b46-1,M (Red dwarf) Star,4,0,0.5155,Va,432,0.5155,false,3126,Synuefe LA-D b46-1 8 h,915.5683,Icy body,0,1392.66
Synuefe TL-M b40-3,674.89,1,1,Synuefe TL-M b40-3 4,163,Gas giant with water-based life,1453.8937,false,true,1,0.0008,1453.302162,1453.3016969432335,Synuefe TL-M b40-3,M (Red dwarf) Star,1,0,0.6128,Va,13042,0.6128,false,3686,Synuefe TL-M b40-3 4 g a,1457.0625,Icy body,106,856.0172
Synuefe GJ-G b44-9,765.51,1,1,Synuefe GJ-G b44-9 3,163,Gas giant with water-based life,574.3995,false,true,1,0.0002,574.354755,574.3547435129047,Synuefe GJ-G b44-9,M (Red dwarf) Star,9,0,0.4045,VI,13047,0.4045,false,2145,Synuefe GJ-G b44-9 3 h,562.4137,Icy body,56,1061.9739
Wregoe OB-A b15-0,774.49,1,1,Wregoe OB-A b15-0 2,163,Gas giant with water-based life,1067.4268,false,true,1,0,1067.4215955,1067.4215955,Wregoe OB-A b15-0,M (Red dwarf) Star,4,0,0.5647,Va,11100,0.5647,false,3166,Wregoe OB-A b15-0 2 g,1074.7493,Icy body,133,2151.1475
Wregoe TM-Y c28-12,479.33,2,1,Wregoe TM-Y c28-12 AB 1,163,Gas giant with water-based life,7304.4204,true,false,1,0.093,6169.797621,6143.0583887248295,Wregoe TM-Y c28-12 B,M (Red dwarf) Star,1,2583.6538,0.7029,Va,1564,0.7029,false,3604,Wregoe TM-Y c28-12 AB 1 g,7282.7593,Icy body,123,1690.1154
Dagudi,147.12,1,1,Dagudi 11,162,Class II gas giant,1158.5889,false,true,1,0.0039,1154.298366,1154.2895875275462,Dagudi,T Tauri Star,1,0,0.7211,Va,210,0.7211,true,3625,Dagudi 11 h,1140.9404,Icy body,82,2306.448
HIP 97567,156.58,1,1,HIP 97567 2,162,Class II gas giant,960.2775,false,true,1,0.0057,959.4369135000001,959.4213273207404,HIP 97567,M (Red dwarf) Star,4,0,0.5546,V,5068,0.5546,false,3233,HIP 97567 2 g,977.6692,Icy body,80,2626.7561
