===== PARAMETERS =====
Total rows : 437
Reference system: Sol
Area of search : 1000 ly
Max distance from star 1000 ls
Gas types Class III gas giant +Class IV gas giant +Class V gas giant +Gas giant with ammonia-based life +Gas giant with water-based life +Hellium-rich gas giant
Ref star types : M (Red giant) Star + M (Red dwarf) Star + M (Red super giant) Star + T Tauri Star
==========
System name,Gas Body Name,Distance from Sol (ly),Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius
Dumni,Dumni 2,204.44,278,Class III gas giant,453.2125,false,Dumni,M (Red dwarf) Star,6,0,0.4767,Va,10632,2637,Dumni 2 f,459.1743,Icy body,91,2506.0193
M7 Sector LM-K b9-6,M7 Sector LM-K b9-6 ABC 1,980.97,277,Class III gas giant,899.4905,true,M7 Sector LM-K b9-6 A,M (Red dwarf) Star,7,0,0.5157,Va,5680,2568,M7 Sector LM-K b9-6 ABC 1 h,882.7695,Icy body,63,2910.9824
Col 285 Sector XF-O d6-37,Col 285 Sector XF-O d6-37 AB 3,321.44,274,Class III gas giant,1156.3397,true,Col 285 Sector XF-O d6-37 B,M (Red dwarf) Star,1,174.4027,0.6436,Va,1702,3688,Col 285 Sector XF-O d6-37 AB 3 h,1150.5973,Rocky body,236,625.2809
Wredguia WK-W b57-3,Wredguia WK-W b57-3 11,855.80,274,Class III gas giant,966,false,Wredguia WK-W b57-3,M (Red dwarf) Star,5,0,0.5019,Va,288,2911,Wredguia WK-W b57-3 11 f a,974,Icy body,77,1112.934
Vela Dark Region VO-R b4-6,Vela Dark Region VO-R b4-6 4,999.56,273,Class III gas giant,664.2004,false,Vela Dark Region VO-R b4-6,M (Red dwarf) Star,6,0,0.5166,Va,7982,2695,Vela Dark Region VO-R b4-6 4 g,658.9113,Icy body,81,1983.9072
Aries Dark Region MS-T c3-3,Aries Dark Region MS-T c3-3 B 8,259.12,271,Class III gas giant,138918.6406,false,Aries Dark Region MS-T c3-3 B,M (Red dwarf) Star,2,138770.4375,0.5814,Va,5946,3504,Aries Dark Region MS-T c3-3 B 8 g a,138011.875,Icy body,104,500.4938
Swoilz WP-X d1-3,Swoilz WP-X d1-3 AB 1,860.38,270,Class III gas giant,1154,true,Swoilz WP-X d1-3 B,M (Red dwarf) Star,2,332,0.5424,,7150,3554,Swoilz WP-X d1-3 AB 1 h,1161,Rocky body,201,848.7692
Wregoe DO-E b39-4,Wregoe DO-E b39-4 1,457.74,269,Class III gas giant,716.4269,false,Wregoe DO-E b39-4,M (Red dwarf) Star,5,0,0.5834,Va,12929,2986,Wregoe DO-E b39-4 1 g,696.7365,Icy body,84,1787.9594
Col 173 Sector GP-D c13-14,Col 173 Sector GP-D c13-14 AB 1,886.70,268,Class III gas giant,1754.7833,true,Col 173 Sector GP-D c13-14 B,M (Red dwarf) Star,5,928.2992,0.5495,Va,8950,3021,Col 173 Sector GP-D c13-14 AB 1 h,1768.6261,Rocky body,127,813.3029
LP 48-567,LP 48-567 4,73.31,267,Class III gas giant,795.6967,false,LP 48-567,M (Red dwarf) Star,5,0,0.5117,V,8594,2950,LP 48-567 4 h,796.7383,Icy body,81,1559.021
Praea Euq VG-R b6-0,Praea Euq VG-R b6-0 AB 1,508.22,267,Class III gas giant,1319.4032,true,Praea Euq VG-R b6-0 B,M (Red dwarf) Star,9,669.4749,0.3813,VI,12908,2165,Praea Euq VG-R b6-0 AB 1 g,1343.0159,Icy body,118,1936.4958
Pegasi Sector UO-Z b2,Pegasi Sector UO-Z b2 3,231.15,266,Class III gas giant,781.1444,false,Pegasi Sector UO-Z b2,M (Red dwarf) Star,5,0,0.4588,Va,1846,2934,Pegasi Sector UO-Z b2 3 h,780.0845,Icy body,78,1562.9958
Mel 22 Sector YK-W b2-1,Mel 22 Sector YK-W b2-1 5,627.44,265,Class III gas giant,615.2996,false,Mel 22 Sector YK-W b2-1,M (Red dwarf) Star,5,0,0.4873,Va,6186,2931,Mel 22 Sector YK-W b2-1 5 h,606.1164,Icy body,87,2462.73
Wregoe DJ-X c28-21,Wregoe DJ-X c28-21 BC 2,381.61,263,Class III gas giant,8039.0107,true,Wregoe DJ-X c28-21 C,M (Red dwarf) Star,6,7181.9429,0.473,Va,4598,2625,Wregoe DJ-X c28-21 BC 2 h,8035.8389,Rocky body,163,1017.0731
Wregoe UC-A b59-0,Wregoe UC-A b59-0 ABC 2,765.61,261,Class III gas giant,1090,true,Wregoe UC-A b59-0 C,M (Red dwarf) Star,6,295,0.4425,,6952,2638,Wregoe UC-A b59-0 ABC 2 g,1065,Icy body,78,2038.7021
Col 285 Sector DZ-J b24-5,Col 285 Sector DZ-J b24-5 2,214.64,260,Class III gas giant,860.1278,false,Col 285 Sector DZ-J b24-5,M (Red dwarf) Star,5,0,0.5314,,12971,3081,Col 285 Sector DZ-J b24-5 2 h,842.1848,Icy body,77,1938.0128
Arietis Sector ZK-X b1-2,Arietis Sector ZK-X b1-2 3,225.89,259,Class III gas giant,908.0093,false,Arietis Sector ZK-X b1-2,M (Red dwarf) Star,6,0,0.5048,Va,362,2745,Arietis Sector ZK-X b1-2 3 f,897.3153,Icy body,231,1856.8016
Col 359 Sector BR-W b31-4,Col 359 Sector BR-W b31-4 4,820.19,259,Class III gas giant,832.073,false,Col 359 Sector BR-W b31-4,M (Red dwarf) Star,3,0,0.5599,Va,2290,3309,Col 359 Sector BR-W b31-4 4 g,821.8782,Icy body,83,2012.4935
Col 285 Sector VF-L b9-1,Col 285 Sector VF-L b9-1 ABC 1,223.52,259,Class III gas giant,1075.7046,true,Col 285 Sector VF-L b9-1 B,M (Red dwarf) Star,9,534.7802,0.3865,Va,4670,2275,Col 285 Sector VF-L b9-1 ABC 1 h,1325.1757,Icy body,76,2162.1206
Aries Dark Region NN-T c3-5,Aries Dark Region NN-T c3-5 7,261.90,258,Class III gas giant,644.7424,false,Aries Dark Region NN-T c3-5,M (Red dwarf) Star,1,0,0.6761,Va,734,3699,Aries Dark Region NN-T c3-5 7 h,642.8557,Rocky Ice world,115,722.5106
Praea Euq OO-Y c1-4,Praea Euq OO-Y c1-4 1,553.67,258,Class III gas giant,694.439,false,Praea Euq OO-Y c1-4,M (Red dwarf) Star,1,0,0.6414,Va,2812,3657,Praea Euq OO-Y c1-4 1 g,686.1509,Icy body,107,2301.9016
Arnga,Arnga 4,115.24,257,Class III gas giant,946.7112,false,Arnga,M (Red dwarf) Star,6,0,0.5067,Va,4340,2617,Arnga 4 g,931.7992,Icy body,118,1768.5121
Alrai Sector IH-V b2-3,Alrai Sector IH-V b2-3 A 1,102.06,255,Class III gas giant,705.9133,false,Alrai Sector IH-V b2-3 A,M (Red dwarf) Star,4,0,0.5701,Va,6174,3122,Alrai Sector IH-V b2-3 A 1 h,714.2466,Icy body,91,1110.6941
Kuwan Slavs,Kuwan Slavs AB 1,114.41,255,Class III gas giant,1072.022,true,Kuwan Slavs B,M (Red dwarf) Star,6,131.7665,0.5513,Va,8404,2789,Kuwan Slavs AB 1 g a,1086.1116,Icy body,105,1183.147
Tucanae Sector OX-U b2-1,Tucanae Sector OX-U b2-1 2,329.73,255,Class III gas giant,476.5768,false,Tucanae Sector OX-U b2-1,M (Red dwarf) Star,4,0,0.4956,Va,10966,3180,Tucanae Sector OX-U b2-1 2 h,482.285,Icy body,100,1893.0886
Col 359 Sector NQ-M b8-0,Col 359 Sector NQ-M b8-0 4,500.83,253,Class III gas giant,536,false,Col 359 Sector NQ-M b8-0,M (Red dwarf) Star,1,0,0.5457,,6106,3658,Col 359 Sector NQ-M b8-0 4 g,536,Rocky body,130,934.7231
Wregoe IY-U b31-0,Wregoe IY-U b31-0 2,746.50,253,Class III gas giant,505.9579,false,Wregoe IY-U b31-0,M (Red dwarf) Star,7,0,0.4722,Va,9554,2577,Wregoe IY-U b31-0 2 f a,501.5054,Icy body,86,683.8076
Col 285 Sector CQ-N c7-22,Col 285 Sector CQ-N c7-22 AB 1,197.48,252,Class III gas giant,1138.0758,true,Col 285 Sector CQ-N c7-22 B,M (Red dwarf) Star,9,569.8965,0.3344,VI,854,2066,Col 285 Sector CQ-N c7-22 AB 1 f,1107.0729,Icy body,84,2193.2949
Wregoe AZ-D b39-5,Wregoe AZ-D b39-5 2,315.93,250,Class III gas giant,868.2935,false,Wregoe AZ-D b39-5,M (Red dwarf) Star,4,0,0.5964,Va,3646,3151,Wregoe AZ-D b39-5 2 h,858.5266,Icy body,85,2001.2405
Col 359 Sector OM-M c7-1,Col 359 Sector OM-M c7-1 ABCD 1,659.61,250,Class III gas giant,1512,true,Col 359 Sector OM-M c7-1 B,M (Red dwarf) Star,9,542,0.3741,,672,2389,Col 359 Sector OM-M c7-1 ABCD 1 h,1507,Icy body,78,1757.3005
Lidals,Lidals 2,114.95,248,Gas giant with water-based life,983.1457,false,Lidals,M (Red dwarf) Star,5,0,0.4871,Va,3110,2961,Lidals 2 f,973.3151,Icy body,123,1628.1182
Wregoe YY-M b34-2,Wregoe YY-M b34-2 1,328.50,246,Gas giant with water-based life,386.8336,false,Wregoe YY-M b34-2,M (Red dwarf) Star,5,0,0.4954,Va,5772,2822,Wregoe YY-M b34-2 1 g,375.6657,Icy body,97,1581.2687
Wregoe IY-A b55-1,Wregoe IY-A b55-1 2,304.70,245,Gas giant with water-based life,548.501,false,Wregoe IY-A b55-1,M (Red dwarf) Star,3,0,0.4846,,5378,3368,Wregoe IY-A b55-1 2 h,555.0745,Icy body,100,2828.6143
Col 285 Sector HK-I b25-2,Col 285 Sector HK-I b25-2 AB 1,228.26,242,Gas giant with water-based life,814.3566,true,Col 285 Sector HK-I b25-2 A,M (Red dwarf) Star,9,0,0.3798,Va,12887,2337,Col 285 Sector HK-I b25-2 AB 1 h,804.2216,Icy body,59,1665.175
Col 285 Sector BW-Z b15-3,Col 285 Sector BW-Z b15-3 4,170.87,241,Gas giant with water-based life,611.256,false,Col 285 Sector BW-Z b15-3,M (Red dwarf) Star,4,0,0.5443,Va,1740,3156,Col 285 Sector BW-Z b15-3 4 g a,608.4663,Icy body,98,1061.3596
Wredguia AN-S b31-0,Wredguia AN-S b31-0 4,498.77,240,Gas giant with water-based life,617.9243,false,Wredguia AN-S b31-0,M (Red dwarf) Star,7,0,0.4196,Va,3250,2559,Wredguia AN-S b31-0 4 h,617.9301,Icy body,127,1759.728
Praea Euq AH-R b19-1,Praea Euq AH-R b19-1 11,748.00,238,Gas giant with water-based life,794.2057,false,Praea Euq AH-R b19-1,M (Red dwarf) Star,5,0,0.4851,,272,2997,Praea Euq AH-R b19-1 11 g,794.72,Icy body,75,2810.0486
Col 285 Sector CP-Y b1-2,Col 285 Sector CP-Y b1-2 3,330.89,237,Gas giant with water-based life,597.5065,false,Col 285 Sector CP-Y b1-2,M (Red dwarf) Star,5,0,0.5468,Va,4140,2973,Col 285 Sector CP-Y b1-2 3 h,600.2041,Icy body,91,2120.1431
Pleiades Sector JD-R b5-3,Pleiades Sector JD-R b5-3 6,351.94,236,Gas giant with water-based life,912.5065,false,Pleiades Sector JD-R b5-3,M (Red dwarf) Star,5,0,0.4798,Va,10860,2871,Pleiades Sector JD-R b5-3 6 h,906.7351,Icy body,130,1926.4531
Col 285 Sector WP-K b23-8,Col 285 Sector WP-K b23-8 4,232.08,234,Gas giant with water-based life,963.7047,false,Col 285 Sector WP-K b23-8,M (Red dwarf) Star,5,0,0.4894,Va,838,2971,Col 285 Sector WP-K b23-8 4 h,964.5325,Icy body,123,1768.262
Col 285 Sector FH-Q b7-1,Col 285 Sector FH-Q b7-1 3,267.57,233,Gas giant with water-based life,747.811,false,Col 285 Sector FH-Q b7-1,M (Red dwarf) Star,4,0,0.5738,Va,5774,3201,Col 285 Sector FH-Q b7-1 3 g,753.8409,Icy body,85,2623.0591
Synuefe SS-S c20-18,Synuefe SS-S c20-18 A 3,535.06,231,Gas giant with water-based life,846.5024,false,Synuefe SS-S c20-18 A,M (Red dwarf) Star,1,0,0.6481,Va,4110,3654,Synuefe SS-S c20-18 A 3 g a,832.0464,Icy body,100,632.2423
Pleiades Sector RO-Q b5-0,Pleiades Sector RO-Q b5-0 10,362.23,230,Gas giant with water-based life,950.7811,false,Pleiades Sector RO-Q b5-0,M (Red dwarf) Star,5,0,0.4778,Va,396,2813,Pleiades Sector RO-Q b5-0 10 g,959.6541,Icy body,127,2200.2378
Synuefe RC-K c25-1,Synuefe RC-K c25-1 8,802.11,230,Gas giant with water-based life,761.0424,false,Synuefe RC-K c25-1,M (Red dwarf) Star,2,0,0.622,Va,258,3424,Synuefe RC-K c25-1 8 g,759.028,Icy body,92,2291.543
Aries Dark Region CR-M b7-2,Aries Dark Region CR-M b7-2 12,295.68,228,Gas giant with water-based life,801.8736,false,Aries Dark Region CR-M b7-2,M (Red dwarf) Star,4,0,0.4985,Va,328,3143,Aries Dark Region CR-M b7-2 12 h,818.2312,Icy body,76,1731.8539
Mel 22 Sector ID-I b10-1,Mel 22 Sector ID-I b10-1 3,480.31,228,Gas giant with water-based life,741.6043,false,Mel 22 Sector ID-I b10-1,M (Red dwarf) Star,4,0,0.5932,Va,2370,3189,Mel 22 Sector ID-I b10-1 3 g,749.5685,Icy body,88,2004.5833
Praea Euq JM-S b8-0,Praea Euq JM-S b8-0 A 11,976.65,228,Gas giant with water-based life,921,false,Praea Euq JM-S b8-0 A,M (Red dwarf) Star,2,0,0.6219,,418,3502,Praea Euq JM-S b8-0 A 11 h,923,Icy body,101,2133.219
Synuefai NU-F b44-0,Synuefai NU-F b44-0 7,551.61,227,Gas giant with water-based life,607.7953,false,Synuefai NU-F b44-0,M (Red dwarf) Star,7,0,0.4574,Va,614,2569,Synuefai NU-F b44-0 7 h,598.2692,Icy body,74,1626.726
Imen Mina,Imen Mina 4,140.35,226,Gas giant with water-based life,851.7955,false,Imen Mina,M (Red dwarf) Star,5,0,0.5008,Va,296,2833,Imen Mina 4 g,860.6991,Icy body,73,1259.6781
M7 Sector RE-M b9-4,M7 Sector RE-M b9-4 7,972.25,225,Gas giant with water-based life,723.9247,false,M7 Sector RE-M b9-4,M (Red dwarf) Star,5,0,0.5559,Va,1708,2962,M7 Sector RE-M b9-4 7 g,714.7514,Icy body,82,1974.0953
Synuefe AY-F d12-84,Synuefe AY-F d12-84 4,262.73,224,Gas giant with water-based life,960.7905,false,Synuefe AY-F d12-84,M (Red dwarf) Star,7,0,0.4267,Va,290,2528,Synuefe AY-F d12-84 4 g,946.0043,Icy body,53,3936.0127
Synuefe IZ-Z b32-2,Synuefe IZ-Z b32-2 2,591.33,223,Gas giant with water-based life,660,false,Synuefe IZ-Z b32-2,M (Red dwarf) Star,4,0,0.5307,,9748,3180,Synuefe IZ-Z b32-2 2 g,668,Icy body,91,1869.99
Hyades Sector CA-Z b4,Hyades Sector CA-Z b4 1,278.08,223,Gas giant with water-based life,379.8275,false,Hyades Sector CA-Z b4,M (Red dwarf) Star,1,0,0.6243,Va,3814,3641,Hyades Sector CA-Z b4 1 g,379.1898,Rocky body,151,815.0461
Synuefe FC-D c28-3,Synuefe FC-D c28-3 B 7,512.92,223,Gas giant with water-based life,355614,false,Synuefe FC-D c28-3 B,M (Red dwarf) Star,2,355009.625,0.5428,,5054,3557,Synuefe FC-D c28-3 B 7 f,355607.5625,Icy body,77,2248.7141
Synuefe LB-C b46-1,Synuefe LB-C b46-1 9,561.33,219,Gas giant with water-based life,565,false,Synuefe LB-C b46-1,M (Red dwarf) Star,3,0,0.5944,Vz,232,3325,Synuefe LB-C b46-1 9 g,561,Icy body,106,1601.4313
Synuefai XL-F c14-5,Synuefai XL-F c14-5 1,564.71,219,Gas giant with water-based life,987.0803,false,Synuefai XL-F c14-5,M (Red dwarf) Star,3,0,0.6288,,1682,3306,Synuefai XL-F c14-5 1 g,1012.6082,Icy body,78,2124.8738
MCC 818,MCC 818 C 2,80.39,217,Gas giant with water-based life,26599.7715,false,MCC 818 C,M (Red dwarf) Star,3,27518.5605,0.5651,Va,4310,3319,MCC 818 C 2 e a,26603.5273,Rocky body,117,511.6059
Synuefe FG-O c9-4,Synuefe FG-O c9-4 AB 1,653.07,217,Gas giant with water-based life,900,true,Synuefe FG-O c9-4 B,M (Red dwarf) Star,5,683,0.5285,,12708,3005,Synuefe FG-O c9-4 AB 1 h,905,Icy body,108,1218.8232
Wregoe YJ-N b37-0,Wregoe YJ-N b37-0 1,844.69,217,Gas giant with water-based life,967.0682,false,Wregoe YJ-N b37-0,M (Red dwarf) Star,6,0,0.4991,Va,10614,2795,Wregoe YJ-N b37-0 1 f,958.74,Icy body,119,2281.9016
Synuefai AR-R b51-0,Synuefai AR-R b51-0 BC 4,918.12,216,Gas giant with water-based life,22522.0293,true,Synuefai AR-R b51-0 B,M (Red dwarf) Star,6,23049.7402,0.5439,,11752,2625,Synuefai AR-R b51-0 BC 4 h,22507.6445,Icy body,73,2432.7212
Col 285 Sector LT-C b15-1,Col 285 Sector LT-C b15-1 2,267.74,214,Gas giant with water-based life,939.4819,false,Col 285 Sector LT-C b15-1,M (Red dwarf) Star,3,0,0.5246,Va,12094,3337,Col 285 Sector LT-C b15-1 2 f,929.9644,Icy body,80,1275.0835
Synuefai KN-J b55-2,Synuefai KN-J b55-2 8,387.74,211,Gas giant with water-based life,946,false,Synuefai KN-J b55-2,M (Red dwarf) Star,3,0,0.6006,,400,3320,Synuefai KN-J b55-2 8 g a,946,Icy body,82,899.1616
Col 359 Sector ZF-U c17-0,Col 359 Sector ZF-U c17-0 BCD 2,894.32,211,Gas giant with water-based life,14467.9824,true,Col 359 Sector ZF-U c17-0 C,M (Red dwarf) Star,9,14679.457,0.319,VI,3262,2067,Col 359 Sector ZF-U c17-0 BCD 2 h,14456.7344,Icy body,98,2316.8716
Col 359 Sector GF-W b3-4,Col 359 Sector GF-W b3-4 ABC 2,517.56,209,Gas giant with water-based life,976,true,Col 359 Sector GF-W b3-4 A,M (Red dwarf) Star,9,0,0.3774,,3590,2301,Col 359 Sector GF-W b3-4 ABC 2 g,973,Icy body,50,1661.6356
Swoiwns LN-F c13-4,Swoiwns LN-F c13-4 ABC 1,943.40,209,Gas giant with water-based life,1416.1827,true,Swoiwns LN-F c13-4 C,M (Red dwarf) Star,4,557.2385,0.4648,,4880,3105,Swoiwns LN-F c13-4 ABC 1 h,1425.1283,Icy body,86,945.6572
Col 285 Sector OO-E b26-0,Col 285 Sector OO-E b26-0 7,253.56,208,Gas giant with water-based life,491.4082,false,Col 285 Sector OO-E b26-0,M (Red dwarf) Star,3,0,0.5802,Va,240,3263,Col 285 Sector OO-E b26-0 7 g,491.4131,Icy body,106,1554.0035
Synuefe QO-P c22-17,Synuefe QO-P c22-17 ABC 1,293.24,207,Gas giant with water-based life,1914.0847,true,Synuefe QO-P c22-17 B,M (Red dwarf) Star,6,1088.7438,0.4034,Va,1058,2667,Synuefe QO-P c22-17 ABC 1 g,1896.054,Icy body,87,1330.4185
Col 285 Sector BW-I b24-1,Col 285 Sector BW-I b24-1 3,255.64,206,Gas giant with water-based life,676.3681,false,Col 285 Sector BW-I b24-1,M (Red dwarf) Star,6,0,0.5297,Va,12484,2751,Col 285 Sector BW-I b24-1 3 f,681.9498,Icy body,75,1954.7286
Shongbon,Shongbon 4,101.20,205,Gas giant with water-based life,926.1354,false,Shongbon,M (Red dwarf) Star,3,0,0.5283,Va,1540,3280,Shongbon 4 h,937.5514,Icy body,76,2097.0459
Arietis Sector WT-A b0,Arietis Sector WT-A b0 2,243.35,204,Gas giant with water-based life,616.4827,false,Arietis Sector WT-A b0,M (Red dwarf) Star,6,0,0.4966,Va,2530,2775,Arietis Sector WT-A b0 2 h,623.6496,Icy body,76,2366.8235
Aries Dark Region ID-R b5-0,Aries Dark Region ID-R b5-0 7,294.95,204,Gas giant with water-based life,994.8112,false,Aries Dark Region ID-R b5-0,M (Red dwarf) Star,4,0,0.5858,Va,420,3134,Aries Dark Region ID-R b5-0 7 g,994.9781,Icy body,76,2591.4956
Swoiwns TR-T b8-1,Swoiwns TR-T b8-1 6,526.03,204,Gas giant with water-based life,454.4462,false,Swoiwns TR-T b8-1,M (Red dwarf) Star,3,0,0.602,Va,3238,3260,Swoiwns TR-T b8-1 6 e,459.1454,Icy body,111,2547.6919
Krisha,Krisha 7,153.33,203,Gas giant with water-based life,460.5075,false,Krisha,M (Red dwarf) Star,9,0,0.4509,Va,4664,2383,Krisha 7 g,464.4156,Icy body,80,2244.0522
LTT 1349,LTT 1349 3,75.09,203,Gas giant with water-based life,649.2482,false,LTT 1349,M (Red dwarf) Star,1,0,0.6287,V,10656,3688,LTT 1349 3 g,658.6287,Icy body,91,1817.2246
Praea Euq XJ-P c6-1,Praea Euq XJ-P c6-1 DE 5,780.24,203,Gas giant with water-based life,33151,true,Praea Euq XJ-P c6-1 D,M (Red dwarf) Star,2,33418,0.58,,612,3482,Praea Euq XJ-P c6-1 DE 5 h,33164,Icy body,84,2314.3977
Wregoe YO-D b42-0,Wregoe YO-D b42-0 6,525.90,202,Gas giant with water-based life,935,false,Wregoe YO-D b42-0,M (Red dwarf) Star,7,0,0.4336,Va,12188,2510,Wregoe YO-D b42-0 6 g,929,Icy body,59,1785.8566
M7 Sector HS-J b9-2,M7 Sector HS-J b9-2 3,965.87,202,Gas giant with water-based life,699.4866,false,M7 Sector HS-J b9-2,M (Red dwarf) Star,5,0,0.5296,Va,8408,3050,M7 Sector HS-J b9-2 3 h,707.9604,Icy body,80,1392.3109
Col 285 Sector ZL-L c8-26,Col 285 Sector ZL-L c8-26 ABC 1,251.50,201,Gas giant with water-based life,1637.1406,true,Col 285 Sector ZL-L c8-26 C,M (Red dwarf) Star,9,1052.8513,0.3571,,1268,2107,Col 285 Sector ZL-L c8-26 ABC 1 g a,1632.9486,Icy body,95,557.5828
Col 285 Sector DJ-D b27-7,Col 285 Sector DJ-D b27-7 A 3,236.10,201,Gas giant with water-based life,874.2132,false,Col 285 Sector DJ-D b27-7 A,M (Red dwarf) Star,3,0,0.5582,Va,3864,3292,Col 285 Sector DJ-D b27-7 A 3 h,870,Icy body,82,2779.116
Jaudugayo,Jaudugayo 1,91.38,200,Gas giant with water-based life,960.8295,false,Jaudugayo,M (Red dwarf) Star,6,0,0.4578,Va,10120,2616,Jaudugayo 1 h,971.2974,Icy body,58,1605.0299
Col 285 Sector CD-U b19-1,Col 285 Sector CD-U b19-1 3,297.83,200,Gas giant with water-based life,606.4771,false,Col 285 Sector CD-U b19-1,M (Red dwarf) Star,9,0,0.3846,Va,6178,2330,Col 285 Sector CD-U b19-1 3 g,612.9969,Icy body,201,1962.3004
IC 2391 Sector JM-W d1-37,IC 2391 Sector JM-W d1-37 3,580.00,200,Gas giant with water-based life,753.8734,false,IC 2391 Sector JM-W d1-37,M (Red dwarf) Star,5,0,0.4985,Va,2094,3005,IC 2391 Sector JM-W d1-37 3 h,751.5199,Icy body,74,2352.6157
Synuefe EZ-A b32-1,Synuefe EZ-A b32-1 1,559.64,200,Gas giant with water-based life,913.7027,false,Synuefe EZ-A b32-1,M (Red dwarf) Star,5,0,0.5021,Va,2320,2829,Synuefe EZ-A b32-1 1 g,912.9372,Icy body,127,2726.0903
Wregoe VY-C c27-2,Wregoe VY-C c27-2 BC 1,488.71,200,Gas giant with water-based life,15660.5146,true,Wregoe VY-C c27-2 B,M (Red dwarf) Star,5,15992.2412,0.5726,Va,1394,2947,Wregoe VY-C c27-2 BC 1 h,15676.6465,Icy body,88,2542.1545
Col 285 Sector VK-M c8-4,Col 285 Sector VK-M c8-4 4,191.37,199,Gas giant with water-based life,867.7494,false,Col 285 Sector VK-M c8-4,M (Red dwarf) Star,2,0,0.6649,Va,5424,3582,Col 285 Sector VK-M c8-4 4 g,863.2084,Icy body,90,1645.6681
Bhilonggam,Bhilonggam ABC 1,256.65,199,Gas giant with water-based life,750.3064,true,Bhilonggam A,M (Red dwarf) Star,6,0,0.5151,Va,5790,2757,Bhilonggam ABC 1 g,764.8569,Icy body,115,1239.3427
Synuefe XT-Z c16-8,Synuefe XT-Z c16-8 1,455.69,199,Gas giant with water-based life,954,false,Synuefe XT-Z c16-8,M (Red dwarf) Star,2,0,0.6368,,11802,3451,Synuefe XT-Z c16-8 1 e a,940,Icy body,84,645.837
LFT 163,LFT 163 6,57.25,198,Gas giant with water-based life,625.554,false,LFT 163,M (Red dwarf) Star,3,0,0.5774,V,4992,3346,LFT 163 6 h,620.1174,Icy body,94,867.3492
HR 297,HR 297 D 1,263.47,197,Gas giant with water-based life,53039.0664,false,HR 297 D,M (Red dwarf) Star,3,52994.1602,0.62,Va,1320,3389,HR 297 D 1 h,53047.8086,Rocky body,177,961.6366
Col 285 Sector ZD-J b25-0,Col 285 Sector ZD-J b25-0 1,289.02,197,Gas giant with water-based life,586.7837,false,Col 285 Sector ZD-J b25-0,M (Red dwarf) Star,4,0,0.6178,Va,5896,3161,Col 285 Sector ZD-J b25-0 1 f,595.1387,Icy body,95,1733.45
Wregoe JK-C b40-3,Wregoe JK-C b40-3 3,419.11,197,Gas giant with water-based life,840.217,false,Wregoe JK-C b40-3,M (Red dwarf) Star,4,0,0.491,,5098,3237,Wregoe JK-C b40-3 3 h,852.9597,Icy body,76,2215.7717
Col 359 Sector FO-A b17-1,Col 359 Sector FO-A b17-1 3,718.52,197,Gas giant with water-based life,980.2841,false,Col 359 Sector FO-A b17-1,M (Red dwarf) Star,6,0,0.5428,Va,9292,2626,Col 359 Sector FO-A b17-1 3 g,980.9379,Icy body,112,1605.479
Synuefe CB-B b47-7,Synuefe CB-B b47-7 ABC 2,444.99,196,Gas giant with water-based life,1281.842,true,Synuefe CB-B b47-7 B,M (Red dwarf) Star,9,613.3397,0.326,VI,11210,2012,Synuefe CB-B b47-7 ABC 2 g,1279.5123,Icy body,49,1903.6337
Col 285 Sector TB-N b23-1,Col 285 Sector TB-N b23-1 2,313.74,196,Gas giant with water-based life,650,false,Col 285 Sector TB-N b23-1,M (Red dwarf) Star,4,0,0.5088,,2806,3111,Col 285 Sector TB-N b23-1 2 f a,654,Icy body,82,570.1303
B92 Sector GR-V b2-9,B92 Sector GR-V b2-9 4,597.29,196,Gas giant with water-based life,976.3152,false,B92 Sector GR-V b2-9,M (Red dwarf) Star,4,0,0.5471,Va,11614,3107,B92 Sector GR-V b2-9 4 g,983.3905,Icy body,74,2162.0679
Khonti,Khonti AB 1,256.31,194,Gas giant with water-based life,890.5547,true,Khonti A,M (Red dwarf) Star,2,0,0.5654,Va,9004,3503,Khonti AB 1 g,892.2249,Icy body,87,1640.6274
Bodiae,Bodiae 5,152.86,193,Gas giant with water-based life,762.5918,false,Bodiae,M (Red dwarf) Star,6,0,0.4626,Va,2094,2723,Bodiae 5 g a,750.2949,Icy body,157,568.1149
Synuefe YR-I b55-1,Synuefe YR-I b55-1 9,419.38,193,Gas giant with water-based life,630,false,Synuefe YR-I b55-1,M (Red dwarf) Star,5,0,0.5418,,9644,2909,Synuefe YR-I b55-1 9 g,631.8137,Icy body,83,1403.1093
Col 135 Sector PU-M b8-3,Col 135 Sector PU-M b8-3 A 10,995.70,193,Gas giant with water-based life,774.537,false,Col 135 Sector PU-M b8-3 A,T Tauri Star,5,0,0.5664,Va,208,2809,Col 135 Sector PU-M b8-3 A 10 g a,767.9274,Icy body,80,1050.2731
Tefenhua,Tefenhua 8,95.48,192,Gas giant with water-based life,676.5065,false,Tefenhua,M (Red dwarf) Star,5,0,0.5172,Va,6326,3066,Tefenhua 8 g,657.9959,Icy body,79,2440.4236
