System name,Distance from Sol (ly),Counting moons of moons,System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius,Star Types,Is populated,Has M or TT Star ?,Coldest M or TT Star temp.,Coldest M or TT Star lum.,Has Toroid Station
Wakaparibe,42.54,true,1,1,Wakaparibe,1469,L (Brown dwarf) Star,0,false,false,0,,0,0,Wakaparibe,L (Brown dwarf) Star,9,0,0.2235,V,2154,1469,0.2235,Wakaparibe 6,1891,Class I gas giant,15,17215.3926,-L (Brown dwarf) Star-,1,false,,,false
LHS 480,84.92,true,3,3,LHS 480 C,1469,L (Brown dwarf) Star,204321,false,false,1,0.4248,136407.607596,123488.06456844218,LHS 480 C,L (Brown dwarf) Star,9,204321,0.2881,V,8846,1469,0.4844,LHS 480 C 4 a,202770,Icy body,20,4119.8843,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2837,V,false
LTT 16522,62.88,true,3,3,LTT 16522 C,1468,L (Brown dwarf) Star,5028,false,false,1,0.2291,3223.372698,3137.6403059721215,LTT 16522 C,L (Brown dwarf) Star,9,5028,0.2502,V,10522,1468,0.4309,LTT 16522 C 6,5051,Icy body,104,4180.1626,-L (Brown dwarf) Star-T (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2433,V,false
Scorpii Sector EV-Y a1,94.09,true,2,2,Scorpii Sector EV-Y a1 A,1467,L (Brown dwarf) Star,0,false,false,1,0.3962,10816.8814845,9931.673698969238,Scorpii Sector EV-Y a1 A,L (Brown dwarf) Star,9,0,0.2687,V,2648,1467,0.2687,Scorpii Sector EV-Y a1 A 5,4814,Icy body,20,7392.7417,-L (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
LP 557-46,47.95,true,2,2,LP 557-46 B,1464,L (Brown dwarf) Star,56670,false,false,1,0.0819,33876.551241,33762.74473054132,LP 557-46 B,L (Brown dwarf) Star,9,56670,0.265,V,11990,1464,0.3705,LP 557-46 B 6,56219,Icy body,20,6406.9556,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2143,V,false
Laika,74.81,true,4,4,Laika A,1464,L (Brown dwarf) Star,0,false,false,1,0.0878,28229.810661,28120.79060316251,Laika A,L (Brown dwarf) Star,9,0,0.2733,V,5304,1464,0.2733,Laika A 4,472,Icy body,30,6000.8389,-L (Brown dwarf) Star-T (Brown dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
Trianguli Sector BM-L a8-2,76.48,true,1,1,Trianguli Sector BM-L a8-2,1463,L (Brown dwarf) Star,0,false,false,0,,0,0,Trianguli Sector BM-L a8-2,L (Brown dwarf) Star,9,0,0.2298,V,1708,1463,0.2298,Trianguli Sector BM-L a8-2 7,1158,Icy body,20,5714.5869,-L (Brown dwarf) Star-,0,false,,,false
Puppis Sector ZP-P a5-0,54.09,true,1,1,Puppis Sector ZP-P a5-0,1462,L (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector ZP-P a5-0,L (Brown dwarf) Star,9,0,0.2467,V,9836,1462,0.2467,Puppis Sector ZP-P a5-0 7,4457,Icy body,20,5463.0718,-L (Brown dwarf) Star-,0,false,,,false
Maka,89.99,true,2,2,Maka B,1461,L (Brown dwarf) Star,206026,false,false,1,0.0199,143814.638214,143786.15937680518,Maka B,L (Brown dwarf) Star,9,206026,0.2735,V,4300,1461,0.469,Maka B 6,207298,Icy body,20,10887.918,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2411,Va,false
Sanuku,34.88,true,1,1,Sanuku,1461,L (Brown dwarf) Star,0,false,false,0,,0,0,Sanuku,L (Brown dwarf) Star,9,0,0.2565,V,2454,1461,0.2565,Sanuku 5 b,853,Icy body,21,815.6983,-L (Brown dwarf) Star-,1,false,,,false
Piscium Sector LY-H a10-4,52.41,true,1,1,Piscium Sector LY-H a10-4,1460,L (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector LY-H a10-4,L (Brown dwarf) Star,9,0,0.2273,Vz,236,1460,0.2273,Piscium Sector LY-H a10-4 6,2219,Icy body,20,4249.3306,-L (Brown dwarf) Star-,0,false,,,false
Malangga,86.93,true,3,3,Malangga C,1459,L (Brown dwarf) Star,44467,false,false,1,0.0494,25019.2623915,24988.715740325068,Malangga C,L (Brown dwarf) Star,9,44467,0.2766,V,8864,1459,0.3044,Malangga C 5,44682,Icy body,20,6964.167,-T (Brown dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,false,,,false
Bei Dou Sector JC-V b2-1,88.45,true,2,2,Bei Dou Sector JC-V b2-1 B,1456,L (Brown dwarf) Star,389678,false,false,1,0.1106,229450.8323835,228043.15173172188,Bei Dou Sector JC-V b2-1 B,L (Brown dwarf) Star,9,389678,0.2918,V,12886,1456,0.3667,Bei Dou Sector JC-V b2-1 B 6,387944,Icy body,20,1127.5991,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2293,Va,false
LHS 274,44.72,true,3,3,LHS 274 B,1456,L (Brown dwarf) Star,2220,false,false,2,0.3125,1784.2921784999999,1694.9308286692517,LHS 274 B,L (Brown dwarf) Star,9,2220,0.3033,V,8892,1456,0.5152,LHS 274 B 7,2254,Icy body,119,3835.7075,-L (Brown dwarf) Star-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2920,V,true
Groombridge 1618,15.88,true,2,2,Groombridge 1618 B,1453,L (Brown dwarf) Star,24051,false,false,1,0.196,23482.7261955,23027.25278582646,Groombridge 1618 B,L (Brown dwarf) Star,9,24051,0.2685,V,11322,1453,0.649,Groombridge 1618 B 7,24017,Icy body,40,4480.3506,-L (Brown dwarf) Star-K (Yellow-Orange) Star-,1,false,,,false
Trianguli Sector MT-Q a5-1,87.79,true,1,1,Trianguli Sector MT-Q a5-1,1451,L (Brown dwarf) Star,0,false,false,0,,0,0,Trianguli Sector MT-Q a5-1,L (Brown dwarf) Star,9,0,0.2772,V,2574,1451,0.2772,Trianguli Sector MT-Q a5-1 6,1523,Icy body,20,8702.4248,-L (Brown dwarf) Star-,0,false,,,false
Puppis Sector IC-M a7-1,57.72,true,1,1,Puppis Sector IC-M a7-1,1451,L (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector IC-M a7-1,L (Brown dwarf) Star,9,0,0.262,V,392,1451,0.262,Puppis Sector IC-M a7-1 5,1750,Icy body,20,6386.5303,-L (Brown dwarf) Star-,0,false,,,false
Alrai Sector IH-M a7-1,96.25,true,1,1,Alrai Sector IH-M a7-1,1450,L (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector IH-M a7-1,L (Brown dwarf) Star,9,0,0.2672,V,358,1450,0.2672,Alrai Sector IH-M a7-1 7,3080,Icy body,20,2996.135,-L (Brown dwarf) Star-,0,false,,,false
Puppis Sector XJ-R a4-1,71.85,true,1,1,Puppis Sector XJ-R a4-1,1450,L (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector XJ-R a4-1,L (Brown dwarf) Star,9,0,0.2383,V,10692,1450,0.2383,Puppis Sector XJ-R a4-1 6,2685,Icy body,20,3461.9922,-L (Brown dwarf) Star-,0,false,,,false
Sowiio,95.74,true,4,4,Sowiio D,1449,L (Brown dwarf) Star,85840,false,false,1,0.2651,61613.5944645,59409.11697659422,Sowiio D,L (Brown dwarf) Star,9,85840,0.2312,V,9506,1449,0.7098,Sowiio D 6,85204,Icy body,24,3657.5107,-M (Red dwarf) Star-K (Yellow-Orange) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2636,Va,false
Sumeya,85.97,true,3,3,Sumeya C,1449,L (Brown dwarf) Star,363189,false,false,1,0.0231,292820.6749455,292742.5385003331,Sumeya C,L (Brown dwarf) Star,9,363189,0.2986,V,5002,1449,0.5155,Sumeya C 6,360450,Icy body,20,2876.9783,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2695,Va,false
Alrai Sector JB-O a6-1,71.75,true,1,1,Alrai Sector JB-O a6-1,1445,L (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector JB-O a6-1,L (Brown dwarf) Star,9,0,0.2524,V,1960,1445,0.2524,Alrai Sector JB-O a6-1 5,5790,Icy body,20,10299.9199,-L (Brown dwarf) Star-,0,false,,,false
Col 285 Sector GJ-I a39-1,87.83,true,1,1,Col 285 Sector GJ-I a39-1,1445,L (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector GJ-I a39-1,L (Brown dwarf) Star,9,0,0.2662,V,4980,1445,0.2662,Col 285 Sector GJ-I a39-1 7,3850,Icy body,20,6338.9634,-L (Brown dwarf) Star-,0,false,,,false
Col 285 Sector YQ-S b18-7,95.59,true,2,2,Col 285 Sector YQ-S b18-7 B,1442,L (Brown dwarf) Star,105084,false,false,1,0.0666,83664.42581249999,83478.67031088354,Col 285 Sector YQ-S b18-7 B,L (Brown dwarf) Star,9,105084,0.2563,V,7628,1442,0.4957,Col 285 Sector YQ-S b18-7 B 4 a,106066,Icy body,20,1989.4895,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2858,Va,false
Core Sys Sector CQ-P a5-0,44.42,true,1,1,Core Sys Sector CQ-P a5-0,1440,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector CQ-P a5-0,L (Brown dwarf) Star,9,0,0.2276,V,5778,1440,0.2276,Core Sys Sector CQ-P a5-0 7,2283,Icy body,20,9956.7607,-L (Brown dwarf) Star-,0,false,,,false
LTT 17156,75.87,true,2,2,LTT 17156 B,1438,L (Brown dwarf) Star,3566,false,false,1,0.3471,2246.121306,2106.4757304843897,LTT 17156 B,L (Brown dwarf) Star,9,3566,0.268,V,7954,1438,0.5001,LTT 17156 B 5 a,3582,Icy body,107,1360.6177,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2982,V,false
WISE 1800+0134,28.69,true,1,1,WISE 1800+0134,1436,L (Brown dwarf) Star,0,false,false,0,,0,0,WISE 1800+0134,L (Brown dwarf) Star,9,0,0.2595,V,744,1436,0.2595,WISE 1800+0134 6 a,467,Icy body,28,3683.8235,-L (Brown dwarf) Star-,1,false,,,false
Col 285 Sector LP-G a40-3,94.40,true,1,1,Col 285 Sector LP-G a40-3,1435,L (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector LP-G a40-3,L (Brown dwarf) Star,9,0,0.2615,V,296,1435,0.2615,Col 285 Sector LP-G a40-3 6,1940,Icy body,20,7870.0435,-L (Brown dwarf) Star-,0,false,,,false
Ceti Sector BQ-Y d109,85.18,true,1,1,Ceti Sector BQ-Y d109,1435,L (Brown dwarf) Star,0,false,false,0,,0,0,Ceti Sector BQ-Y d109,L (Brown dwarf) Star,9,0,0.2497,V,732,1435,0.2497,Ceti Sector BQ-Y d109 6 a,3698,Icy body,20,4405.0771,-L (Brown dwarf) Star-,0,false,,,false
Piscium Sector HS-J a9-1,52.25,true,1,1,Piscium Sector HS-J a9-1,1434,L (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector HS-J a9-1,L (Brown dwarf) Star,9,0,0.2392,V,1864,1434,0.2392,Piscium Sector HS-J a9-1 5,2209,Icy body,20,5930.4224,-L (Brown dwarf) Star-,0,false,,,false
Awindjibata,34.15,true,3,3,Awindjibata C,1429,L (Brown dwarf) Star,96638,false,false,1,0.11,57522.3522705,57173.282890714305,Awindjibata C,L (Brown dwarf) Star,9,96638,0.2488,V,10356,1429,0.288,Awindjibata C 6,97529,Icy body,20,4323.2671,-L (Brown dwarf) Star-Y (Brown dwarf) Star-L (Brown dwarf) Star-,1,false,,,false
NLTT 51200,81.57,true,2,2,NLTT 51200 B,1429,L (Brown dwarf) Star,53574,false,false,1,0.2045,35330.4023085,34583.74951034461,NLTT 51200 B,L (Brown dwarf) Star,9,53574,0.251,V,3266,1429,0.5869,NLTT 51200 B 11,53680,Class I gas giant,31,16146.3076,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3385,V,false
Luhman 16,6.57,true,2,2,Luhman 16,1429,L (Brown dwarf) Star,0,false,false,1,0.2381,748.5074999999999,726.9809068946635,Luhman 16,L (Brown dwarf) Star,9,0,0.2563,V,6262,1429,0.2702,Luhman 16 A 6,136,Icy body,133,2050.1509,-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,false,,,false
Aoesta,60.43,true,2,2,Aoesta,1429,L (Brown dwarf) Star,0,false,false,0,,0,0,Aoesta,L (Brown dwarf) Star,9,0,0.2361,V,12132,1429,0.2361,Aoesta 5 a,3028,Icy body,20,2059.8169,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Aoesta,60.43,true,2,2,Aoesta Crucis Sector WU-P a5-0,1429,L (Brown dwarf) Star,0,false,false,0,,0,0,Aoesta,L (Brown dwarf) Star,9,0,0.2361,V,12132,1429,0.2361,Aoesta Crucis Sector WU-P a5-0 5 a,3030,Icy body,20,2059.8169,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
LHS 2651,66.01,true,2,2,LHS 2651 B,1428,L (Brown dwarf) Star,29582,false,false,1,0.0188,22975.8369165,22971.776267769485,LHS 2651 B,L (Brown dwarf) Star,9,29582,0.262,V,5026,1428,0.574,LHS 2651 B 5 a,29504,Icy body,54,1874.3167,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3286,V,false
Tascheter Sector IM-V a2-0,83.78,true,1,1,Tascheter Sector IM-V a2-0,1428,L (Brown dwarf) Star,0,false,false,0,,0,0,Tascheter Sector IM-V a2-0,L (Brown dwarf) Star,9,0,0.2626,V,564,1428,0.2626,Tascheter Sector IM-V a2-0 6,2004,Icy body,20,3364.5996,-L (Brown dwarf) Star-,0,false,,,false
Piscium Sector VK-N a7-0,57.46,true,1,1,Piscium Sector VK-N a7-0,1427,L (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector VK-N a7-0,L (Brown dwarf) Star,9,0,0.2601,V,4442,1427,0.2601,Piscium Sector VK-N a7-0 5 a,1355,Icy body,20,3837.573,-L (Brown dwarf) Star-,0,false,,,false
LHS 160,38.00,true,4,4,LHS 160 D,1425,L (Brown dwarf) Star,30172,false,false,2,0.2545,2202.4084679999996,2129.8892663883835,LHS 160 D,L (Brown dwarf) Star,9,30172,0.2693,V,6736,1425,0.5513,LHS 160 D 6,30073,Icy body,84,4457.5962,-L (Brown dwarf) Star-L (Brown dwarf) Star-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2170,Va,true
Col 285 Sector OE-R a34-0,57.43,true,1,1,Col 285 Sector OE-R a34-0,1424,L (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector OE-R a34-0,L (Brown dwarf) Star,9,0,0.2501,V,10734,1424,0.2501,Col 285 Sector OE-R a34-0 4 a,1666,Icy body,20,3520.5359,-L (Brown dwarf) Star-,0,false,,,false
Rumazo 9223,62.59,true,2,2,Rumazo 9223,1424,L (Brown dwarf) Star,0,false,false,0,,0,0,Rumazo 9223,L (Brown dwarf) Star,9,0,0.2776,V,578,1424,0.2776,Rumazo 9223 6 a,1359,Icy body,20,933.9859,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Crucis Sector SI-T a3-1,84.16,true,2,2,Crucis Sector SI-T a3-1 B,1423,L (Brown dwarf) Star,139577,false,false,1,0.1411,71918.3471175,71198.82911625782,Crucis Sector SI-T a3-1 B,L (Brown dwarf) Star,9,139577,0.2559,V,1468,1423,0.2958,Crucis Sector SI-T a3-1 B 5,138929,Icy body,20,6628.1035,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Jafnhau,99.69,true,2,2,Jafnhau B,1422,L (Brown dwarf) Star,27040,false,false,1,0.3297,28921.5812925,27304.452867528587,Jafnhau B,L (Brown dwarf) Star,9,27040,0.2473,V,11518,1422,0.579,Jafnhau B 6,25038,Icy body,24,4091.0686,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3179,Va,false
Col 285 Sector DO-I a39-2,76.02,true,1,1,Col 285 Sector DO-I a39-2,1421,L (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector DO-I a39-2,L (Brown dwarf) Star,9,0,0.2336,V,12136,1421,0.2336,Col 285 Sector DO-I a39-2 5 a,1405,Icy body,20,1837.0787,-L (Brown dwarf) Star-,0,false,,,false
Trianguli Sector NO-Q a5-1,81.36,true,1,1,Trianguli Sector NO-Q a5-1,1420,L (Brown dwarf) Star,0,false,false,0,,0,0,Trianguli Sector NO-Q a5-1,L (Brown dwarf) Star,9,0,0.2264,V,11992,1420,0.2264,Trianguli Sector NO-Q a5-1 7,2633,Icy body,20,2854.658,-L (Brown dwarf) Star-,0,false,,,false
Ipillke,83.29,true,2,2,Ipillke B,1420,L (Brown dwarf) Star,24407,false,false,1,0.101,16800.949444500002,16715.036540849345,Ipillke B,L (Brown dwarf) Star,9,24407,0.2495,V,258,1420,0.5391,Ipillke B 7,23073,Icy body,26,4923.085,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2900,Va,false
WISE 0607+2429,35.42,true,1,1,WISE 0607+2429,1419,L (Brown dwarf) Star,0,false,false,0,,0,0,WISE 0607+2429,L (Brown dwarf) Star,9,0,0.2452,V,7934,1419,0.2452,WISE 0607+2429 5,1670,Icy body,20,6706.7368,-L (Brown dwarf) Star-,0,false,,,false
Hyades Sector UV-K b9-2,92.19,true,2,2,Hyades Sector UV-K b9-2 B,1419,L (Brown dwarf) Star,37278,false,false,1,0.1169,26356.4959905,26175.787696919542,Hyades Sector UV-K b9-2 B,L (Brown dwarf) Star,9,37278,0.2764,V,5610,1419,0.4968,Hyades Sector UV-K b9-2 B 7,37762,Class I gas giant,30,14932.9854,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2908,Va,false
Hun Chonses,81.07,true,2,2,Hun Chonses B,1417,L (Brown dwarf) Star,3324,false,false,1,0.1997,2525.763708,2474.8874681543693,Hun Chonses B,L (Brown dwarf) Star,9,3324,0.2408,V,10528,1417,0.4526,Hun Chonses B 7,3389,Icy body,96,2255.3193,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2654,Va,false
Puppis Sector FR-N a6-0,56.40,true,1,1,Puppis Sector FR-N a6-0,1416,L (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector FR-N a6-0,L (Brown dwarf) Star,9,0,0.253,V,12164,1416,0.253,Puppis Sector FR-N a6-0 6,2312,Icy body,20,4115.394,-L (Brown dwarf) Star-,0,false,,,false
Crucis Sector IS-T b3-5,82.42,true,2,2,Crucis Sector IS-T b3-5 B,1415,L (Brown dwarf) Star,244528,false,false,1,0.0369,191603.8979595,191473.40863372636,Crucis Sector IS-T b3-5 B,L (Brown dwarf) Star,9,244528,0.2534,V,5626,1415,0.571,Crucis Sector IS-T b3-5 B 6,245728,Icy body,21,1939.604,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,3162,Va,false
Tascheter Sector IS-T a3-2,90.16,true,1,1,Tascheter Sector IS-T a3-2,1415,L (Brown dwarf) Star,0,false,false,0,,0,0,Tascheter Sector IS-T a3-2,L (Brown dwarf) Star,9,0,0.2713,V,470,1415,0.2713,Tascheter Sector IS-T a3-2 6,2297,Icy body,20,2030.1079,-L (Brown dwarf) Star-,0,false,,,false
Tascheter Sector LN-T a3-2,88.83,true,1,1,Tascheter Sector LN-T a3-2,1412,L (Brown dwarf) Star,0,false,false,0,,0,0,Tascheter Sector LN-T a3-2,L (Brown dwarf) Star,9,0,0.2112,V,3252,1412,0.2112,Tascheter Sector LN-T a3-2 6,1890,Icy body,20,9564.001,-L (Brown dwarf) Star-,0,false,,,false
Puppis Sector TO-R b4-4,62.56,true,3,3,Puppis Sector TO-R b4-4 C,1412,L (Brown dwarf) Star,101709,false,false,1,0.1678,66600.35103149999,65656.02857121835,Puppis Sector TO-R b4-4 C,L (Brown dwarf) Star,9,101709,0.2701,V,2094,1412,0.4571,Puppis Sector TO-R b4-4 C 5,103469,Icy body,20,6726.7944,-M (Red dwarf) Star-T (Brown dwarf) Star-L (Brown dwarf) Star-,0,true,2377,Va,false
Hyades Sector PF-J a24-1,83.13,true,1,1,Hyades Sector PF-J a24-1,1411,L (Brown dwarf) Star,0,false,false,0,,0,0,Hyades Sector PF-J a24-1,L (Brown dwarf) Star,9,0,0.2291,V,12878,1411,0.2291,Hyades Sector PF-J a24-1 7,2828,Icy body,20,7280.9355,-L (Brown dwarf) Star-,0,false,,,false
Belu,67.95,true,2,2,Belu B,1411,L (Brown dwarf) Star,263794,false,false,1,0.0997,179588.90547,178694.1113916063,Belu B,L (Brown dwarf) Star,9,263794,0.2459,V,11998,1411,0.4571,Belu B 4,263607,Icy body,29,5839.7676,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2243,Va,false
Crucis Sector SO-R a4-0,58.08,true,3,3,Crucis Sector SO-R a4-0 C,1409,L (Brown dwarf) Star,129972,false,false,1,0.0682,100382.740029,100149.01582753313,Crucis Sector SO-R a4-0 C,L (Brown dwarf) Star,9,129972,0.2144,V,3648,1409,0.3094,Crucis Sector SO-R a4-0 C 6 a,129144,Icy body,20,786.5891,-L (Brown dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Sandafarr,46.26,true,2,2,Sandafarr,1409,L (Brown dwarf) Star,0,false,false,0,,0,0,Sandafarr,L (Brown dwarf) Star,9,0,0.2653,V,2734,1409,0.2653,Sandafarr 7,6779,Icy body,20,7413.5884,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Sandafarr,46.26,true,2,2,Sandafarr Core Sys Sector IH-M a7-2,1409,L (Brown dwarf) Star,0,false,false,0,,0,0,Sandafarr,L (Brown dwarf) Star,9,0,0.2653,V,2734,1409,0.2653,Sandafarr Core Sys Sector IH-M a7-2 7,6779,Icy body,20,7413.5884,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Jastreb Sector XU-P a5-0,53.78,true,1,1,Jastreb Sector XU-P a5-0,1405,L (Brown dwarf) Star,0,false,false,0,,0,0,Jastreb Sector XU-P a5-0,L (Brown dwarf) Star,9,0,0.2597,V,12102,1405,0.2597,Jastreb Sector XU-P a5-0 6,3104,Icy body,20,3082.0796,-L (Brown dwarf) Star-,0,false,,,false
LHS 3197,38.81,true,2,2,LHS 3197 B,1404,L (Brown dwarf) Star,6834,false,false,1,0.3349,3938.5965645,3711.157091315873,LHS 3197 B,L (Brown dwarf) Star,9,6834,0.2567,V,10120,1404,0.4262,LHS 3197 B 7,7237,Icy body,48,2503.0286,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2533,V,false
Alrai Sector PN-K a8-0,96.42,true,1,1,Alrai Sector PN-K a8-0,1402,L (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector PN-K a8-0,L (Brown dwarf) Star,9,0,0.2851,V,414,1402,0.2851,Alrai Sector PN-K a8-0 7,345,Icy body,34,8927.0303,-L (Brown dwarf) Star-,0,false,,,false
Col 285 Sector XX-S a33-1,96.00,true,1,1,Col 285 Sector XX-S a33-1,1402,L (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector XX-S a33-1,L (Brown dwarf) Star,9,0,0.2288,V,9366,1402,0.2288,Col 285 Sector XX-S a33-1 5 a,2162,Icy body,20,1826.7742,-L (Brown dwarf) Star-,0,false,,,false
Snoqui Xian,87.11,true,2,2,Snoqui Xian B,1402,L (Brown dwarf) Star,16768,false,false,1,0.2503,8063.371894499999,7806.701279550532,Snoqui Xian B,L (Brown dwarf) Star,9,16768,0.2341,V,258,1402,0.2851,Snoqui Xian B 6 a,15848,Icy body,25,701.9639,-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,false,,,false
LP 838-16,37.01,true,3,3,LP 838-16 C,1402,L (Brown dwarf) Star,64696,false,false,1,0.2132,43203.952701,42210.63235953657,LP 838-16 C,L (Brown dwarf) Star,9,64696,0.2622,V,11632,1402,0.4086,LP 838-16 C 4,63748,Icy body,24,5454.6401,-M (Red dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,true,2369,V,false
Alrai Sector NH-M a7-0,84.43,true,1,1,Alrai Sector NH-M a7-0,1401,L (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector NH-M a7-0,L (Brown dwarf) Star,9,0,0.2635,V,434,1401,0.2635,Alrai Sector NH-M a7-0 3,726,Icy body,22,2861.1128,-L (Brown dwarf) Star-,0,false,,,false
Harermid,99.83,true,2,2,Harermid B,1399,L (Brown dwarf) Star,5573,false,false,1,0.2196,5088.1044825,4963.903830959754,Harermid B,L (Brown dwarf) Star,9,5573,0.2116,V,256,1399,0.4388,Harermid B 7,5482,Icy body,44,7171.5288,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2352,Va,false
Col 285 Sector FD-K a38-0,92.38,true,1,1,Col 285 Sector FD-K a38-0,1397,L (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector FD-K a38-0,L (Brown dwarf) Star,9,0,0.2337,V,3004,1397,0.2337,Col 285 Sector FD-K a38-0 6,1742,Icy body,20,6448.6431,-L (Brown dwarf) Star-,0,false,,,false
LP 128-9,45.33,true,2,2,LP 128-9 B,1396,L (Brown dwarf) Star,402451,false,false,1,0.1479,281815.269372,278715.9553677396,LP 128-9 B,L (Brown dwarf) Star,9,402451,0.2461,V,5182,1396,0.5766,LP 128-9 B 6,402261,Icy body,42,8568.8643,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3192,V,false
Puppis Sector NI-K a8-1,70.17,true,1,1,Puppis Sector NI-K a8-1,1395,L (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector NI-K a8-1,L (Brown dwarf) Star,9,0,0.2571,V,448,1395,0.2571,Puppis Sector NI-K a8-1 7,1776,Icy body,20,5117.5767,-L (Brown dwarf) Star-,0,false,,,false
Col 285 Sector EO-I a39-2,74.71,true,1,1,Col 285 Sector EO-I a39-2,1395,L (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector EO-I a39-2,L (Brown dwarf) Star,9,0,0.2328,V,8756,1395,0.2328,Col 285 Sector EO-I a39-2 7,728,Icy body,21,3586.5454,-L (Brown dwarf) Star-,0,false,,,false
Djiwar,66.78,true,3,3,Djiwar C,1395,L (Brown dwarf) Star,92121,false,false,1,0.0408,69049.8667755,68992.37125308292,Djiwar C,L (Brown dwarf) Star,9,92121,0.226,V,492,1395,0.3856,Djiwar C 6,96196,Icy body,20,3545.718,-M (Red dwarf) Star-T (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2114,VI,false
Core Sys Sector TO-R a4-1,42.40,true,1,1,Core Sys Sector TO-R a4-1,1392,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector TO-R a4-1,L (Brown dwarf) Star,9,0,0.2624,V,7460,1392,0.2624,Core Sys Sector TO-R a4-1 5,3560,Icy body,20,10729.5098,-L (Brown dwarf) Star-,0,false,,,false
